instance,operator,total_moves,total_delta_obj,mean_delta_obj,peak_cor,peak_pe,peak_osr,peak_count,peak_mean_delta_obj,shoulder_cor,shoulder_pe,shoulder_osr,shoulder_count,shoulder_mean_delta_obj,transition_cor,transition_pe,transition_osr,transition_count,transition_mean_delta_obj,tail_cor,tail_pe,tail_osr,tail_count,tail_mean_delta_obj,mixed_cor,mixed_pe,mixed_osr,mixed_count,mixed_mean_delta_obj,neutral_cor,neutral_pe,neutral_osr,neutral_count,neutral_mean_delta_obj
setA-01,crossover,14,20.19966175844371,1.4428329827459794,0.0,0.0,0.0,0,0.0,0.42857142857142855,0.2,0.05217391304347826,6,0.20985194991616987,0.5,0.23333333333333334,0.06086956521739131,7,0.1600405668233427,0.0,0.0,0.0,0,0.0,0.07142857142857142,0.03333333333333333,0.008695652173913044,1,17.820266091183292,0.0,0.0,0.0,0,0.0
setA-01,mutation,3,0.6859125940672257,0.2286375313557419,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.03333333333333333,0.008695652173913044,1,0.2420383573344722,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.6666666666666666,0.06666666666666667,0.017391304347826087,2,0.22193711836637675,0.0,0.0,0.0,0,0.0
setA-01,crossover+mutation,13,1.5358228773790827,0.11814022133685252,0.0,0.0,0.0,0,0.0,0.46153846153846156,0.2,0.05217391304347826,6,0.09324807410849208,0.3076923076923077,0.13333333333333333,0.034782608695652174,4,0.08953906976766035,0.0,0.0,0.0,0,0.0,0.23076923076923078,0.1,0.02608695652173913,3,0.20605938455249628,0.0,0.0,0.0,0,0.0
setA-03,crossover,8,7.158315082092763,0.8947893852615953,0.0,0.0,0.0,0,0.0,0.5,0.18181818181818182,0.056338028169014086,4,1.6186845891445554,0.125,0.045454545454545456,0.014084507042253521,1,0.6396488032469563,0.375,0.13636363636363635,0.04225352112676056,3,0.014642640755861672,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
setA-03,mutation,5,3.4028634584879356,0.6805726916975872,0.0,0.0,0.0,0,0.0,0.2,0.045454545454545456,0.014084507042253521,1,0.27104437491165356,0.6,0.13636363636363635,0.04225352112676056,3,0.4065471430356264,0.0,0.0,0.0,0,0.0,0.2,0.045454545454545456,0.014084507042253521,1,1.912177654469403,0.0,0.0,0.0,0,0.0
setA-03,crossover+mutation,9,35.39832244172918,3.9331469379699087,0.1111111111111111,0.045454545454545456,0.014084507042253521,1,32.40761288106337,0.2222222222222222,0.09090909090909091,0.028169014084507043,2,0.19930515591192233,0.4444444444444444,0.18181818181818182,0.056338028169014086,4,0.6359080480881367,0.2222222222222222,0.09090909090909091,0.028169014084507043,2,0.02423352824470726,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
setA-04,crossover,7,10.995686300000074,1.570812328571439,0.0,0.0,0.0,0,0.0,0.14285714285714285,0.1,0.07142857142857142,1,1.0428019179561545,0.14285714285714285,0.1,0.07142857142857142,1,1.5465749254893666,0.14285714285714285,0.1,0.07142857142857142,1,1.9350560972703903,0.5714285714285714,0.4,0.2857142857142857,4,1.6178133398210406,0.0,0.0,0.0,0,0.0
setA-04,mutation,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
setA-04,crossover+mutation,3,2.625516493584783,0.875172164528261,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.6666666666666666,0.2,0.14285714285714285,2,0.7021271717202353,0.3333333333333333,0.1,0.07142857142857142,1,1.2212621501443124,0.0,0.0,0.0,0,0.0
setA-05,crossover,7,1.7949516670716985,0.2564216667245284,0.0,0.0,0.0,0,0.0,0.42857142857142855,0.3,0.2727272727272727,3,0.37023227412321447,0.0,0.0,0.0,0,0.0,0.2857142857142857,0.2,0.18181818181818182,2,0.08478228329553605,0.2857142857142857,0.2,0.18181818181818182,2,0.2573451390554915,0.0,0.0,0.0,0,0.0
