instance,num_nodes,num_links,num_demands,strategy,valid,final_obj,n_gens,ms_per_gen,total_zone_moves,peak_moves,shoulder_moves,mutation_count,crossover_count,mut_peak_abs,mut_total,mut_peak_acr,peak_aps,shoulder_aps,max_stagnation,ifr
setA-01,20,80,40,uniform,True,48.818543,115,169.0,30,0,13,967,2104,0,3,0.0000,0.0000,0.4333,20,0.2000
setA-01,20,80,40,peak_targeted,True,48.911992,90,180.7,20,0,7,716,1667,0,4,0.0000,0.0000,0.3500,20,0.2000
setA-02,30,150,45,uniform,False,inf,21,85.4,0,0,0,197,374,0,0,0.0000,0.0000,0.0000,20,0.0000
setA-02,30,150,45,peak_targeted,False,inf,21,95.7,0,0,0,185,380,0,0,0.0000,0.0000,0.0000,20,0.0000
setA-03,50,250,20,uniform,True,60.249123,71,269.9,22,1,7,619,1288,0,5,0.0000,0.0455,0.3182,20,0.0400
setA-03,50,250,20,peak_targeted,True,60.210267,70,260.4,18,1,3,632,1259,0,5,0.0000,0.0556,0.1667,20,0.0400
setA-04,50,250,200,uniform,True,64.987757,14,2303.7,10,0,1,130,250,0,0,0.0000,0.0000,0.1000,1,0.1400
setA-04,50,250,200,peak_targeted,True,65.319637,14,2243.1,11,0,2,110,260,0,0,0.0000,0.0000,0.1818,2,0.1400
setA-05,100,396,100,uniform,True,13.722146,11,2889.5,10,0,3,101,197,0,0,0.0000,0.0000,0.3000,0,0.7800
setA-05,100,396,100,peak_targeted,True,13.542028,11,2843.1,9,0,1,85,205,0,0,0.0000,0.0000,0.1111,1,0.7800
setA-06,100,500,500,uniform,True,55.199044,12,11275.7,10,1,1,98,221,0,0,0.0000,0.1000,0.1000,1,0.1000
setA-06,100,500,500,peak_targeted,True,54.478731,12,10416.8,10,1,2,102,219,0,0,0.0000,0.1000,0.2000,1,0.1000
setA-07,100,500,800,uniform,False,inf,21,3632.2,0,0,0,173,386,0,0,0.0000,0.0000,0.0000,20,0.0000
setA-07,100,500,800,peak_targeted,True,247.999557,16,13376.3,12,1,0,114,303,0,0,0.0000,0.0833,0.0000,2,0.0000
setA-08,150,654,200,uniform,True,49.740799,9,7428.6,6,0,0,91,157,0,0,0.0000,0.0000,0.0000,1,0.1000
setA-08,150,654,200,peak_targeted,True,51.956151,9,7349.9,5,0,1,85,160,0,1,0.0000,0.0000,0.2000,2,0.1000
setA-09,150,750,200,uniform,True,155.428289,11,7445.6,7,0,0,85,205,0,0,0.0000,0.0000,0.0000,1,0.1600
setA-09,150,750,200,peak_targeted,True,159.282768,11,7049.5,8,0,0,95,200,0,0,0.0000,0.0000,0.0000,1,0.1600
setA-10,150,966,1000,uniform,True,86.931987,11,29502.2,8,0,1,101,197,0,0,0.0000,0.0000,0.1250,2,0.0400
setA-10,150,966,1000,peak_targeted,True,83.365492,11,29489.4,9,0,3,91,202,0,0,0.0000,0.0000,0.3333,1,0.0400
setA-11,200,1000,400,uniform,True,113.583317,10,20470.9,8,0,0,88,181,0,1,0.0000,0.0000,0.0000,1,0.2400
setA-11,200,1000,400,peak_targeted,True,112.574032,10,20197.4,8,0,0,98,176,0,0,0.0000,0.0000,0.0000,1,0.2400
setA-12,200,898,400,uniform,True,18.415680,19,10433.1,7,0,1,163,346,0,0,0.0000,0.0000,0.1429,11,0.0000
setA-12,200,898,400,peak_targeted,False,inf,21,5647.1,0,0,0,179,383,0,0,0.0000,0.0000,0.0000,20,0.0000
setA-13,200,1000,2000,uniform,False,inf,15,20166.0,0,0,0,121,277,0,0,0.0000,0.0000,0.0000,14,0.0000
setA-13,200,1000,2000,peak_targeted,False,inf,15,20384.3,0,0,0,135,270,0,0,0.0000,0.0000,0.0000,14,0.0000
setA-14,250,1108,600,uniform,True,94.770643,8,38642.9,6,0,0,66,147,0,0,0.0000,0.0000,0.0000,1,0.1400
setA-14,250,1108,600,peak_targeted,True,95.126900,8,38090.2,5,0,1,60,150,0,0,0.0000,0.0000,0.2000,1,0.1400
setA-15,250,1250,600,uniform,True,242.220454,9,36537.7,8,0,1,63,171,0,0,0.0000,0.0000,0.1250,0,0.1400
setA-15,250,1250,600,peak_targeted,True,249.715507,8,37768.4,7,0,3,68,146,0,0,0.0000,0.0000,0.4286,0,0.1400
setA-16,250,1452,4800,uniform,False,inf,5,63075.8,0,0,0,43,91,0,0,0.0000,0.0000,0.0000,4,0.0000
setA-16,250,1452,4800,peak_targeted,False,inf,5,63515.8,0,0,0,55,85,0,0,0.0000,0.0000,0.0000,4,0.0000
setA-17,300,1270,2000,uniform,True,60.245648,2,181367.0,1,0,0,16,37,0,1,0.0000,0.0000,0.0000,0,0.3200
setA-17,300,1270,2000,peak_targeted,True,60.247011,2,182362.0,0,0,0,20,35,0,0,0.0000,0.0000,0.0000,1,0.3200
setA-18,300,1500,2000,uniform,True,799246.218857,6,67717.8,2,0,0,62,104,0,0,0.0000,0.0000,0.0000,1,0.0200
setA-18,300,1500,2000,peak_targeted,True,799255.617715,5,66046.6,3,0,1,51,87,0,1,0.0000,0.0000,0.3333,1,0.0200
setA-19,300,1998,6000,uniform,False,inf,3,108579.3,0,0,0,25,55,0,0,0.0000,0.0000,0.0000,2,0.0000
setA-19,300,1998,6000,peak_targeted,False,inf,3,108661.3,0,0,0,31,52,0,0,0.0000,0.0000,0.0000,2,0.0000
setA-20,400,2000,6000,uniform,False,inf,2,179343.0,0,0,0,28,31,0,0,0.0000,0.0000,0.0000,1,0.0000
setA-20,400,2000,6000,peak_targeted,False,inf,2,179966.5,0,0,0,18,36,0,0,0.0000,0.0000,0.0000,1,0.0000
