strategy,operator,zone,mean_acr,median_acr,n_instances
uniform,mutation,peak,0.0000,0.0000,20
uniform,mutation,shoulder,0.0267,0.0000,20
uniform,mutation,transition,0.0800,0.0000,20
uniform,mutation,tail,0.0500,0.0000,20
uniform,mutation,mixed,0.0433,0.0000,20
uniform,mutation,neutral,0.0000,0.0000,20
uniform,crossover,peak,0.0100,0.0000,20
uniform,crossover,shoulder,0.0921,0.0000,20
uniform,crossover,transition,0.0809,0.0000,20
uniform,crossover,tail,0.2409,0.0000,20
uniform,crossover,mixed,0.2261,0.0357,20
uniform,crossover,neutral,0.0000,0.0000,20
uniform,crossover+mutation,peak,0.0056,0.0000,20
uniform,crossover+mutation,shoulder,0.0592,0.0000,20
uniform,crossover+mutation,transition,0.1076,0.0000,20
uniform,crossover+mutation,tail,0.2544,0.0833,20
uniform,crossover+mutation,mixed,0.2065,0.0000,20
uniform,crossover+mutation,neutral,0.0167,0.0000,20
uniform,elite,peak,0.0000,0.0000,20
uniform,elite,shoulder,0.0000,0.0000,20
uniform,elite,transition,0.0000,0.0000,20
uniform,elite,tail,0.0000,0.0000,20
uniform,elite,mixed,0.0000,0.0000,20
uniform,elite,neutral,0.0000,0.0000,20
uniform,initial,peak,0.0000,0.0000,20
uniform,initial,shoulder,0.0000,0.0000,20
uniform,initial,transition,0.0000,0.0000,20
uniform,initial,tail,0.0000,0.0000,20
uniform,initial,mixed,0.0000,0.0000,20
uniform,initial,neutral,0.0000,0.0000,20
peak_targeted,mutation,peak,0.0000,0.0000,20
peak_targeted,mutation,shoulder,0.0125,0.0000,20
peak_targeted,mutation,transition,0.0450,0.0000,20
peak_targeted,mutation,tail,0.1000,0.0000,20
peak_targeted,mutation,mixed,0.0425,0.0000,20
peak_targeted,mutation,neutral,0.0000,0.0000,20
peak_targeted,crossover,peak,0.0100,0.0000,20
peak_targeted,crossover,shoulder,0.1157,0.0000,20
peak_targeted,crossover,transition,0.1112,0.0000,20
peak_targeted,crossover,tail,0.2268,0.1000,20
peak_targeted,crossover,mixed,0.1791,0.0000,20
peak_targeted,crossover,neutral,0.0071,0.0000,20
peak_targeted,crossover+mutation,peak,0.0171,0.0000,20
peak_targeted,crossover+mutation,shoulder,0.1618,0.0000,20
peak_targeted,crossover+mutation,transition,0.1318,0.0000,20
peak_targeted,crossover+mutation,tail,0.1209,0.0000,20
peak_targeted,crossover+mutation,mixed,0.1684,0.0000,20
peak_targeted,crossover+mutation,neutral,0.0000,0.0000,20
peak_targeted,elite,peak,0.0000,0.0000,20
peak_targeted,elite,shoulder,0.0000,0.0000,20
peak_targeted,elite,transition,0.0000,0.0000,20
peak_targeted,elite,tail,0.0000,0.0000,20
peak_targeted,elite,mixed,0.0000,0.0000,20
peak_targeted,elite,neutral,0.0000,0.0000,20
peak_targeted,initial,peak,0.0000,0.0000,20
peak_targeted,initial,shoulder,0.0000,0.0000,20
peak_targeted,initial,transition,0.0000,0.0000,20
peak_targeted,initial,tail,0.0000,0.0000,20
peak_targeted,initial,mixed,0.0000,0.0000,20
peak_targeted,initial,neutral,0.0000,0.0000,20
