instance,num_nodes,num_links,num_demands,u_valid,pt_valid,u_final_obj,pt_final_obj,delta_obj,u_n_gens,pt_n_gens,u_ms_per_gen,pt_ms_per_gen,u_runtime_ms,pt_runtime_ms,u_ifr,pt_ifr,u_peak_aps,pt_peak_aps,u_shoulder_aps,pt_shoulder_aps,u_mut_peak_acr,pt_mut_peak_acr,u_mut_peak_abs,pt_mut_peak_abs,u_mut_total,pt_mut_total,u_termination,pt_termination
setA-01,20,80,40,True,True,48.818543,48.911992,0.093449,115,90,169.0,180.7,19437,16261,0.2000,0.2000,0.0000,0.0000,0.4333,0.3500,0.0000,0.0000,0,0,3,4,NoImprovement(20),NoImprovement(20)
setA-02,30,150,45,False,False,inf,inf,n/a,21,21,85.4,95.7,1793,2010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,NoImprovement(20),NoImprovement(20)
setA-03,50,250,20,True,True,60.249123,60.210267,-0.038856,71,70,269.9,260.4,19163,18226,0.0400,0.0400,0.0455,0.0556,0.3182,0.1667,0.0000,0.0000,0,0,5,5,NoImprovement(20),NoImprovement(20)
setA-04,50,250,200,True,True,64.987757,65.319637,0.331880,14,14,2303.7,2243.1,32252,31403,0.1400,0.1400,0.0000,0.0000,0.1000,0.1818,0.0000,0.0000,0,0,0,0,TimeLimit(30.0s),TimeLimit(30.0s)
setA-05,100,396,100,True,True,13.722146,13.542028,-0.180118,11,11,2889.5,2843.1,31784,31274,0.7800,0.7800,0.0000,0.0000,0.3000,0.1111,0.0000,0.0000,0,0,0,0,TimeLimit(30.0s),TimeLimit(30.0s)
setA-06,100,500,500,True,True,55.199044,54.478731,-0.720313,12,12,11275.7,10416.8,135308,125001,0.1000,0.1000,0.1000,0.1000,0.1000,0.2000,0.0000,0.0000,0,0,0,0,TimeLimit(125.0s),TimeLimit(125.0s)
setA-07,100,500,800,False,True,inf,247.999557,n/a,21,16,3632.2,13376.3,76277,214021,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000,0,0,0,0,NoImprovement(20),TimeLimit(200.0s)
setA-08,150,654,200,True,True,49.740799,51.956151,2.215352,9,9,7428.6,7349.9,66857,66149,0.1000,0.1000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0,0,0,1,TimeLimit(65.0s),TimeLimit(65.0s)
setA-09,150,750,200,True,True,155.428289,159.282768,3.854479,11,11,7445.6,7049.5,81902,77545,0.1600,0.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,TimeLimit(75.0s),TimeLimit(75.0s)
setA-10,150,966,1000,True,True,86.931987,83.365492,-3.566494,11,11,29502.2,29489.4,324524,324383,0.0400,0.0400,0.0000,0.0000,0.1250,0.3333,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-11,200,1000,400,True,True,113.583317,112.574032,-1.009285,10,10,20470.9,20197.4,204709,201974,0.2400,0.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,TimeLimit(200.0s),TimeLimit(200.0s)
setA-12,200,898,400,True,False,18.415680,inf,n/a,19,21,10433.1,5647.1,198229,118589,0.0000,0.0000,0.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0,0,0,0,TimeLimit(179.0s),NoImprovement(20)
setA-13,200,1000,2000,False,False,inf,inf,n/a,15,15,20166.0,20384.3,302490,305764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-14,250,1108,600,True,True,94.770643,95.126900,0.356257,8,8,38642.9,38090.2,309143,304722,0.1400,0.1400,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-15,250,1250,600,True,True,242.220454,249.715507,7.495054,9,8,36537.7,37768.4,328839,302147,0.1400,0.1400,0.0000,0.0000,0.1250,0.4286,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-16,250,1452,4800,False,False,inf,inf,n/a,5,5,63075.8,63515.8,315379,317579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-17,300,1270,2000,True,True,60.245648,60.247011,0.001363,2,2,181367.0,182362.0,362734,364724,0.3200,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-18,300,1500,2000,True,True,799246.218857,799255.617715,9.398858,6,5,67717.8,66046.6,406307,330233,0.0200,0.0200,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0,0,0,1,TimeLimit(300.0s),TimeLimit(300.0s)
setA-19,300,1998,6000,False,False,inf,inf,n/a,3,3,108579.3,108661.3,325738,325984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
setA-20,400,2000,6000,False,False,inf,inf,n/a,2,2,179343.0,179966.5,358686,359933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,TimeLimit(300.0s),TimeLimit(300.0s)
