strategy,instance,peak,shoulder,transition,tail,mixed,neutral,total,peak_frac,shoulder_frac
uniform,setA-01,0,13,11,0,6,0,30,0.0000,0.4333
uniform,setA-02,0,0,0,0,0,0,0,0.0000,0.0000
uniform,setA-03,1,7,8,5,1,0,22,0.0455,0.3182
uniform,setA-04,0,1,1,3,5,0,10,0.0000,0.1000
uniform,setA-05,0,3,0,4,3,0,10,0.0000,0.3000
uniform,setA-06,1,1,2,1,5,0,10,0.1000,0.1000
uniform,setA-07,0,0,0,0,0,0,0,0.0000,0.0000
uniform,setA-08,0,0,0,1,5,0,6,0.0000,0.0000
uniform,setA-09,0,0,2,4,1,0,7,0.0000,0.0000
uniform,setA-10,0,1,3,2,2,0,8,0.0000,0.1250
uniform,setA-11,0,0,3,5,0,0,8,0.0000,0.0000
uniform,setA-12,0,1,1,1,3,1,7,0.0000,0.1429
uniform,setA-13,0,0,0,0,0,0,0,0.0000,0.0000
uniform,setA-14,0,0,0,3,3,0,6,0.0000,0.0000
uniform,setA-15,0,1,0,5,2,0,8,0.0000,0.1250
uniform,setA-16,0,0,0,0,0,0,0,0.0000,0.0000
uniform,setA-17,0,0,0,1,0,0,1,0.0000,0.0000
uniform,setA-18,0,0,0,2,0,0,2,0.0000,0.0000
uniform,setA-19,0,0,0,0,0,0,0,0.0000,0.0000
uniform,setA-20,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-01,0,7,10,1,2,0,20,0.0000,0.3500
peak_targeted,setA-02,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-03,1,3,6,1,7,0,18,0.0556,0.1667
peak_targeted,setA-04,0,2,3,4,2,0,11,0.0000,0.1818
peak_targeted,setA-05,0,1,1,3,4,0,9,0.0000,0.1111
peak_targeted,setA-06,1,2,2,0,5,0,10,0.1000,0.2000
peak_targeted,setA-07,1,0,2,3,5,1,12,0.0833,0.0000
peak_targeted,setA-08,0,1,0,3,1,0,5,0.0000,0.2000
peak_targeted,setA-09,0,0,2,4,2,0,8,0.0000,0.0000
peak_targeted,setA-10,0,3,2,2,2,0,9,0.0000,0.3333
peak_targeted,setA-11,0,0,2,6,0,0,8,0.0000,0.0000
peak_targeted,setA-12,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-13,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-14,0,1,0,1,3,0,5,0.0000,0.2000
peak_targeted,setA-15,0,3,0,2,2,0,7,0.0000,0.4286
peak_targeted,setA-16,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-17,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-18,0,1,0,2,0,0,3,0.0000,0.3333
peak_targeted,setA-19,0,0,0,0,0,0,0,0.0000,0.0000
peak_targeted,setA-20,0,0,0,0,0,0,0,0.0000,0.0000
