scope,instance_or_class,peak,shoulder,transition,tail,mixed,neutral,total
overall,ALL,0,31,29,38,33,1,132
class,shape_competition,0,24,23,28,15,1,91
class,collapsed_basin,0,7,6,10,18,0,41
instance,setA-01,0,9,5,3,3,0,20
instance,setA-03,0,3,6,2,2,0,13
instance,setA-04,0,0,3,2,4,0,9
instance,setA-05,0,3,2,3,3,0,11
instance,setA-06,0,4,1,3,6,0,14
instance,setA-08,0,0,0,2,5,0,7
instance,setA-09,0,1,3,5,1,0,10
instance,setA-10,0,4,2,2,1,0,9
instance,setA-11,0,0,1,6,2,0,9
instance,setA-12,0,2,1,1,3,0,7
instance,setA-14,0,2,2,2,1,0,7
instance,setA-15,0,2,2,5,0,0,9
instance,setA-17,0,1,0,0,2,0,3
instance,setA-18,0,0,1,2,0,1,4
