instance,seed,generation,best_obj,best_mlu,best_sdi,unique_fitness_count,valid_count,stagnation,moves_peak,moves_shoulder,moves_transition,moves_tail,moves_mixed,moves_neutral,crossover_count,mutation_count,instance_class
setA-01,0,0,61.85626892288729,0.7540106158878037,2.4195724934912075,8,7,0,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,1,61.85626892288729,0.7540106158878037,2.4195724934912075,15,16,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,2,56.5145395384871,0.7892701518809979,2.2136967980624407,27,28,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,3,52.768966592968106,0.7892701518809979,2.162078958869951,37,39,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,4,52.1195432864024,0.7561325903046432,2.136158835482519,40,44,0,0,0,0,0,1,0,0,0,shape_competition
setA-01,0,5,52.070531722030026,0.7561325903046432,2.136158835482519,42,45,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,6,51.47666159712102,0.7561325903046432,2.1192986512539513,39,47,0,0,0,0,0,1,0,0,0,shape_competition
setA-01,0,7,51.47666159712102,0.7561325903046432,2.1192986512539513,30,49,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,8,51.47666159712102,0.7561325903046432,2.1192986512539513,21,50,2,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,9,51.406066994049525,0.7249329586824843,2.118077226855883,23,50,0,0,0,0,1,0,0,0,0,shape_competition
setA-01,0,10,51.123086517843134,0.7249329586824843,2.098116304099734,22,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,11,51.111413161923025,0.7249329586824843,2.098116304099734,24,48,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,12,51.111413161923025,0.7249329586824843,2.098116304099734,20,50,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,13,50.37018859497615,0.7249329586824843,2.036251506422671,17,47,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,14,50.37018859497615,0.7249329586824843,2.036251506422671,18,48,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,15,50.37018859497615,0.7249329586824843,2.036251506422671,18,47,2,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,16,50.37018859497615,0.7249329586824843,2.036251506422671,15,49,3,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,17,50.37018859497615,0.7249329586824843,2.036251506422671,17,48,4,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,18,50.029174792633654,0.7249329586824843,2.027882076228753,16,48,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,19,49.70814205534549,0.7187466297135101,2.00710539738104,22,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,20,49.393109470002656,0.7249329586824843,1.9709442986062982,17,49,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,21,49.393109470002656,0.7249329586824843,1.9709442986062982,20,48,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,22,49.02779938722645,0.7104834776883322,1.9476445884247289,21,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,23,48.981626259330795,0.7104834776883322,1.951854148932222,19,50,0,0,0,0,0,1,0,0,0,shape_competition
setA-01,0,24,48.981626259330795,0.7104834776883322,1.951854148932222,17,49,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,25,48.94513174415644,0.7104834776883322,1.9443308872114655,22,47,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,26,48.94513174415644,0.7104834776883322,1.9443308872114655,18,49,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,27,48.90882937730958,0.7104834776883322,1.9454779972120653,13,50,0,0,0,0,1,0,0,0,0,shape_competition
