scope,instance_or_class,peak,shoulder,transition,tail,mixed,neutral,total
overall,ALL,1,26,23,28,32,2,112
class,shape_competition,1,20,19,19,21,2,82
class,collapsed_basin,0,6,4,9,11,0,30
instance,setA-01,0,10,7,0,1,2,20
instance,setA-03,0,4,6,2,4,0,16
instance,setA-04,0,2,1,3,4,0,10
instance,setA-05,0,0,2,3,2,0,7
instance,setA-06,0,2,1,1,4,0,8
instance,setA-08,0,2,0,2,1,0,5
instance,setA-09,0,0,1,3,3,0,7
instance,setA-10,0,1,2,2,3,0,8
instance,setA-11,0,0,2,4,1,0,7
instance,setA-12,0,3,0,1,3,0,7
instance,setA-13,1,1,0,0,2,0,4
instance,setA-14,0,1,0,2,1,0,4
instance,setA-15,0,0,0,3,2,0,5
instance,setA-17,0,0,0,0,1,0,1
instance,setA-18,0,0,1,2,0,0,3
