instance,seed,generation,best_obj,best_mlu,best_sdi,unique_fitness_count,valid_count,stagnation,moves_peak,moves_shoulder,moves_transition,moves_tail,moves_mixed,moves_neutral,crossover_count,mutation_count,instance_class
setA-01,0,0,53.97091042740893,0.7561325903046432,2.1413540542837324,8,7,0,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,1,52.41021060387973,0.7561325903046432,2.1345335934834155,17,19,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,2,52.41021060387973,0.7561325903046432,2.1345335934834155,27,26,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,3,51.936607069897775,0.7561325903046432,2.103121091813402,35,40,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,4,51.936607069897775,0.7561325903046432,2.103121091813402,47,50,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,5,51.533094277459384,0.7561325903046432,2.103121091813402,47,49,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,6,51.533094277459384,0.7561325903046432,2.103121091813402,45,49,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,7,51.44233439632373,0.7561325903046432,2.103121091813402,43,50,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,8,51.39338112177775,0.7561325903046432,2.096618210147849,40,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,9,51.24294994863425,0.7249329586824843,2.0811840360027736,27,49,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,10,51.24294994863425,0.7249329586824843,2.0811840360027736,24,50,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,11,51.125011935881275,0.7249329586824843,2.0740157834721358,21,48,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,12,51.08638098161122,0.7249329586824843,2.098891836125785,22,50,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,13,51.03742770706524,0.7249329586824843,2.0927801616695088,24,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,14,51.02492273532587,0.7249329586824843,2.0926592335023875,20,49,0,0,0,1,0,0,0,0,0,shape_competition
setA-01,0,15,50.99083329799925,0.7249329586824843,2.086777718519643,17,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,16,50.99083329799925,0.7249329586824843,2.086777718519643,18,50,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,17,50.99083329799925,0.7249329586824843,2.086777718519643,15,49,2,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,18,50.99083329799925,0.7249329586824843,2.086777718519643,12,50,3,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,19,50.99083329799925,0.7249329586824843,2.086777718519643,7,47,4,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,20,50.99083329799925,0.7249329586824843,2.086777718519643,14,50,5,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,21,50.99083329799925,0.7249329586824843,2.086777718519643,10,49,6,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,22,50.98776871512101,0.7249329586824843,2.086777718519643,16,49,0,0,0,0,0,0,1,0,0,shape_competition
setA-01,0,23,50.98776871512101,0.7249329586824843,2.086777718519643,19,50,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,24,50.98776871512101,0.7249329586824843,2.086777718519643,12,50,2,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,25,50.98776871512101,0.7249329586824843,2.086777718519643,16,49,3,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,26,50.840398742217424,0.7187466297135101,2.0719303677275356,14,49,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,27,50.719925104522595,0.7187466297135101,2.070726531793246,13,48,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,28,50.719925104522595,0.7187466297135101,2.070726531793246,13,48,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,29,50.719925104522595,0.7187466297135101,2.070726531793246,20,49,2,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,30,50.719925104522595,0.7187466297135101,2.070726531793246,19,48,3,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,31,50.719925104522595,0.7187466297135101,2.070726531793246,20,49,4,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,32,50.719925104522595,0.7187466297135101,2.070726531793246,11,49,5,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,33,50.719925104522595,0.7187466297135101,2.070726531793246,17,48,6,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,34,50.719925104522595,0.7187466297135101,2.070726531793246,9,49,7,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,35,50.2161524278791,0.7187466297135101,2.0009677457959705,13,50,0,0,1,0,0,0,0,0,0,shape_competition
setA-01,0,36,50.2161524278791,0.7187466297135101,2.0009677457959705,16,50,1,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,37,50.2161524278791,0.7187466297135101,2.0009677457959705,15,50,2,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,38,50.2161524278791,0.7187466297135101,2.0009677457959705,16,49,3,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,39,50.2161524278791,0.7187466297135101,2.0009677457959705,15,50,4,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,40,50.2161524278791,0.7187466297135101,2.0009677457959705,13,50,5,0,0,0,0,0,0,0,0,shape_competition
setA-01,0,41,50.2161524278791,0.7187466297135101,2.0009677457959705,15,49,6,0,0,0,0,0,0,0,0,shape_competition
