instance,total,valid,accepted,validity_rate,acceptance_rate,peak_generated,peak_valid,peak_accepted,shoulder_generated,shoulder_valid,shoulder_accepted
setA-01,3800,3676,38,96.73684210526316,1.0,0,0,0,176,176,21
setA-02,1050,0,0,0.0,0.0,0,0,0,0,0,0
setA-03,1950,1779,16,91.23076923076923,0.8205128205128205,1,1,1,149,149,4
setA-04,700,636,35,90.85714285714286,5.0,43,43,2,113,113,5
setA-05,500,500,18,100.0,3.6,8,8,0,64,64,2
setA-06,650,523,35,80.46153846153847,5.384615384615385,12,12,1,14,14,4
setA-07,750,497,32,66.26666666666667,4.266666666666667,13,13,0,83,83,5
setA-08,450,363,16,80.66666666666667,3.5555555555555554,23,23,0,52,52,4
setA-09,500,448,23,89.6,4.6,0,0,0,68,68,2
setA-10,650,398,28,61.23076923076923,4.3076923076923075,22,22,0,43,43,7
setA-11,500,453,28,90.6,5.6,0,0,0,110,110,1
setA-12,500,386,28,77.2,5.6,0,0,0,74,74,6
setA-13,750,0,0,0.0,0.0,0,0,0,0,0,0
setA-14,450,364,20,80.88888888888889,4.444444444444445,7,7,0,15,15,1
setA-15,400,349,17,87.25,4.25,0,0,0,50,50,1
setA-16,250,0,0,0.0,0.0,0,0,0,0,0,0
setA-17,100,84,8,84.0,8.0,4,4,0,7,7,1
setA-18,400,47,9,11.75,2.25,0,0,0,5,5,1
setA-19,150,0,0,0.0,0.0,0,0,0,0,0,0
setA-20,100,0,0,0.0,0.0,0,0,0,0,0,0
