decision_stage,reason,zone,count
Tournament,LostTournament,Tail,12261
Tournament,LostTournament,Shoulder,9832
Population,EnteredPopulation,Shoulder,4706
Tournament,LostTournament,Peak,4523
Evaluation,CapacityViolation,Tail,3585
Population,EnteredPopulation,Tail,2986
Tournament,LostTournament,Transition,2929
Population,EnteredPopulation,Peak,2185
Population,EnteredPopulation,Transition,1688
Elite,EnteredElite,Tail,816
GlobalBest,None,Tail,147
GlobalBest,None,Shoulder,134
Elite,EnteredElite,Shoulder,132
GlobalBest,None,Transition,94
Elite,EnteredElite,Transition,74
Elite,EnteredElite,Peak,59
GlobalBest,None,Peak,44
