instance,population_size,valid_count,invalid_count,initial_feasibility_rate,any_feasible,capacity_violation_count,budget_violation_count
setA-01,50,9,41,0.18,True,41,0
setA-02,50,0,50,0.0,False,50,0
setA-03,50,3,47,0.06,True,47,0
setA-04,50,5,45,0.1,True,45,0
setA-05,50,36,14,0.72,True,14,0
setA-06,50,2,48,0.04,True,48,0
setA-07,50,0,50,0.0,False,50,0
setA-08,50,4,46,0.08,True,46,0
setA-09,50,7,43,0.14,True,43,0
setA-10,50,4,46,0.08,True,46,0
setA-11,50,12,38,0.24,True,38,0
setA-12,50,1,49,0.02,True,49,0
setA-13,50,1,49,0.02,True,49,0
setA-14,50,5,45,0.1,True,45,0
setA-15,50,7,43,0.14,True,43,0
setA-16,50,0,50,0.0,False,50,0
setA-17,50,10,40,0.2,True,40,0
setA-18,50,0,50,0.0,False,50,0
setA-19,50,0,50,0.0,False,50,0
setA-20,50,0,50,0.0,False,50,0
