instance,total_gens,pop_size,total_evals,total_eval_ms,total_xo_ms,total_mut_ms,total_sel_ms,total_gen_ms,gens_per_s,evals_per_s,final_stagnation
setA-01,51,50,2550,8495.419544,3.4132050000000005,0.236046,7.697840000000001,8514.870542,5.989521478740057,299.47607393700287,20
setA-02,21,50,1050,1680.9022889999999,1.6327580000000004,0.132121,2.519088000000001,1688.13754,12.439744690471132,621.9872345235566,20
setA-03,61,50,3050,16180.665168,2.0227070000000005,0.177698,12.541729,16211.997046,3.7626456399491253,188.13228199745626,20
setA-04,14,50,700,29831.010458,3.8495860000000004,0.306004,3.0035369999999997,29843.033208,0.4691212150729715,23.456060753648575,1
setA-05,11,50,550,28562.383749,1.4524580000000002,0.105994,3.164757,28571.310625,0.385001589334686,19.2500794667343,1
setA-06,13,50,650,132973.445083,9.727832000000001,0.762587,4.259682,133001.491998,0.09774326441537577,4.887163220768789,0
setA-07,21,50,1050,75948.299127,24.333257,1.744422,3.5462490000000004,75989.963834,0.2763522831235251,13.817614156176255,20
setA-08,9,50,450,69910.278668,2.80788,0.199997,3.483658,69923.117293,0.1287127969750998,6.43563984875499,0
setA-09,10,50,500,74464.082333,2.8962030000000003,0.20741500000000002,4.161592000000001,74478.49741499999,0.13426694075578915,6.7133470377894575,0
setA-10,10,50,500,320432.579709,16.132995,1.1091229999999999,5.261705000000001,320469.988792,0.031204169968285136,1.5602084984142568,0
setA-11,9,50,450,194826.731585,5.423415,0.46242300000000003,5.228813000000001,194847.843707,0.04618988760036594,2.309494380018297,1
setA-12,10,50,500,187005.738083,5.871446,0.438291,5.588497,187031.201626,0.05346701466419846,2.673350733209923,0
setA-13,7,50,350,307878.903166,21.30367,1.702082,2.9977590000000003,307916.476418,0.02273343759135975,1.1366718795679875,0
setA-14,9,50,450,328244.310336,7.543787,0.529253,4.792302,328263.997752,0.02741695727107852,1.370847863553926,0
setA-15,9,50,450,321395.073459,7.525327,0.585339,5.5450800000000005,321417.396834,0.028000973465192248,1.4000486732596122,0
setA-16,5,50,250,253204.157833,33.364291,2.452876,1.107805,253253.82129199998,0.019743038720963793,0.9871519360481896,4
setA-17,2,50,100,257983.093291,5.4411700000000005,0.474748,1.2047500000000002,257994.54933300003,0.007752101760175367,0.38760508800876836,0
setA-18,8,50,400,387686.96687299997,22.140166,1.665751,2.8237909999999995,387723.537999,0.020633258535932977,1.0316629267966488,2
setA-19,3,50,150,236230.43125,25.867249,1.640708,0.6433739999999998,236267.070834,0.012697495209172776,0.6348747604586388,2
setA-20,2,50,100,230437.722458,15.947371999999998,1.6939579999999999,0.5670019999999997,230463.473875,0.008678164771068107,0.4339082385534053,1
