instance,seed,generations_run,total_gen_time_ms,mean_gen_time_ms,gens_per_min
setA-01,0,76,0.0,0.0,0.0
setA-02,0,21,0.0,0.0,0.0
setA-03,0,39,0.0,0.0,0.0
setA-04,0,14,0.0,0.0,0.0
setA-05,0,10,0.0,0.0,0.0
setA-06,0,13,0.0,0.0,0.0
setA-07,0,15,0.0,0.0,0.0
setA-08,0,9,0.0,0.0,0.0
setA-09,0,10,0.0,0.0,0.0
setA-10,0,13,0.0,0.0,0.0
setA-11,0,10,0.0,0.0,0.0
setA-12,0,10,0.0,0.0,0.0
setA-13,0,15,0.0,0.0,0.0
setA-14,0,9,0.0,0.0,0.0
setA-15,0,8,0.0,0.0,0.0
setA-16,0,5,0.0,0.0,0.0
setA-17,0,2,0.0,0.0,0.0
setA-18,0,8,0.0,0.0,0.0
setA-19,0,3,0.0,0.0,0.0
setA-20,0,2,0.0,0.0,0.0
