instance,seed,population_size,valid_count,invalid_count,initial_feasibility_rate,any_feasible,gen0_valid_check,gen0_match,total_generations_run,capacity_violation_count,budget_violation_count,repair_attempts,repair_successes
setA-01,0,50,6,44,0.12,True,6,True,76,0,0,0,0
setA-02,0,50,0,50,0.0,False,0,True,21,0,0,0,0
setA-03,0,50,3,47,0.06,True,3,True,39,0,0,0,0
setA-04,0,50,8,42,0.16,True,8,True,14,0,0,0,0
setA-05,0,50,40,10,0.8,True,40,True,10,0,0,0,0
setA-06,0,50,5,45,0.1,True,5,True,13,0,0,0,0
setA-07,0,50,0,50,0.0,False,0,True,15,0,0,0,0
setA-08,0,50,1,49,0.02,True,1,True,9,0,0,0,0
setA-09,0,50,7,43,0.14,True,7,True,10,0,0,0,0
setA-10,0,50,0,50,0.0,False,0,True,13,0,0,0,0
setA-11,0,50,18,32,0.36,True,18,True,10,0,0,0,0
setA-12,0,50,1,49,0.02,True,1,True,10,0,0,0,0
setA-13,0,50,0,50,0.0,False,0,True,15,0,0,0,0
setA-14,0,50,3,47,0.06,True,3,True,9,0,0,0,0
setA-15,0,50,7,43,0.14,True,7,True,8,0,0,0,0
setA-16,0,50,0,50,0.0,False,0,True,5,0,0,0,0
setA-17,0,50,13,37,0.26,True,13,True,2,0,0,0,0
setA-18,0,50,0,50,0.0,False,0,True,8,0,0,0,0
setA-19,0,50,0,50,0.0,False,0,True,3,0,0,0,0
setA-20,0,50,0,50,0.0,False,0,True,2,0,0,0,0
