instance,rank,load
setA-18,1,0.999998765
setA-18,2,0.713053571
setA-18,3,0.633365497
setA-18,4,0.497129965
setA-18,5,0.488645669
setA-18,6,0.442875403
setA-18,7,0.442016466
setA-18,8,0.440464767
setA-18,9,0.400031940
setA-18,10,0.379532646
setA-18,11,0.359399295
setA-18,12,0.351199057
setA-18,13,0.340903211
setA-18,14,0.325331604
setA-18,15,0.324783283
setA-18,16,0.323176301
setA-18,17,0.321493367
setA-18,18,0.321200334
setA-18,19,0.320444023
setA-18,20,0.319692045
setA-18,21,0.319440992
setA-18,22,0.311847193
setA-18,23,0.310458235
setA-18,24,0.301934418
setA-18,25,0.297736728
setA-18,26,0.295176528
setA-18,27,0.291980759
setA-18,28,0.291323986
setA-18,29,0.290479642
setA-18,30,0.288000331
setA-18,31,0.287722207
setA-18,32,0.286734426
setA-18,33,0.285170513
setA-18,34,0.285123786
setA-18,35,0.281712737
setA-18,36,0.278424590
setA-18,37,0.274322987
setA-18,38,0.273475057
setA-18,39,0.273083088
setA-18,40,0.271412839
setA-18,41,0.268268691
setA-18,42,0.267531720
setA-18,43,0.267377483
setA-18,44,0.266591207
setA-18,45,0.266025499
setA-18,46,0.265417083
setA-18,47,0.264500846
setA-18,48,0.261924228
setA-18,49,0.259475610
setA-18,50,0.259213004
setA-18,51,0.255914588
setA-18,52,0.255727353
setA-18,53,0.255491374
setA-18,54,0.253991679
setA-18,55,0.252219656
setA-18,56,0.250109833
setA-18,57,0.245981242
setA-18,58,0.245886011
setA-18,59,0.245790977
setA-18,60,0.241983945
setA-18,61,0.241211545
setA-18,62,0.239672644
setA-18,63,0.238188150
setA-18,64,0.237527273
setA-18,65,0.237304335
setA-18,66,0.236389091
setA-18,67,0.236025464
setA-18,68,0.236023013
setA-18,69,0.234908942
setA-18,70,0.233204156
setA-18,71,0.232147737
setA-18,72,0.232129131
setA-18,73,0.229137194
setA-18,74,0.228683358
setA-18,75,0.228145022
setA-18,76,0.227406647
setA-18,77,0.227170386
setA-18,78,0.226120537
setA-18,79,0.225745176
setA-18,80,0.225365226
setA-18,81,0.224307377
setA-18,82,0.223497679
setA-18,83,0.223495897
setA-18,84,0.220877608
setA-18,85,0.220867006
setA-18,86,0.218778149
setA-18,87,0.218164993
setA-18,88,0.217349921
setA-18,89,0.217136175
setA-18,90,0.215895752
setA-18,91,0.215063987
setA-18,92,0.214397661
setA-18,93,0.214044551
setA-18,94,0.213765798
setA-18,95,0.211325866
setA-18,96,0.210730962
setA-18,97,0.210159959
setA-18,98,0.207956471
setA-18,99,0.207571176
setA-18,100,0.207500283
setA-18,101,0.205902689
setA-18,102,0.205845043
setA-18,103,0.205298502
setA-18,104,0.205297879
setA-18,105,0.205105140
setA-18,106,0.204028150
setA-18,107,0.202120183
setA-18,108,0.201746207
setA-18,109,0.201716025
setA-18,110,0.201175915
setA-18,111,0.200748894
setA-18,112,0.200132451
setA-18,113,0.199224335
setA-18,114,0.199140154
setA-18,115,0.198783801
setA-18,116,0.198737562
setA-18,117,0.198666844
setA-18,118,0.198234253
setA-18,119,0.197382784
setA-18,120,0.196631154
setA-18,121,0.196102147
setA-18,122,0.195928778
setA-18,123,0.194958447
setA-18,124,0.194918695
setA-18,125,0.194746237
setA-18,126,0.194675271
setA-18,127,0.193824218
setA-18,128,0.193709591
setA-18,129,0.193659172
setA-18,130,0.193542120
setA-18,131,0.193493750
setA-18,132,0.193461571
setA-18,133,0.193427489
setA-18,134,0.192478465
setA-18,135,0.192338502
setA-18,136,0.191378781
setA-18,137,0.191322304
setA-18,138,0.190464241
setA-18,139,0.189944308
setA-18,140,0.189816111
setA-18,141,0.189607602
setA-18,142,0.189449227
setA-18,143,0.189218724
setA-18,144,0.188573656
setA-18,145,0.188512076
setA-18,146,0.188130328
setA-18,147,0.187459135
setA-18,148,0.187316557
setA-18,149,0.187135024
setA-18,150,0.187014163
setA-18,151,0.185945842
setA-18,152,0.185889282
setA-18,153,0.184862233
setA-18,154,0.184473132
setA-18,155,0.184287202
setA-18,156,0.184068015
setA-18,157,0.183863834
setA-18,158,0.183726706
setA-18,159,0.182436364
setA-18,160,0.182310243
setA-18,161,0.182221810
setA-18,162,0.182188647
setA-18,163,0.182158927
setA-18,164,0.181862526
setA-18,165,0.181243443
setA-18,166,0.180852867
setA-18,167,0.180705613
setA-18,168,0.180240187
setA-18,169,0.180009045
setA-18,170,0.179957794
setA-18,171,0.179248895
setA-18,172,0.178606616
setA-18,173,0.178400821
setA-18,174,0.178022733
setA-18,175,0.177840251
setA-18,176,0.177713366
setA-18,177,0.177112575
setA-18,178,0.176878116
setA-18,179,0.176501257
setA-18,180,0.175795514
setA-18,181,0.175035119
setA-18,182,0.174140553
setA-18,183,0.173600335
setA-18,184,0.173588933
setA-18,185,0.173356122
setA-18,186,0.172823941
setA-18,187,0.172582897
setA-18,188,0.172211025
setA-18,189,0.171975096
setA-18,190,0.171933100
setA-18,191,0.171915410
setA-18,192,0.171853244
setA-18,193,0.171599669
setA-18,194,0.171571486
setA-18,195,0.170971410
setA-18,196,0.170526284
setA-18,197,0.170483774
setA-18,198,0.170473764
setA-18,199,0.170328873
setA-18,200,0.169788739
setA-18,201,0.169741141
setA-18,202,0.169262312
setA-18,203,0.169022338
setA-18,204,0.168822796
setA-18,205,0.168159945
setA-18,206,0.167985601
setA-18,207,0.167634679
setA-18,208,0.167196149
setA-18,209,0.167111074
setA-18,210,0.166868915
setA-18,211,0.166786880
setA-18,212,0.166624554
setA-18,213,0.166506667
setA-18,214,0.166306683
setA-18,215,0.165108320
setA-18,216,0.164757251
setA-18,217,0.164633392
setA-18,218,0.164562121
setA-18,219,0.164165584
setA-18,220,0.163879258
setA-18,221,0.163546328
setA-18,222,0.163220776
setA-18,223,0.162886010
setA-18,224,0.162755109
setA-18,225,0.162640162
setA-18,226,0.162387179
setA-18,227,0.162133832
setA-18,228,0.161999012
setA-18,229,0.161941018
setA-18,230,0.161634577
setA-18,231,0.161244866
setA-18,232,0.159997867
setA-18,233,0.159577619
setA-18,234,0.159407446
setA-18,235,0.158785838
setA-18,236,0.158645335
setA-18,237,0.158317176
setA-18,238,0.158257333
setA-18,239,0.158141333
setA-18,240,0.158036530
setA-18,241,0.157732458
setA-18,242,0.157663456
setA-18,243,0.157576402
setA-18,244,0.156908092
setA-18,245,0.156898318
setA-18,246,0.156693511
setA-18,247,0.156196302
setA-18,248,0.156195312
setA-18,249,0.156008245
setA-18,250,0.155940783
setA-18,251,0.155823121
setA-18,252,0.155769534
setA-18,253,0.155049667
setA-18,254,0.154906562
setA-18,255,0.154828614
setA-18,256,0.154506338
setA-18,257,0.154249241
setA-18,258,0.154006209
setA-18,259,0.152757973
setA-18,260,0.152584036
setA-18,261,0.152582048
setA-18,262,0.152145069
setA-18,263,0.152044393
setA-18,264,0.151832974
setA-18,265,0.151782482
setA-18,266,0.151593750
setA-18,267,0.151323315
setA-18,268,0.151251508
setA-18,269,0.150885288
setA-18,270,0.150617847
setA-18,271,0.150319540
setA-18,272,0.150179747
setA-18,273,0.149927018
setA-18,274,0.149820513
setA-18,275,0.149036659
setA-18,276,0.149027531
setA-18,277,0.148894553
setA-18,278,0.148821031
setA-18,279,0.148730508
setA-18,280,0.148672791
setA-18,281,0.148606957
setA-18,282,0.148514706
setA-18,283,0.148103594
setA-18,284,0.147836277
setA-18,285,0.147764231
setA-18,286,0.147742842
setA-18,287,0.147243321
setA-18,288,0.147164225
setA-18,289,0.147123566
setA-18,290,0.147068953
setA-18,291,0.146906452
setA-18,292,0.146647818
setA-18,293,0.146189800
setA-18,294,0.146042673
setA-18,295,0.145942054
setA-18,296,0.145109738
setA-18,297,0.145033540
setA-18,298,0.144784615
setA-18,299,0.144718266
setA-18,300,0.144123975
setA-18,301,0.143361514
setA-18,302,0.142963502
setA-18,303,0.142772085
setA-18,304,0.142673701
setA-18,305,0.142057850
setA-18,306,0.141602452
setA-18,307,0.141580488
setA-18,308,0.141567033
setA-18,309,0.141243492
setA-18,310,0.141071403
setA-18,311,0.141043088
setA-18,312,0.141021277
setA-18,313,0.140709577
setA-18,314,0.140274624
setA-18,315,0.140012608
setA-18,316,0.139817934
setA-18,317,0.139717683
setA-18,318,0.139662140
setA-18,319,0.139625692
setA-18,320,0.139536321
setA-18,321,0.139451460
setA-18,322,0.139300229
setA-18,323,0.139247137
setA-18,324,0.139164037
setA-18,325,0.139095474
setA-18,326,0.139007308
setA-18,327,0.138857854
setA-18,328,0.138694611
setA-18,329,0.138670444
setA-18,330,0.138179352
setA-18,331,0.137994330
