penalty,genome,arc658_selections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
200.0,0,40,0.999999,0.999999,0,1869
200.0,1,39,1.012820,1.012820,1,1613
200.0,2,34,0.999999,0.999999,0,1631
200.0,3,38,0.999999,0.999999,0,1657
200.0,4,40,0.999999,0.999999,0,1632
200.0,5,44,0.999999,0.999999,0,1611
200.0,6,38,0.974358,0.974358,0,1607
200.0,7,36,0.999999,0.999999,0,1612
200.0,8,42,0.965811,0.965811,0,1642
200.0,9,44,0.999999,0.999999,0,1622
200.0,10,44,0.999999,0.999999,0,1607
200.0,11,42,0.965811,0.965811,0,1634
200.0,12,47,0.999999,0.999999,0,1616
200.0,13,37,0.999999,0.999999,0,1636
200.0,14,40,0.999999,0.999999,0,1599
200.0,15,38,0.974358,0.974358,0,1625
200.0,16,42,1.004273,1.004273,1,1604
200.0,17,39,1.012820,1.012820,1,1603
200.0,18,43,1.012820,1.012820,1,1624
200.0,19,41,1.012820,1.012820,1,1611
200.0,20,37,0.991452,0.991452,0,1611
200.0,21,42,0.999999,0.999999,0,1621
200.0,22,35,0.991452,0.991452,0,1615
200.0,23,39,0.999999,0.999999,0,1621
200.0,24,42,1.004273,1.004273,1,1624
200.0,25,40,1.012820,1.012820,1,1615
200.0,26,41,0.965811,0.965811,0,1625
200.0,27,39,1.012820,1.012820,1,1625
200.0,28,44,0.999999,0.999999,0,1625
200.0,29,32,0.965811,0.965811,0,1603
200.0,30,43,0.999999,0.999999,0,1613
200.0,31,38,0.974358,0.974358,0,1620
200.0,32,40,0.999999,0.999999,0,1618
200.0,33,39,0.991452,0.991452,0,1631
200.0,34,41,1.012820,1.012820,1,1618
200.0,35,40,0.999999,0.999999,0,1668
200.0,36,36,0.999999,0.999999,0,1615
200.0,37,43,1.012820,1.012820,1,1622
200.0,38,39,0.991452,0.991452,0,1606
200.0,39,40,0.999999,0.999999,0,1628
200.0,40,39,1.012820,1.012820,1,1613
200.0,41,42,0.999999,0.999999,0,1609
200.0,42,43,0.999999,0.999999,0,1613
200.0,43,41,1.012820,1.012820,1,1635
200.0,44,44,0.999999,0.999999,0,1611
200.0,45,38,0.974358,0.974358,0,1635
200.0,46,41,0.999999,0.999999,0,1621
200.0,47,36,1.012820,1.012820,1,1629
200.0,48,42,0.999999,0.999999,0,1628
200.0,49,45,0.987179,0.987179,0,1614
