filter,genome,arc658_selections,arc658_rejections,total_rejections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
capacity,0,40,0,0,0.999999,0.999999,0,4558
capacity,1,39,0,0,1.012820,1.012820,1,3236
capacity,2,34,0,0,0.999999,0.999999,0,3331
capacity,3,38,0,0,0.999999,0.999999,0,5963
capacity,4,40,0,0,0.999999,0.999999,0,4176
capacity,5,44,0,0,0.999999,0.999999,0,6224
capacity,6,38,0,0,0.974358,0.974358,0,5087
capacity,7,36,0,0,0.999999,0.999999,0,3770
capacity,8,42,0,0,0.965811,0.965811,0,6045
capacity,9,44,0,0,0.999999,0.999999,0,4230
capacity,10,44,0,0,0.999999,0.999999,0,4641
capacity,11,42,0,0,0.965811,0.965811,0,3902
capacity,12,47,0,0,0.999999,0.999999,0,5938
capacity,13,37,0,0,0.999999,0.999999,0,3071
capacity,14,40,0,0,0.999999,0.999999,0,4104
capacity,15,38,0,0,0.974358,0.974358,0,4304
capacity,16,42,0,0,1.004273,1.004273,1,3357
capacity,17,39,0,0,1.012820,1.012820,1,3285
capacity,18,43,0,0,1.012820,1.012820,1,3069
capacity,19,41,0,0,1.012820,1.012820,1,3030
capacity,20,37,0,0,0.991452,0.991452,0,3494
capacity,21,42,0,0,0.999999,0.999999,0,3367
capacity,22,35,0,0,0.991452,0.991452,0,3212
capacity,23,39,0,0,0.999999,0.999999,0,3299
capacity,24,42,0,0,1.004273,1.004273,1,3049
capacity,25,40,0,0,1.012820,1.012820,1,3439
capacity,26,41,0,0,0.965811,0.965811,0,3949
capacity,27,39,0,0,1.012820,1.012820,1,3131
capacity,28,44,0,0,0.999999,0.999999,0,3181
capacity,29,32,0,0,0.965811,0.965811,0,3546
capacity,30,43,0,0,0.999999,0.999999,0,3359
capacity,31,38,0,0,0.974358,0.974358,0,3040
capacity,32,40,0,0,0.999999,0.999999,0,3104
capacity,33,39,0,0,0.991452,0.991452,0,3132
capacity,34,41,0,0,1.012820,1.012820,1,3075
capacity,35,40,0,0,0.999999,0.999999,0,3065
capacity,36,36,0,0,0.999999,0.999999,0,3045
capacity,37,43,0,0,1.012820,1.012820,1,3061
capacity,38,39,0,0,0.991452,0.991452,0,3032
capacity,39,40,0,0,0.999999,0.999999,0,3060
capacity,40,39,0,0,1.012820,1.012820,1,3050
capacity,41,42,0,0,0.999999,0.999999,0,3138
capacity,42,43,0,0,0.999999,0.999999,0,3057
capacity,43,41,0,0,1.012820,1.012820,1,3070
capacity,44,44,0,0,0.999999,0.999999,0,3121
capacity,45,38,0,0,0.974358,0.974358,0,3057
capacity,46,41,0,0,0.999999,0.999999,0,3085
capacity,47,36,0,0,1.012820,1.012820,1,3058
capacity,48,42,0,0,0.999999,0.999999,0,3058
capacity,49,45,0,0,0.987179,0.987179,0,3057
