filter,genome,arc658_selections,arc658_rejections,total_rejections,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
none,0,40,0,0,0.999999,0.999999,0,2072
none,1,39,0,0,1.012820,1.012820,1,1633
none,2,34,0,0,0.999999,0.999999,0,1657
none,3,38,0,0,0.999999,0.999999,0,1711
none,4,40,0,0,0.999999,0.999999,0,1719
none,5,44,0,0,0.999999,0.999999,0,1610
none,6,38,0,0,0.974358,0.974358,0,1603
none,7,36,0,0,0.999999,0.999999,0,1661
none,8,42,0,0,0.965811,0.965811,0,1629
none,9,44,0,0,0.999999,0.999999,0,1600
none,10,44,0,0,0.999999,0.999999,0,1596
none,11,42,0,0,0.965811,0.965811,0,2039
none,12,47,0,0,0.999999,0.999999,0,2170
none,13,37,0,0,0.999999,0.999999,0,2552
none,14,40,0,0,0.999999,0.999999,0,1593
none,15,38,0,0,0.974358,0.974358,0,1908
none,16,42,0,0,1.004273,1.004273,1,1926
none,17,39,0,0,1.012820,1.012820,1,1590
none,18,43,0,0,1.012820,1.012820,1,1616
none,19,41,0,0,1.012820,1.012820,1,1820
none,20,37,0,0,0.991452,0.991452,0,1970
none,21,42,0,0,0.999999,0.999999,0,1607
none,22,35,0,0,0.991452,0.991452,0,1603
none,23,39,0,0,0.999999,0.999999,0,2187
none,24,42,0,0,1.004273,1.004273,1,1922
none,25,40,0,0,1.012820,1.012820,1,1741
none,26,41,0,0,0.965811,0.965811,0,1870
none,27,39,0,0,1.012820,1.012820,1,1964
none,28,44,0,0,0.999999,0.999999,0,1614
none,29,32,0,0,0.965811,0.965811,0,1598
none,30,43,0,0,0.999999,0.999999,0,1999
none,31,38,0,0,0.974358,0.974358,0,2148
none,32,40,0,0,0.999999,0.999999,0,1921
none,33,39,0,0,0.991452,0.991452,0,1913
none,34,41,0,0,1.012820,1.012820,1,1893
none,35,40,0,0,0.999999,0.999999,0,1897
none,36,36,0,0,0.999999,0.999999,0,1637
none,37,43,0,0,1.012820,1.012820,1,1844
none,38,39,0,0,0.991452,0.991452,0,1616
none,39,40,0,0,0.999999,0.999999,0,1868
none,40,39,0,0,1.012820,1.012820,1,1650
none,41,42,0,0,0.999999,0.999999,0,1685
none,42,43,0,0,0.999999,0.999999,0,1600
none,43,41,0,0,1.012820,1.012820,1,1679
none,44,44,0,0,0.999999,0.999999,0,1596
none,45,38,0,0,0.974358,0.974358,0,1638
none,46,41,0,0,0.999999,0.999999,0,1597
none,47,36,0,0,1.012820,1.012820,1,1992
none,48,42,0,0,0.999999,0.999999,0,2244
none,49,45,0,0,0.987179,0.987179,0,2044
