threshold,genome,arc658_selections,arc658_rejections,total_rejections,first_rejection_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
0.70,0,40,0,0,none,0.999999,0.999999,0,3226
0.70,1,39,0,0,none,1.012820,1.012820,1,3078
0.70,2,34,0,0,none,0.999999,0.999999,0,3105
0.70,3,38,0,0,none,0.999999,0.999999,0,3083
0.70,4,40,0,0,none,0.999999,0.999999,0,3088
0.70,5,44,0,0,none,0.999999,0.999999,0,3086
0.70,6,38,0,0,none,0.974358,0.974358,0,3111
0.70,7,36,0,0,none,0.999999,0.999999,0,3096
0.70,8,42,0,0,none,0.965811,0.965811,0,3103
0.70,9,44,0,0,none,0.999999,0.999999,0,3089
0.70,10,44,0,0,none,0.999999,0.999999,0,3079
0.70,11,42,0,0,none,0.965811,0.965811,0,3182
0.70,12,47,0,0,none,0.999999,0.999999,0,3047
0.70,13,37,0,0,none,0.999999,0.999999,0,3060
0.70,14,40,0,0,none,0.999999,0.999999,0,3079
0.70,15,38,0,0,none,0.974358,0.974358,0,3105
0.70,16,42,0,0,none,1.004273,1.004273,1,3056
0.70,17,39,0,0,none,1.012820,1.012820,1,3066
0.70,18,43,0,0,none,1.012820,1.012820,1,3068
0.70,19,41,0,0,none,1.012820,1.012820,1,3083
0.70,20,37,0,0,none,0.991452,0.991452,0,3120
0.70,21,42,0,0,none,0.999999,0.999999,0,3116
0.70,22,35,0,0,none,0.991452,0.991452,0,3053
0.70,23,39,0,0,none,0.999999,0.999999,0,3046
0.70,24,42,0,0,none,1.004273,1.004273,1,3124
0.70,25,40,0,0,none,1.012820,1.012820,1,3059
0.70,26,41,0,0,none,0.965811,0.965811,0,3060
0.70,27,39,0,0,none,1.012820,1.012820,1,3053
0.70,28,44,0,0,none,0.999999,0.999999,0,3049
0.70,29,32,0,0,none,0.965811,0.965811,0,3069
0.70,30,43,0,0,none,0.999999,0.999999,0,3017
0.70,31,38,0,0,none,0.974358,0.974358,0,4748
0.70,32,40,0,0,none,0.999999,0.999999,0,3404
0.70,33,39,0,0,none,0.991452,0.991452,0,4223
0.70,34,41,0,0,none,1.012820,1.012820,1,2998
0.70,35,40,0,0,none,0.999999,0.999999,0,3015
0.70,36,36,0,0,none,0.999999,0.999999,0,3007
0.70,37,43,0,0,none,1.012820,1.012820,1,3004
0.70,38,39,0,0,none,0.991452,0.991452,0,2984
0.70,39,40,0,0,none,0.999999,0.999999,0,3179
0.70,40,39,0,0,none,1.012820,1.012820,1,3007
0.70,41,42,0,0,none,0.999999,0.999999,0,2987
0.70,42,43,0,0,none,0.999999,0.999999,0,3019
0.70,43,41,0,0,none,1.012820,1.012820,1,3007
0.70,44,44,0,0,none,0.999999,0.999999,0,2994
0.70,45,38,0,0,none,0.974358,0.974358,0,3060
0.70,46,41,0,0,none,0.999999,0.999999,0,5120
0.70,47,36,0,0,none,1.012820,1.012820,1,4583
0.70,48,42,0,0,none,0.999999,0.999999,0,7198
0.70,49,45,0,0,none,0.987179,0.987179,0,3823
