condition,genome,arc658_selections,arc658_diversions,first_arc658_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
control,0,40,0,16,0.999999,0.999999,0,2500
control,1,39,0,20,1.012820,1.012820,1,1778
control,2,34,0,35,0.999999,0.999999,0,1864
control,3,38,0,41,0.999999,0.999999,0,1722
control,4,40,0,17,0.999999,0.999999,0,2176
control,5,44,0,12,0.999999,0.999999,0,2459
control,6,38,0,49,0.974358,0.974358,0,1614
control,7,36,0,6,0.999999,0.999999,0,1607
control,8,42,0,20,0.965811,0.965811,0,1981
control,9,44,0,6,0.999999,0.999999,0,1619
control,10,44,0,70,0.999999,0.999999,0,1608
control,11,42,0,3,0.965811,0.965811,0,1655
control,12,47,0,68,0.999999,0.999999,0,1887
control,13,37,0,42,0.999999,0.999999,0,2177
control,14,40,0,5,0.999999,0.999999,0,2278
control,15,38,0,171,0.974358,0.974358,0,1832
control,16,42,0,51,1.004273,1.004273,1,1665
control,17,39,0,118,1.012820,1.012820,1,1594
control,18,43,0,41,1.012820,1.012820,1,1630
control,19,41,0,96,1.012820,1.012820,1,1614
control,20,37,0,6,0.991452,0.991452,0,2434
control,21,42,0,16,0.999999,0.999999,0,1933
control,22,35,0,27,0.991452,0.991452,0,1656
control,23,39,0,16,0.999999,0.999999,0,1624
control,24,42,0,36,1.004273,1.004273,1,1634
control,25,40,0,155,1.012820,1.012820,1,1689
control,26,41,0,6,0.965811,0.965811,0,1951
control,27,39,0,35,1.012820,1.012820,1,1787
control,28,44,0,12,0.999999,0.999999,0,2207
control,29,32,0,11,0.965811,0.965811,0,1613
control,30,43,0,7,0.999999,0.999999,0,1618
control,31,38,0,28,0.974358,0.974358,0,1636
control,32,40,0,24,0.999999,0.999999,0,1758
control,33,39,0,54,0.991452,0.991452,0,1654
control,34,41,0,3,1.012820,1.012820,1,1690
control,35,40,0,3,0.999999,0.999999,0,1808
control,36,36,0,99,0.999999,0.999999,0,1655
control,37,43,0,30,1.012820,1.012820,1,3228
control,38,39,0,81,0.991452,0.991452,0,2867
control,39,40,0,99,0.999999,0.999999,0,1625
control,40,39,0,13,1.012820,1.012820,1,1856
control,41,42,0,6,0.999999,0.999999,0,1600
control,42,43,0,3,0.999999,0.999999,0,1618
control,43,41,0,20,1.012820,1.012820,1,1635
control,44,44,0,3,0.999999,0.999999,0,1608
control,45,38,0,6,0.974358,0.974358,0,1744
control,46,41,0,50,0.999999,0.999999,0,1605
control,47,36,0,28,1.012820,1.012820,1,1616
control,48,42,0,27,0.999999,0.999999,0,1621
control,49,45,0,8,0.987179,0.987179,0,1660
