condition,genome,arc658_selections,arc658_diversions,first_arc658_step,arc658_max_sat,genome_max_sat,overloaded,ctor_ms
lookahead,0,40,0,16,0.999999,0.999999,0,5932
lookahead,1,39,0,20,1.012820,1.012820,1,5660
lookahead,2,34,0,35,0.999999,0.999999,0,5323
lookahead,3,38,0,41,0.999999,0.999999,0,5349
lookahead,4,40,0,17,0.999999,0.999999,0,7059
lookahead,5,44,0,12,0.999999,0.999999,0,7066
lookahead,6,38,0,49,0.974358,0.974358,0,5749
lookahead,7,36,0,6,0.999999,0.999999,0,5469
lookahead,8,42,0,20,0.965811,0.965811,0,6105
lookahead,9,44,0,6,0.999999,0.999999,0,6381
lookahead,10,44,0,70,0.999999,0.999999,0,7320
lookahead,11,42,0,3,0.965811,0.965811,0,5677
lookahead,12,47,0,68,0.999999,0.999999,0,6394
lookahead,13,37,0,42,0.999999,0.999999,0,5661
lookahead,14,40,0,5,0.999999,0.999999,0,5820
lookahead,15,38,0,171,0.974358,0.974358,0,6304
lookahead,16,42,0,51,1.004273,1.004273,1,6013
lookahead,17,39,0,118,1.012820,1.012820,1,5418
lookahead,18,43,0,41,1.012820,1.012820,1,5971
lookahead,19,41,0,96,1.012820,1.012820,1,5561
lookahead,20,37,0,6,0.991452,0.991452,0,5724
lookahead,21,42,0,16,0.999999,0.999999,0,7246
lookahead,22,35,0,27,0.991452,0.991452,0,5343
lookahead,23,39,0,16,0.999999,0.999999,0,6456
lookahead,24,42,0,36,1.004273,1.004273,1,6652
lookahead,25,40,0,155,1.012820,1.012820,1,5480
lookahead,26,41,0,6,0.965811,0.965811,0,6026
lookahead,27,39,0,35,1.012820,1.012820,1,6913
lookahead,28,44,0,12,0.999999,0.999999,0,7355
lookahead,29,32,0,11,0.965811,0.965811,0,4945
lookahead,30,43,0,7,0.999999,0.999999,0,6228
lookahead,31,38,0,28,0.974358,0.974358,0,5780
lookahead,32,40,0,24,0.999999,0.999999,0,5980
lookahead,33,39,0,54,0.991452,0.991452,0,6772
lookahead,34,41,0,3,1.012820,1.012820,1,5973
lookahead,35,40,0,3,0.999999,0.999999,0,5907
lookahead,36,36,0,99,0.999999,0.999999,0,5610
lookahead,37,43,0,30,1.012820,1.012820,1,5946
lookahead,38,39,0,81,0.991452,0.991452,0,5782
lookahead,39,40,0,99,0.999999,0.999999,0,6601
lookahead,40,39,0,13,1.012820,1.012820,1,6840
lookahead,41,42,0,6,0.999999,0.999999,0,6573
lookahead,42,43,0,3,0.999999,0.999999,0,6065
lookahead,43,41,0,20,1.012820,1.012820,1,6114
lookahead,44,44,0,3,0.999999,0.999999,0,6122
lookahead,45,38,0,6,0.974358,0.974358,0,5951
lookahead,46,41,0,50,0.999999,0.999999,0,6246
lookahead,47,36,0,28,1.012820,1.012820,1,5442
lookahead,48,42,0,27,0.999999,0.999999,0,6217
lookahead,49,45,0,8,0.987179,0.987179,0,6361
