genome,arc658_sel,overloaded,first_arc658_step,last_arc658_step,median_arc658_step,irrecoverable_step_proxy,alt_avoiding_658_at_irr,concentration_at_irr,arc658_max_sat,genome_max_sat,ctor_ms
0,40,0,16,1933,890,none,none,none,0.999999,0.999999,1901
1,39,1,20,1947,898,898,1,0.0222,1.012820,1.012820,1667
2,34,0,35,1937,881,none,none,none,0.999999,0.999999,1617
3,38,0,41,1920,905,none,none,none,0.999999,0.999999,1767
4,40,0,17,1952,931,none,none,none,0.999999,0.999999,1980
5,44,0,12,1941,930,none,none,none,0.999999,0.999999,2373
6,38,0,49,1952,844,none,none,none,0.974358,0.974358,1600
7,36,0,6,1967,849,none,none,none,0.999999,0.999999,1702
8,42,0,20,1971,881,none,none,none,0.965811,0.965811,1638
9,44,0,6,1967,806,none,none,none,0.999999,0.999999,1649
10,44,0,70,1971,910,none,none,none,0.999999,0.999999,1699
11,42,0,3,1942,1018,none,none,none,0.965811,0.965811,1694
12,47,0,68,1957,807,none,none,none,0.999999,0.999999,1679
13,37,0,42,1961,827,none,none,none,0.999999,0.999999,1766
14,40,0,5,1935,842,none,none,none,0.999999,0.999999,1685
15,38,0,171,1948,789,none,none,none,0.974358,0.974358,1700
16,42,1,51,1959,821,770,1,0.0272,1.004273,1.004273,1924
17,39,1,118,1948,848,848,1,0.0236,1.012820,1.012820,1718
18,43,1,41,1918,923,923,1,0.0238,1.012820,1.012820,1713
19,41,1,96,1974,1012,1012,1,0.0207,1.012820,1.012820,1727
20,37,0,6,1970,767,none,none,none,0.991452,0.991452,1646
21,42,0,16,1951,787,none,none,none,0.999999,0.999999,1693
22,35,0,27,1931,860,none,none,none,0.991452,0.991452,1699
23,39,0,16,1944,950,none,none,none,0.999999,0.999999,1713
24,42,1,36,1972,896,849,1,0.0247,1.004273,1.004273,1715
25,40,1,155,1971,948,936,1,0.0213,1.012820,1.012820,1724
26,41,0,6,1819,928,none,none,none,0.965811,0.965811,1692
27,39,1,35,1947,926,926,1,0.0216,1.012820,1.012820,1708
28,44,0,12,1967,858,none,none,none,0.999999,0.999999,1733
29,32,0,11,1947,792,none,none,none,0.965811,0.965811,1641
30,43,0,7,1960,935,none,none,none,0.999999,0.999999,1760
31,38,0,28,1938,921,none,none,none,0.974358,0.974358,1850
32,40,0,24,1935,861,none,none,none,0.999999,0.999999,1871
33,39,0,54,1947,761,none,none,none,0.991452,0.991452,1755
34,41,1,3,1961,934,934,1,0.0225,1.012820,1.012820,2226
35,40,0,3,1978,881,none,none,none,0.999999,0.999999,2338
36,36,0,99,1932,909,none,none,none,0.999999,0.999999,1680
37,43,1,30,1972,996,996,1,0.0221,1.012820,1.012820,2362
38,39,0,81,1962,927,none,none,none,0.991452,0.991452,1782
39,40,0,99,1918,878,none,none,none,0.999999,0.999999,1738
40,39,1,13,1956,810,810,1,0.0247,1.012820,1.012820,1702
41,42,0,6,1944,988,none,none,none,0.999999,0.999999,1756
42,43,0,3,1923,923,none,none,none,0.999999,0.999999,1861
43,41,1,20,1969,988,988,1,0.0212,1.012820,1.012820,1975
44,44,0,3,1951,977,none,none,none,0.999999,0.999999,1603
45,38,0,6,1917,869,none,none,none,0.974358,0.974358,1903
46,41,0,50,1943,941,none,none,none,0.999999,0.999999,1630
47,36,1,28,1936,837,813,1,0.0221,1.012820,1.012820,1667
48,42,0,27,1928,814,none,none,none,0.999999,0.999999,1608
49,45,0,8,1966,966,none,none,none,0.987179,0.987179,1585
