condition,genome,arc658_sel,arc658_div,overloaded,first_arc658_step,arc658_max_sat,genome_max_sat,ctor_ms
control,0,40,0,0,16,0.999999,0.999999,1615
control,1,39,0,1,20,1.012820,1.012820,1638
control,2,34,0,0,35,0.999999,0.999999,1613
control,3,38,0,0,41,0.999999,0.999999,2141
control,4,40,0,0,17,0.999999,0.999999,1677
control,5,44,0,0,12,0.999999,0.999999,1680
control,6,38,0,0,49,0.974358,0.974358,1649
control,7,36,0,0,6,0.999999,0.999999,1838
control,8,42,0,0,20,0.965811,0.965811,1662
control,9,44,0,0,6,0.999999,0.999999,1745
control,10,44,0,0,70,0.999999,0.999999,1837
control,11,42,0,0,3,0.965811,0.965811,1914
control,12,47,0,0,68,0.999999,0.999999,1609
control,13,37,0,0,42,0.999999,0.999999,1619
control,14,40,0,0,5,0.999999,0.999999,1877
control,15,38,0,0,171,0.974358,0.974358,1630
control,16,42,0,1,51,1.004273,1.004273,1612
control,17,39,0,1,118,1.012820,1.012820,1626
control,18,43,0,1,41,1.012820,1.012820,1616
control,19,41,0,1,96,1.012820,1.012820,1742
control,20,37,0,0,6,0.991452,0.991452,1628
control,21,42,0,0,16,0.999999,0.999999,1667
control,22,35,0,0,27,0.991452,0.991452,1659
control,23,39,0,0,16,0.999999,0.999999,2125
control,24,42,0,1,36,1.004273,1.004273,2344
control,25,40,0,1,155,1.012820,1.012820,1613
control,26,41,0,0,6,0.965811,0.965811,3470
control,27,39,0,1,35,1.012820,1.012820,2089
control,28,44,0,0,12,0.999999,0.999999,1653
control,29,32,0,0,11,0.965811,0.965811,1627
control,30,43,0,0,7,0.999999,0.999999,1619
control,31,38,0,0,28,0.974358,0.974358,1940
control,32,40,0,0,24,0.999999,0.999999,1660
control,33,39,0,0,54,0.991452,0.991452,1628
control,34,41,0,1,3,1.012820,1.012820,1792
control,35,40,0,0,3,0.999999,0.999999,1880
control,36,36,0,0,99,0.999999,0.999999,2892
control,37,43,0,1,30,1.012820,1.012820,1627
control,38,39,0,0,81,0.991452,0.991452,1954
control,39,40,0,0,99,0.999999,0.999999,1805
control,40,39,0,1,13,1.012820,1.012820,1615
control,41,42,0,0,6,0.999999,0.999999,1601
control,42,43,0,0,3,0.999999,0.999999,1712
control,43,41,0,1,20,1.012820,1.012820,1624
control,44,44,0,0,3,0.999999,0.999999,1604
control,45,38,0,0,6,0.974358,0.974358,1690
control,46,41,0,0,50,0.999999,0.999999,1603
control,47,36,0,1,28,1.012820,1.012820,1616
control,48,42,0,0,27,0.999999,0.999999,1621
control,49,45,0,0,8,0.987179,0.987179,1622
