condition,genome,arc658_sel,arc658_div,overloaded,first_arc658_step,arc658_max_sat,genome_max_sat,ctor_ms
pressure,0,40,0,0,16,0.999999,0.999999,6946
pressure,1,39,0,1,20,1.012820,1.012820,6300
pressure,2,34,0,0,35,0.999999,0.999999,6402
pressure,3,38,0,0,41,0.999999,0.999999,5616
pressure,4,40,0,0,17,0.999999,0.999999,5945
pressure,5,44,0,0,12,0.999999,0.999999,6161
pressure,6,38,0,0,49,0.974358,0.974358,5691
pressure,7,36,0,0,6,0.999999,0.999999,6926
pressure,8,42,0,0,20,0.965811,0.965811,6051
pressure,9,43,1,0,73,0.999999,0.999999,6172
pressure,10,43,0,1,70,1.012820,1.012820,5954
pressure,11,37,0,0,21,0.999999,0.999999,5755
pressure,12,40,0,0,23,0.999999,0.999999,5618
pressure,13,40,1,1,94,1.012820,1.012820,5794
pressure,14,40,0,0,16,0.999999,0.999999,6015
pressure,15,39,0,0,9,0.999999,0.999999,5950
pressure,16,39,0,1,14,1.012820,1.012820,5493
pressure,17,38,0,0,146,0.999999,0.999999,5739
pressure,18,40,0,1,8,1.012820,1.012820,6239
pressure,19,44,0,1,22,1.012820,1.012820,8529
pressure,20,38,0,1,49,1.012820,1.012820,5375
pressure,21,42,0,1,3,1.012820,1.012820,6215
pressure,22,39,0,0,71,0.999999,0.999999,5503
pressure,23,38,0,1,95,1.012820,1.012820,5237
pressure,24,39,0,0,181,0.999999,0.999999,5780
pressure,25,41,0,0,2,0.965811,0.965811,5854
pressure,26,40,0,1,68,1.012820,1.012820,5344
pressure,27,42,0,0,62,0.991452,0.991452,5710
pressure,28,41,0,0,18,0.974358,0.974358,5674
pressure,29,41,0,0,79,0.999999,0.999999,6080
pressure,30,42,0,0,90,0.999999,0.999999,7086
pressure,31,40,0,1,20,1.012820,1.012820,6735
pressure,32,41,0,0,77,0.999999,0.999999,5885
pressure,33,45,0,1,45,1.004273,1.004273,6289
pressure,34,44,0,1,15,1.012820,1.012820,5866
pressure,35,40,0,0,4,0.999999,0.999999,5374
pressure,36,41,0,0,13,0.999999,0.999999,6725
pressure,37,38,0,0,19,0.999999,0.999999,5932
pressure,38,44,0,1,3,1.012820,1.012820,6425
pressure,39,39,0,1,7,1.012820,1.012820,5804
pressure,40,44,0,1,81,1.012820,1.012820,6290
pressure,41,41,0,0,71,0.991452,0.991452,7242
pressure,42,41,0,1,69,1.012820,1.012820,6447
pressure,43,40,0,0,29,0.999999,0.999999,5986
pressure,44,38,1,0,3,0.999999,0.999999,5915
pressure,45,38,0,0,14,0.999999,0.999999,6045
pressure,46,43,0,0,169,0.999999,0.999999,5881
pressure,47,42,0,0,60,0.999999,0.999999,6211
pressure,48,38,0,0,0,0.999999,0.999999,5647
pressure,49,38,0,0,32,0.999999,0.999999,6552
