gen,gen_ms,eval_ms,non_eval_ms,l1_lookup_ms,l1_materialize_ms,l1_insert_ms,l1_total_ms,unattributed_ms,n_eval,cache_hits,crossover_ms,mutation_ms,repair_ms,improve_ms,sort_ms,selection_ms,attributed_ms,rayon_residual_ms
1,149.505,10.981,138.524,0.030,0.004,0.129,0.162,138.362,22,3,0.103,0.003,49.054,32.346,0.005,0.006,81.518,56.844
2,148.229,10.517,137.712,0.023,0.012,0.079,0.113,137.599,23,6,0.106,0.002,40.431,38.340,0.005,0.008,78.891,58.708
3,145.864,12.644,133.220,0.022,0.002,0.164,0.188,133.032,29,2,0.132,0.002,34.823,40.180,0.005,0.006,75.148,57.884
4,140.060,16.115,123.945,0.028,0.001,0.144,0.173,123.772,38,1,0.128,0.003,15.021,50.338,0.005,0.007,65.501,58.271
5,138.972,14.039,124.933,0.029,0.010,0.104,0.142,124.790,32,7,0.109,0.004,14.915,51.038,0.004,0.005,66.076,58.715
6,137.942,13.823,124.119,0.032,0.011,0.229,0.271,123.848,33,7,0.086,0.003,12.643,52.595,0.005,0.002,65.334,58.514
7,139.503,14.157,125.346,0.037,0.008,0.115,0.159,125.187,34,4,0.112,0.003,17.908,49.139,0.004,0.004,67.170,58.016
8,135.324,15.711,119.613,0.029,0.008,0.136,0.173,119.441,37,4,0.130,0.002,10.014,52.013,0.006,0.005,62.170,57.270
9,135.753,14.930,120.823,0.031,0.007,0.110,0.148,120.675,36,5,0.132,0.001,9.903,52.652,0.008,0.003,62.699,57.975
10,134.662,14.069,120.594,0.031,0.009,0.114,0.154,120.440,35,6,0.092,0.004,10.729,52.075,0.004,0.004,62.909,57.531
11,135.244,17.199,118.046,0.030,0.001,0.146,0.177,117.869,42,1,0.114,0.002,5.070,54.843,0.005,0.001,60.035,57.834
12,246.253,27.297,218.956,0.065,0.005,0.451,0.520,218.436,39,3,0.498,0.006,10.781,114.621,0.005,0.007,125.917,92.519
13,141.884,15.644,126.240,0.034,0.007,0.127,0.169,126.071,37,3,0.103,0.003,13.069,51.587,0.005,0.003,64.770,61.301
14,134.462,16.495,117.967,0.031,0.004,0.148,0.182,117.785,41,3,0.109,0.003,2.560,57.185,0.004,0.006,59.867,57.918
15,140.085,15.621,124.464,0.028,0.003,0.114,0.145,124.319,37,2,0.100,0.004,15.816,50.034,0.004,0.004,65.963,58.356
16,143.329,23.039,120.289,0.030,0.006,0.114,0.150,120.139,39,5,0.093,0.007,3.131,58.098,0.005,0.006,61.339,58.800
17,137.116,17.252,119.864,0.034,0.003,0.147,0.185,119.679,39,3,0.104,0.002,7.628,54.019,0.005,0.003,61.762,57.917
18,134.831,15.374,119.457,0.027,0.005,0.128,0.160,119.296,38,4,0.144,0.003,7.754,53.692,0.005,0.003,61.600,57.696
19,210.174,81.937,128.237,0.035,0.005,0.151,0.190,128.047,37,4,0.131,0.004,13.011,53.610,0.005,0.006,66.767,61.280
20,204.929,16.948,187.981,0.115,0.011,0.125,0.250,187.730,39,6,0.167,0.004,0.000,92.076,0.005,0.007,92.259,95.472
21,137.250,18.068,119.182,0.027,0.003,0.125,0.155,119.027,40,1,0.120,0.002,10.160,51.389,0.005,0.002,61.678,57.349
22,138.757,16.366,122.391,0.035,0.006,0.106,0.147,122.244,36,5,0.102,0.004,11.422,52.233,0.005,0.005,63.771,58.473
23,133.569,20.847,112.722,0.035,0.008,0.131,0.174,112.548,42,3,0.096,0.003,0.000,55.853,0.005,0.004,55.961,56.587
24,131.649,18.259,113.390,0.047,0.006,0.592,0.644,112.746,39,6,0.092,0.004,0.000,56.136,0.005,0.005,56.241,56.505
25,137.894,18.257,119.637,0.033,0.002,0.122,0.158,119.479,37,3,0.096,0.002,12.688,49.738,0.004,0.002,62.531,56.948
26,130.460,15.964,114.496,0.030,0.006,0.130,0.165,114.331,37,6,0.082,0.004,5.057,53.361,0.011,0.002,58.517,55.815
27,132.651,15.643,117.007,0.038,0.008,0.133,0.179,116.828,35,7,0.091,0.005,7.713,52.673,0.004,0.003,60.491,56.337
28,131.449,17.229,114.220,0.038,0.003,0.126,0.167,114.053,42,2,0.133,0.002,2.750,54.629,0.004,0.002,57.521,56.532
29,133.499,16.747,116.752,0.032,0.004,0.111,0.147,116.606,38,4,0.097,0.002,7.834,52.495,0.005,0.003,60.435,56.171
30,133.293,14.654,118.640,0.037,0.008,0.118,0.163,118.477,34,6,0.101,0.003,12.359,49.872,0.005,0.005,62.345,56.132
31,134.916,15.882,119.034,0.030,0.012,0.098,0.140,118.893,34,6,0.100,0.003,12.326,49.920,0.005,0.006,62.359,56.534
32,131.283,17.350,113.933,0.033,0.004,0.118,0.155,113.777,40,4,0.094,0.003,2.361,54.926,0.005,0.004,57.393,56.384
33,132.172,16.030,116.142,0.035,0.005,0.126,0.166,115.976,38,3,0.119,0.003,9.405,50.585,0.005,0.002,60.118,55.857
34,129.875,16.443,113.432,0.038,0.007,0.099,0.143,113.289,36,7,0.096,0.003,5.041,53.000,0.005,0.003,58.148,55.141
35,126.794,14.391,112.403,0.036,0.008,0.098,0.142,112.261,36,7,0.098,0.004,4.897,52.198,0.008,0.005,57.210,55.051
