gen,gen_ms,eval_ms,non_eval_ms,l1_lookup_ms,l1_materialize_ms,l1_insert_ms,l1_total_ms,unattributed_ms,n_eval,cache_hits,crossover_ms,mutation_ms,repair_ms,improve_ms,sort_ms,selection_ms,feasibility_ms,staging_ms,attributed_ms,rayon_residual_ms
1,45938.539,3328.139,42610.400,0.331,0.031,1.864,2.226,42608.175,28,1,2.371,0.027,12262.960,10925.396,0.005,0.011,19413.959,0.325,42605.054,3.120
2,47544.689,4507.158,43037.531,1.468,0.083,2.313,3.864,43033.667,35,2,3.198,0.005,7110.240,15969.294,0.004,0.003,19946.602,0.432,43029.778,3.889
3,45599.947,4230.392,41369.556,11.989,0.641,2.822,15.453,41354.103,32,3,1.522,0.008,7346.996,14355.904,0.015,0.003,19646.772,1.034,41352.253,1.851
4,47034.955,4409.894,42625.061,0.415,0.082,3.565,4.062,42620.999,34,2,2.092,0.012,7607.744,15575.237,0.005,0.002,19432.432,0.591,42618.114,2.885
5,43705.054,4988.400,38716.654,0.431,0.112,1.954,2.498,38714.156,39,3,8.228,0.009,2022.542,17959.396,0.005,0.010,18721.789,0.535,38712.513,1.643
6,43645.710,5494.034,38151.676,0.623,0.275,4.102,4.999,38146.676,36,7,1.980,0.011,1574.553,17777.815,0.004,0.006,18790.264,0.621,38145.254,1.423
7,46230.844,3752.578,42478.266,0.430,0.241,1.603,2.273,42475.992,35,6,2.116,0.011,3280.750,19192.458,0.004,0.002,19998.450,0.506,42474.298,1.695
8,38061.204,4674.629,33386.575,0.496,0.134,1.667,2.297,33384.278,42,3,1.702,0.016,0.000,17087.172,0.004,0.012,16293.319,0.724,33382.950,1.329
9,39105.715,5184.446,33921.269,1.586,1.701,2.002,5.289,33915.980,38,7,3.233,1.498,0.000,17211.507,0.004,0.007,16697.479,0.581,33914.309,1.672
10,39396.844,6942.415,32454.429,0.403,0.129,9.456,9.988,32444.441,40,4,1.801,0.011,655.419,15151.359,0.005,0.010,16633.616,0.746,32442.967,1.474
11,40842.991,5248.416,35594.575,0.382,0.089,10.181,10.651,35583.924,42,2,3.407,0.014,815.223,16604.431,0.004,0.003,18158.528,0.793,35582.403,1.520
12,42849.745,7135.449,35714.296,0.836,2.211,2.100,5.148,35709.148,42,2,2.043,0.011,682.039,16150.475,0.005,0.005,18872.125,0.875,35707.576,1.572
13,37715.164,4591.016,33124.148,0.357,0.073,1.767,2.197,33121.951,43,2,1.876,0.011,0.000,17487.939,0.004,0.007,15630.232,0.700,33120.768,1.183
14,37344.799,5820.457,31524.342,0.391,0.090,1.823,2.304,31522.038,42,3,2.023,0.008,0.000,15557.175,0.005,0.012,15960.811,0.802,31520.835,1.203
15,44782.362,4307.678,40474.684,0.690,0.252,2.070,3.011,40471.673,39,5,1.987,0.012,1191.905,20706.428,0.005,0.008,18567.743,0.743,40468.830,2.844
16,38295.306,4752.698,33542.608,1.124,0.077,1.797,2.999,33539.609,43,2,1.772,0.011,0.000,17008.630,0.004,0.004,16527.234,0.802,33538.458,1.152
17,40931.003,5054.316,35876.688,0.690,0.211,1.859,2.760,35873.927,38,6,2.336,0.015,999.138,18174.826,0.004,0.005,16695.631,0.669,35872.624,1.304
18,40133.096,5621.349,34511.747,0.888,0.205,1.939,3.032,34508.715,39,6,2.081,0.013,0.000,17312.249,0.004,0.005,17191.833,0.632,34506.817,1.899
19,40499.505,4254.139,36245.366,0.463,0.216,1.740,2.420,36242.947,39,6,2.003,0.007,0.000,17980.306,0.005,0.007,18258.527,0.733,36241.588,1.358
20,37227.450,4279.613,32947.837,0.360,0.043,1.840,2.243,32945.594,43,1,1.817,0.014,648.755,15710.684,0.005,0.006,16582.359,0.729,32944.368,1.226
