gen,gen_ms,eval_ms,non_eval_ms,l1_lookup_ms,l1_materialize_ms,l1_insert_ms,l1_total_ms,unattributed_ms,n_eval,cache_hits,crossover_ms,mutation_ms,repair_ms,improve_ms,sort_ms,selection_ms,feasibility_ms,staging_ms,attributed_ms,rayon_residual_ms
1,93.233,10.541,82.692,0.017,0.003,0.108,0.127,82.565,22,3,0.109,0.004,49.827,32.466,0.005,0.004,0.000,0.017,82.431,0.134
2,89.476,10.444,79.032,0.022,0.006,0.077,0.106,78.927,23,6,0.104,0.005,40.235,38.457,0.004,0.004,0.000,0.026,78.836,0.091
3,87.908,11.741,76.167,0.015,0.002,0.159,0.176,75.991,29,2,0.142,0.002,34.961,40.757,0.004,0.005,0.000,0.021,75.892,0.099
4,83.281,16.730,66.551,0.020,0.001,0.124,0.145,66.406,38,1,0.124,0.003,15.296,50.871,0.004,0.004,0.000,0.024,66.327,0.079
5,84.463,17.067,67.395,0.025,0.007,0.122,0.155,67.240,32,7,0.098,0.006,15.120,51.906,0.006,0.004,0.000,0.023,67.163,0.078
6,84.777,18.215,66.561,0.026,0.007,0.221,0.254,66.307,33,7,0.081,0.005,12.985,53.123,0.004,0.004,0.000,0.031,66.234,0.073
7,83.195,14.542,68.653,0.026,0.010,0.113,0.150,68.503,34,4,0.090,0.010,18.450,49.835,0.005,0.003,0.000,0.022,68.415,0.088
8,79.515,15.919,63.596,0.025,0.004,0.105,0.135,63.461,37,4,0.112,0.003,10.263,52.964,0.005,0.004,0.000,0.039,63.391,0.070
9,78.885,15.476,63.409,0.024,0.005,0.119,0.149,63.260,36,5,0.114,0.002,10.144,52.895,0.004,0.002,0.000,0.032,63.193,0.067
10,77.795,14.638,63.157,0.022,0.010,0.110,0.142,63.015,35,6,0.082,0.004,10.626,52.190,0.004,0.004,0.000,0.031,62.940,0.075
11,77.746,17.298,60.448,0.026,0.001,0.143,0.170,60.279,42,1,0.113,0.002,5.235,54.827,0.004,0.001,0.000,0.025,60.207,0.071
12,82.414,20.456,61.958,0.025,0.003,0.363,0.391,61.567,39,3,0.097,0.003,7.431,53.935,0.005,0.003,0.000,0.025,61.499,0.068
13,135.021,68.529,66.492,0.023,0.003,0.136,0.162,66.329,37,3,0.094,0.004,13.654,52.467,0.005,0.002,0.000,0.030,66.255,0.075
14,105.452,37.287,68.166,0.035,0.007,0.200,0.242,67.923,41,3,0.124,0.006,2.559,65.121,0.005,0.008,0.000,0.033,67.855,0.068
15,112.542,24.675,87.867,0.034,0.003,0.118,0.154,87.713,37,2,0.179,0.006,18.457,68.921,0.005,0.005,0.000,0.035,87.608,0.105
16,77.255,16.198,61.056,0.047,0.008,0.117,0.173,60.883,39,5,0.121,0.004,2.836,57.827,0.005,0.004,0.000,0.021,60.818,0.066
17,77.870,15.917,61.953,0.029,0.003,0.121,0.153,61.800,39,3,0.103,0.003,7.876,53.714,0.005,0.002,0.000,0.024,61.727,0.074
18,78.368,15.290,63.079,0.031,0.003,0.141,0.175,62.903,38,4,0.108,0.006,7.955,54.726,0.004,0.006,0.000,0.025,62.831,0.072
19,76.819,14.684,62.135,0.031,0.004,0.112,0.148,61.987,37,4,0.114,0.005,9.710,52.062,0.004,0.004,0.000,0.023,61.922,0.065
20,73.549,15.897,57.652,0.033,0.010,0.114,0.157,57.495,39,6,0.100,0.006,0.000,57.281,0.004,0.004,0.000,0.028,57.423,0.072
21,77.188,15.492,61.695,0.023,0.002,0.121,0.145,61.550,40,1,0.100,0.003,9.928,51.417,0.004,0.002,0.000,0.026,61.479,0.071
22,75.580,14.401,61.179,0.025,0.005,0.108,0.139,61.040,36,5,0.101,0.003,10.158,50.670,0.003,0.004,0.000,0.024,60.963,0.077
23,72.904,17.180,55.724,0.028,0.002,0.119,0.150,55.574,42,3,0.065,0.003,0.000,55.426,0.003,0.003,0.000,0.022,55.521,0.053
24,73.319,16.388,56.931,0.030,0.007,0.545,0.581,56.350,39,6,0.083,0.004,0.000,56.160,0.008,0.003,0.000,0.032,56.290,0.061
25,77.863,15.530,62.333,0.029,0.002,0.125,0.156,62.177,37,3,0.084,0.003,12.787,49.203,0.004,0.002,0.000,0.026,62.111,0.067
26,74.714,15.264,59.449,0.037,0.008,0.117,0.161,59.288,37,6,0.079,0.005,5.152,53.952,0.008,0.002,0.000,0.025,59.223,0.066
27,75.630,15.089,60.541,0.023,0.006,0.112,0.140,60.401,35,7,0.062,0.010,7.886,52.339,0.004,0.003,0.000,0.019,60.323,0.078
28,82.036,18.606,63.430,0.033,0.003,0.131,0.167,63.264,42,2,0.126,0.003,2.778,60.258,0.004,0.003,0.000,0.023,63.196,0.068
29,76.347,15.690,60.657,0.032,0.003,0.119,0.153,60.503,38,4,0.082,0.002,7.781,52.555,0.004,0.002,0.000,0.022,60.447,0.056
30,80.148,16.432,63.716,0.032,0.009,0.103,0.143,63.572,34,6,0.089,0.004,12.841,50.527,0.005,0.004,0.000,0.025,63.495,0.077
31,78.222,14.719,63.503,0.026,0.007,0.122,0.155,63.348,34,6,0.112,0.003,12.608,50.529,0.005,0.005,0.000,0.021,63.283,0.065
32,75.723,17.858,57.865,0.039,0.006,0.120,0.165,57.700,40,4,0.124,0.003,2.413,55.075,0.005,0.004,0.000,0.021,57.644,0.056
33,80.460,17.102,63.358,0.033,0.004,0.120,0.157,63.201,38,3,0.103,0.005,10.152,52.842,0.005,0.002,0.000,0.021,63.131,0.070
34,75.243,16.833,58.410,0.029,0.007,0.102,0.139,58.272,36,7,0.088,0.004,4.965,53.132,0.004,0.003,0.000,0.019,58.215,0.057
35,75.208,15.608,59.600,0.074,0.007,0.102,0.184,59.416,36,7,0.096,0.005,4.876,54.298,0.004,0.007,0.000,0.027,59.313,0.103
36,71.721,16.535,55.185,0.029,0.005,0.134,0.168,55.017,42,3,0.105,0.003,0.000,54.805,0.005,0.005,0.000,0.021,54.943,0.074
37,137.993,77.759,60.235,0.041,0.006,0.523,0.571,59.664,36,7,0.087,0.003,5.681,53.797,0.005,0.004,0.000,0.023,59.600,0.064
38,133.962,23.015,110.947,0.252,0.012,0.133,0.398,110.549,39,5,0.184,0.008,2.724,106.797,0.005,0.727,0.000,0.034,110.479,0.070
39,76.530,13.794,62.735,0.036,0.008,0.094,0.138,62.597,33,10,0.082,0.003,5.364,57.061,0.005,0.004,0.000,0.022,62.541,0.056
40,73.826,13.202,60.624,0.038,0.009,0.088,0.135,60.489,32,8,0.075,0.005,11.680,48.617,0.008,0.002,0.000,0.032,60.421,0.068
41,115.579,41.957,73.622,0.058,0.012,0.128,0.198,73.424,32,7,0.097,0.007,15.773,57.447,0.005,0.004,0.000,0.022,73.354,0.070
42,117.983,37.136,80.846,0.072,0.010,0.098,0.179,80.667,36,6,0.132,0.005,10.009,70.404,0.005,0.005,0.000,0.035,80.595,0.072
