id,start_hour,duration_hours,required_skill
1,6,8,Captain
2,14,8,Captain
3,22,8,Captain
4,30,8,Captain
5,38,8,Captain
6,46,8,Captain
7,54,8,Captain
8,6,8,FirstOfficer
9,14,8,FirstOfficer
10,22,8,FirstOfficer
11,30,8,FirstOfficer
12,38,8,FirstOfficer
13,46,8,FirstOfficer
14,54,8,FirstOfficer
15,6,8,CabinCrew
16,14,8,CabinCrew
17,22,8,CabinCrew
18,30,8,CabinCrew
19,38,8,CabinCrew
20,46,8,CabinCrew
21,54,8,CabinCrew
22,78,8,Captain
23,86,8,Captain
24,94,8,Captain
25,102,8,Captain
26,110,8,Captain
27,118,8,Captain
28,126,8,Captain
29,78,8,FirstOfficer
30,86,8,FirstOfficer
31,94,8,FirstOfficer
32,102,8,FirstOfficer
33,110,8,FirstOfficer
34,118,8,FirstOfficer
35,126,8,FirstOfficer
36,78,8,CabinCrew
37,86,8,CabinCrew
38,94,8,CabinCrew
39,102,8,CabinCrew
40,110,8,CabinCrew
41,118,8,CabinCrew
42,126,8,CabinCrew
