id,skills,historical_hours
1,Captain,38;40;36;42
2,Captain,40;38;40;38
3,Captain,36;40;42;36
4,Captain,42;36;38;40
5,FirstOfficer,38;40;38;40
6,FirstOfficer,40;38;40;38
7,FirstOfficer,36;42;36;42
8,FirstOfficer,42;36;42;36
9,FirstOfficer,38;40;38;40
10,CabinCrew,40;38;40;38
11,CabinCrew,36;40;36;40
12,CabinCrew,42;36;42;36
13,CabinCrew,38;40;38;40
14,CabinCrew,40;38;40;38
15,CabinCrew,36;42;36;42
16,CabinCrew,42;36;42;36
17,CabinCrew,38;40;38;40
18,CabinCrew,40;38;40;38
19,CabinCrew,36;40;36;40
20,CabinCrew,42;36;42;36
