date,ticker,decision_id,cohort,direction,entry_price,ts,oqs_prev,oqs_new,oqs_delta,action_prev,action_new,target_move,stop_move,classification,ret_5m,ret_15m,ret_30m,ret_60m,mfe_after,mae_after,h300_ret
2026-09-09,BAJAJ-AUTO_NS,,ASOF,1,11790.0,1788926160,0,78,78,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.004749787955894826,0.003986429177268872,0.004749787955894826,0.006955046649703138,0.00720949957591179,-0.03469041560644614,0.00458
2026-09-09,BAJAJFINSV_NS,,ASOF,1,1927.0,1788926160,0,79,79,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.003995823130189414,0.0032693559045796575,0.002179528371497146,0.005189413596263622,0.012921652524163206,-0.04903995848469123,0.002335
2026-09-09,BAJFINANCE_NS,,ASOF,1,1039.300049,1788926160,0,78,78,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.005965506309718317,0.005965506309718317,0.005676803515550547,0.007408785371855645,0.01972481368383449,-0.032521935347277126,0.003464
2026-09-09,BANKBARODA_NS,,ASOF,1,234.100006,1788926160,0,85,85,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.00897048652037275,0.006193921463452696,0.005382292089097831,0.007817115031518804,0.022597151875546853,-0.007902631151577192,0.007518
2026-09-09,BHARTIARTL_NS,,ASOF,1,1814.699951,1788926160,0,78,78,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.004518693798136574,0.005400368801795346,0.0041329147376358445,0.00545546087686947,0.020554389159180588,-0.00027552754814895317,0.004739
2026-09-09,CANBK_NS,,ASOF,1,124.080002,1788926160,0,80,80,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.004029656858441172,0.002578977439724034,0.0041908161326520655,0.007575714280423795,0.027643456487294993,-0.01805291445844245,0.006609
2026-09-09,COALINDIA_NS,,ASOF,-1,431.0,1788926160,0,60,60,,AVOID,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,-0.001276073765588747,-0.004060324825986079,-0.0069605568445475635,-0.006148477718061195,0.030858440354915893,-0.012180974477958236,0.007193
2026-09-09,COLPAL_NS,,ASOF,1,1800.0,1788926160,0,80,80,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.003500027126736111,0.0032222493489583335,0.0017777506510416666,0.0027222357855902777,0.055,-0.008944430881076389,-0.001083
2026-09-09,DABUR_NS,,ASOF,1,371.549988,1788926160,0,80,80,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.0017494932795725597,0.002018570359821315,-0.0028259669867086224,-0.0028259669867086224,0.0514062885570175,-0.0092853774940355,-0.002934
2026-09-09,GODREJPROP_NS,,ASOF,1,1857.099976,1788926160,0,75,75,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.02143129014507215,0.021377455894235082,0.017661972342873224,0.017985043579581646,0.02541601068230536,-0.11281029730305832,0.014862
2026-09-09,HCLTECH_NS,,ASOF,1,1229.800049,1788926160,0,93,93,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.006017158787635612,0.01195312279581805,0.008131403016495616,0.012197104594622647,0.048951007156774036,-0.0271589065337055,0.012604
2026-09-09,HDFCBANK_NS,,ASOF,1,687.099976,1788926160,0,79,79,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.01579105892303405,0.015136114631446342,0.009605641737107673,0.01098828216821613,0.06301855614394976,-0.007276961997830822,0.008441
2026-09-09,HEROMOTOCO_NS,,ASOF,1,5218.0,1788926160,0,93,93,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.005174396320429283,0.002491376006132618,-0.0009582215408202376,0.004311996933691069,0.0233806055960138,-0.009965504024530471,-0.0023
2026-09-09,INFY_NS,,ASOF,1,1035.0,1788926160,0,85,85,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.01130430064915459,0.015748839447463768,0.0075362790609903385,0.008792246942934782,0.06048306819897343,-0.008019370848429951,0.008696
2026-09-09,ITC_NS,,ASOF,1,260.799988,1788926160,0,78,78,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.006901910223690809,0.007285369227207424,0.00613499221665758,0.006901910223690809,0.02952458724806389,-0.010736150800743078,0.004026
2026-09-09,LICI_NS,,ASOF,1,407.5,1788926160,0,78,78,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.0049079754601227,0.004294478527607362,0.0019631602281441718,0.000736166363113497,0.005644141823236196,-0.051042914829371164,-0.002209
2026-09-09,LUPIN_NS,,ASOF,1,2100.0,1788926160,0,78,78,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.0029523577008928573,0.002904808407738095,0.0012381417410714285,-0.0004285249255952381,0.009428594680059525,-0.03142857142857143,-0.00119
2026-09-09,MUTHOOTFIN_NS,,ASOF,1,2815.0,1788926160,0,85,85,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.008632344166296626,0.006216696269982238,-0.0010657193605683837,0.0,0.013605701182282416,-0.03293071089587034,-0.002099
2026-09-09,NAUKRI_NS,,ASOF,-1,1267.0,1788926160,0,72,72,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,-0.001104991644879637,-0.0023677979479084454,0.00015781465814917127,-0.00023681833316890292,0.01728494428892068,-0.03393843725335438,0.011184
2026-09-09,NESTLEIND_NS,,ASOF,1,1393.0,1788926160,0,86,86,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.002512562814070352,0.00114858261732771,0.0012922102140165111,0.0018664577070620961,0.006317335842157215,-0.022254127781765973,-0.001149
2026-09-09,ONGC_NS,,ASOF,1,234.020004,1788926160,0,75,75,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.015297846518777193,0.01444316656145504,0.014913214456811723,0.012306597074002164,0.038928299833771905,-0.011622942063714295,0.011837
2026-09-09,PIDILITIND_NS,,ASOF,1,1572.0,1788926160,0,72,72,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.0014631353868479644,0.0015903307888040711,0.0005089369135655216,0.004262055452846692,0.00559799543773855,-0.032379150390625,-0.000573
2026-09-09,RECLTD_NS,,ASOF,1,314.5,1788926160,0,79,79,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.0069952693387321145,0.00794912559618442,0.005246403486436804,0.0058823723482213834,0.008902981853636725,-0.019077901430842606,0.002862
2026-09-09,RELIANCE_NS,,ASOF,1,1279.0,1788926160,0,80,80,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.0026583459062255667,0.006567650050087959,0.005629359790363565,0.007193081447908522,0.012197009840451524,-0.03416728004055903,0.004691
2026-09-09,SBILIFE_NS,,ASOF,1,1684.0,1788926160,0,79,79,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.00760097911408848,0.004038033745917459,0.0023752969121140144,0.002850385289860451,0.049703058890662115,-0.01840855106888361,-0.000772
2026-09-09,SHREECEM_NS,,ASOF,1,22950.0,1788926160,0,93,93,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.008932461873638345,0.006753812636165577,0.006535947712418301,0.01045751633986928,0.011546840958605665,-0.05599128540305011,0.008932
2026-09-09,TATACONSUM_NS,,ASOF,1,1001.0,1788926160,0,85,85,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.011188823383647602,0.00999000999000999,0.00689313128277972,0.006993006993006993,0.018681330876155096,-0.014885139274787712,0.003696
2026-09-09,ULTRACEMCO_NS,,ASOF,1,10900.0,1788926160,0,86,86,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.006513761467889908,0.005963302752293578,0.005321100917431192,0.006513761467889908,0.010642201834862385,-0.022935779816513763,0.004495
2026-09-09,UNITDSPR_NS,,ASOF,1,1405.199951,1788926160,0,75,75,,ACT,UNCHANGED,UNCHANGED,OQS_UP|ACTION_CHANGE,0.01465990502879326,0.015798515647729654,0.013592441285336298,0.010318816309064149,0.016439011267888198,-0.025974950968472566,0.007757
