ticker,date,entry_price,b_realized,b_mfe,b_mae,b_duration,b_round_trip,b_exit_ts,b_exit_reason,m_realized,m_mfe,m_mae,m_duration,m_round_trip,m_exit_ts,m_exit_reason,triggered,trigger_bar,trigger_ts,trigger_return,imv,profit_capture
BAJAJ-AUTO_NS,20260909,11790.0,0.0005089058524173028,0.008736217133163698,-0.0019508057675996608,300,0,1788943500,H300,-0.0002544529262086514,0.008736217133163698,-0.0008481764206955047,128,1,1788933120,E4-PP-050,1,0.0,1788925500.0,0.008736217133163698,-0.0007633587786259542,-0.02912621359223301
BAJAJFINSV_NS,20260909,1927.0,0.008199298821030099,0.012921652524163206,0.0004151784266346653,300,0,1788943500,H300,0.000499999999999917,0.008822003113648157,0.0004151784266346653,53,0,1788928620,E4-PP-050,1,0.0,1788925500.0,0.008822003113648157,-0.007699298821030182,0.056676470588225884
BAJFINANCE_NS,20260909,1039.300049,0.0058693111964459805,0.01972481368383449,0.0018280593498510031,300,0,1788943500,H300,0.0058693111964459805,0.01972481368383449,0.0018280593498510031,300,0,1788943500,H300,1,0.0,1788925500.0,0.013085706507132625,0.0,0.44852841482015476
BANKBARODA_NS,20260909,234.100006,0.005040549974598751,0.01285772974457572,0.00273387217753448,300,0,1788943500,H300,0.005040549974598751,0.01285772974457572,0.00273387217753448,300,0,1788943500,H300,1,0.0,1788925500.0,0.01285772974457572,0.0,0.39202488112065065
BHARTIARTL_NS,20260909,1814.699951,-0.0008816614554480397,0.010966013734100466,-0.0008816749089461762,4,1,1788925680,STOP,0.0004999999999999906,0.010966013734100466,0.0002755277375741465,2,0,1788925560,E4-PP-050,1,0.0,1788925500.0,0.010966013734100466,0.0013816614554480302,0.045595419823811226
CANBK_NS,20260909,124.080002,0.005399725896200475,0.01039652422460501,0.0007253076039225021,300,0,1788943500,H300,0.005399725896200475,0.01039652422460501,0.0007253076039225021,300,0,1788943500,H300,1,0.0,1788925500.0,0.008139863971719083,0.0,0.6633680753095055
COLPAL_NS,20260909,1800.0,-0.0010833333333333587,0.006944444444444444,-0.0011111111111111111,48,1,1788928320,STOP,0.0004999999999999242,0.006944444444444444,0.0001666937934027778,44,0,1788928080,E4-PP-050,1,0.0,1788925500.0,0.006944444444444444,0.001583333333333283,0.07199999999998909
DABUR_NS,20260909,371.549988,-0.0029336241022836617,0.0052483166814151945,-0.002960505526833,42,1,1788927960,STOP,0.00013462011877562,0.0052483166814151945,-0.00013453909733401694,13,0,1788926220,E4-PP-050,1,0.0,1788925500.0,0.0052483166814151945,0.0030682442210592815,0.025650151648112827
GODREJPROP_NS,20260909,1857.099976,0.012438735377957396,0.027354503834241897,0.00888482031079275,300,0,1788943500,H300,0.012438735377957396,0.027354503834241897,0.00888482031079275,300,0,1788943500,H300,1,0.0,1788925500.0,0.027354503834241897,0.0,0.4547234873398362
HCLTECH_NS,20260909,1229.800049,8.129403974560706e-05,0.02179210076282698,-0.0017889683903098011,300,0,1788943500,H300,0.0005000000000000021,0.02179210076282698,8.129403974560706e-05,2,0,1788925560,E4-PP-050,1,0.0,1788925500.0,0.02179210076282698,0.000418705960254395,0.022944093616385223
HDFCBANK_NS,20260909,687.099976,0.010333337876628424,0.018774595329050094,0.005166713052050129,300,0,1788943500,H300,0.010333337876628424,0.018774595329050094,0.005166713052050129,300,0,1788943500,H300,1,0.0,1788925500.0,0.016591506910487844,0.0,0.6228088824226389
HDFCLIFE_NS,20260909,514.0,0.030192247081712097,0.033754816315053504,0.030739275861806907,1,0,1788925500,TARGET,0.030192247081712097,0.033754816315053504,0.030739275861806907,1,0,1788925500,TARGET,0,,,,0.0,
HEROMOTOCO_NS,20260909,5218.0,-0.0022997316979685703,0.01427750095822154,-0.0022997316979685703,53,1,1788928620,STOP,0.0004999999999998982,0.01427750095822154,0.0004791107704101188,36,0,1788927600,E4-PP-050,1,0.0,1788925500.0,0.01427750095822154,0.0027997316979684684,0.03502013422818079
