ID,Path,Type,Category,Owner,Lifecycle,Confidence,Evidence
ART-0001,run_edge_debug.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 4 files
ART-0002,verify_api_contract.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 3 files
ART-0003,start-demo.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 7 files
ART-0004,start-demo.ps1,Executable,Unknown,Unknown,Active,Medium,Invoked by 5 files
ART-0005,run_live.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0006,tools/diagnostics/repository_auditor.py,Executable,Diagnostics,Unknown,Active,High,Filename matched Diagnostics; Invoked by 1 files
ART-0007,financial/strategies/test_yf_session.py,Executable,Experiment,Unknown,Active,High,Filename matched Experiment; Invoked by 2 files
ART-0008,financial/strategies/scan_semi_gap_fade.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0009,financial/strategies/scan_aapl_down.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0010,financial/strategies/fetch_aapl_retests_5m.py,Executable,Experiment,Unknown,Active,High,Filename matched Experiment; Invoked by 2 files
ART-0011,financial/strategies/fetch_ontology_substitution.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0012,financial/strategies/fetch_tsla_down_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0013,financial/strategies/fetch_aapl_down_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0014,financial/strategies/fetch_wave1.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0015,financial/strategies/scan_semi_vacuum.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0016,financial/strategies/fetch_semi_open_drive_absorption_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0017,financial/strategies/fetch_semi_gap_fade.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0018,financial/strategies/fetch_stability_retests_5m.py,Executable,Experiment,Unknown,Active,High,Filename matched Experiment; Invoked by 2 files
ART-0019,financial/strategies/scan_extremes.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0020,financial/strategies/fetch_mstr_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0021,financial/strategies/fetch_semis_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0022,financial/strategies/scan_semi_oscillatory_fragmentation.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0023,financial/strategies/scan_tech_up.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0024,financial/strategies/fetch_nvda_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0025,financial/strategies/fetch_semi_oscillatory_fragmentation_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0026,financial/strategies/scan_semi_open_drive_absorption.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0027,financial/strategies/scan_semi_up_ladder.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0028,financial/strategies/scan_semi_gap_fade2.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0029,financial/strategies/generate_data.py,Executable,Generator,Unknown,Active,High,Filename matched Generator; Invoked by 2 files
ART-0030,financial/strategies/fetch_wave3.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0031,financial/strategies/gate_printlns.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0032,financial/strategies/scan_semi_gap_fade3.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0033,financial/strategies/fetch_wave2.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0034,financial/strategies/extract_spy.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 3 files
ART-0035,financial/strategies/fetch_semi_vacuum_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0036,financial/strategies/scan_banks.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0037,financial/strategies/fetch_ontology_substitution2.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0038,financial/strategies/fetch_vacuum_retests_5m.py,Executable,Experiment,Unknown,Active,High,Filename matched Experiment; Invoked by 2 files
ART-0039,financial/strategies/scan_upward_60d.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0040,financial/strategies/scan_semi_ladder2.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0041,financial/strategies/fetch_wave2_yahoo.sh,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0042,financial/strategies/scan_semi_failed_cont.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0043,financial/strategies/live_alpha_bridge.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0044,financial/strategies/fetch_semi_up_ladder_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0045,financial/strategies/scan_tech.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0046,financial/strategies/fetch_semi_ladder_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0047,financial/strategies/scan_semi_ladder.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0048,financial/strategies/fetch_semi_failed_cont.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0049,financial/strategies/fetch_yahoo.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 4 files
ART-0050,financial/strategies/filter_yahoo.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 3 files
ART-0051,financial/strategies/fetch_semis_up_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0052,financial/strategies/fetch_tsla_5m.py,Executable,Unknown,Unknown,Active,Medium,Invoked by 2 files
ART-0053,.venv_test/bin/Activate.ps1,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0054,.venv_test/lib/python3.14/site-packages/pwiz.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0055,.venv_test/lib/python3.14/site-packages/six.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0056,.venv_test/lib/python3.14/site-packages/peewee.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0057,.venv_test/lib/python3.14/site-packages/py.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0058,.venv_test/lib/python3.14/site-packages/typing_extensions.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0059,.venv_test/lib/python3.14/site-packages/yfinance/config.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0060,.venv_test/lib/python3.14/site-packages/yfinance/version.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0061,.venv_test/lib/python3.14/site-packages/yfinance/tickers.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0062,.venv_test/lib/python3.14/site-packages/yfinance/_http.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0063,.venv_test/lib/python3.14/site-packages/yfinance/multi.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0064,.venv_test/lib/python3.14/site-packages/yfinance/lookup.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0065,.venv_test/lib/python3.14/site-packages/yfinance/cache.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0066,.venv_test/lib/python3.14/site-packages/yfinance/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0067,.venv_test/lib/python3.14/site-packages/yfinance/shared.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0068,.venv_test/lib/python3.14/site-packages/yfinance/pricing_pb2.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0069,.venv_test/lib/python3.14/site-packages/yfinance/utils.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0070,.venv_test/lib/python3.14/site-packages/yfinance/live.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0071,.venv_test/lib/python3.14/site-packages/yfinance/search.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0072,.venv_test/lib/python3.14/site-packages/yfinance/exceptions.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0073,.venv_test/lib/python3.14/site-packages/yfinance/ticker.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0074,.venv_test/lib/python3.14/site-packages/yfinance/base.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0075,.venv_test/lib/python3.14/site-packages/yfinance/const.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0076,.venv_test/lib/python3.14/site-packages/yfinance/data.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0077,.venv_test/lib/python3.14/site-packages/yfinance/calendars.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0078,.venv_test/lib/python3.14/site-packages/yfinance/screener/query.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0079,.venv_test/lib/python3.14/site-packages/yfinance/screener/screener.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0080,.venv_test/lib/python3.14/site-packages/yfinance/screener/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0081,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/holders.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0082,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/analysis.py,Executable,Analysis,Unknown,Candidate for Removal,Medium,Filename matched Analysis
ART-0083,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/fundamentals.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0084,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/quote.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0085,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0086,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/funds.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0087,.venv_test/lib/python3.14/site-packages/yfinance/scrapers/history.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0088,.venv_test/lib/python3.14/site-packages/yfinance/domain/domain.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0089,.venv_test/lib/python3.14/site-packages/yfinance/domain/market.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0090,.venv_test/lib/python3.14/site-packages/yfinance/domain/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0091,.venv_test/lib/python3.14/site-packages/yfinance/domain/industry.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0092,.venv_test/lib/python3.14/site-packages/yfinance/domain/sector.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0093,.venv_test/lib/python3.14/site-packages/mdurl/_decode.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0094,.venv_test/lib/python3.14/site-packages/mdurl/_url.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0095,.venv_test/lib/python3.14/site-packages/mdurl/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0096,.venv_test/lib/python3.14/site-packages/mdurl/_format.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0097,.venv_test/lib/python3.14/site-packages/mdurl/_parse.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0098,.venv_test/lib/python3.14/site-packages/mdurl/_encode.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0099,.venv_test/lib/python3.14/site-packages/packaging/tags.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0100,.venv_test/lib/python3.14/site-packages/packaging/_musllinux.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0101,.venv_test/lib/python3.14/site-packages/packaging/dependency_groups.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0102,.venv_test/lib/python3.14/site-packages/packaging/metadata.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0103,.venv_test/lib/python3.14/site-packages/packaging/version.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0104,.venv_test/lib/python3.14/site-packages/packaging/direct_url.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0105,.venv_test/lib/python3.14/site-packages/packaging/pylock.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0106,.venv_test/lib/python3.14/site-packages/packaging/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0107,.venv_test/lib/python3.14/site-packages/packaging/_parser.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0108,.venv_test/lib/python3.14/site-packages/packaging/utils.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0109,.venv_test/lib/python3.14/site-packages/packaging/requirements.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0110,.venv_test/lib/python3.14/site-packages/packaging/_structures.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0111,.venv_test/lib/python3.14/site-packages/packaging/markers.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0112,.venv_test/lib/python3.14/site-packages/packaging/errors.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0113,.venv_test/lib/python3.14/site-packages/packaging/_manylinux.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0114,.venv_test/lib/python3.14/site-packages/packaging/_tokenizer.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0115,.venv_test/lib/python3.14/site-packages/packaging/specifiers.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0116,.venv_test/lib/python3.14/site-packages/packaging/_elffile.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
ART-0117,.venv_test/lib/python3.14/site-packages/packaging/licenses/__init__.py,Executable,Unknown,Unknown,Candidate for Removal,Low,
