timestamp,price,quantity,subtype,side
1003,39996,94,CANCEL,BUY
1008,39997,93,NEW_ORDER,BUY
1013,40000,87,CANCEL,BUY
1017,39995,95,CANCEL,SELL
1020,39999,80,TRADE,SELL
1023,39995,80,NEW_ORDER,BUY
1025,39997,99,CANCEL,SELL
1030,39999,91,CANCEL,BUY
1031,39995,84,TRADE,BUY
1034,39998,87,TRADE,BUY
1037,40000,80,CANCEL,BUY
1039,40001,99,CANCEL,BUY
1040,40005,960,TRADE,BUY
1041,40005,96,NEW_ORDER,SELL
1043,40003,90,NEW_ORDER,BUY
1047,40001,81,NEW_ORDER,SELL
1049,39998,81,TRADE,SELL
1054,39997,92,CANCEL,SELL
1058,39995,560,NEW_ORDER,BUY
1059,39992,560,CANCEL,BUY
1060,39995,96,NEW_ORDER,BUY
1062,39995,98,CANCEL,BUY
1066,39994,85,TRADE,BUY
1069,39994,85,TRADE,BUY
1072,39990,84,NEW_ORDER,SELL
1073,39987,84,NEW_ORDER,SELL
1076,39988,89,NEW_ORDER,SELL
1080,39992,80,NEW_ORDER,SELL
1082,39990,92,TRADE,BUY
1086,39987,87,CANCEL,BUY
1090,39984,80,TRADE,BUY
1095,39989,81,TRADE,SELL
1099,39994,90,NEW_ORDER,SELL
1100,39999,480,TRADE,BUY
1103,39999,95,TRADE,BUY
1105,39997,90,TRADE,BUY
1106,40000,86,NEW_ORDER,SELL
1110,40002,1040,TRADE,BUY
1114,40007,85,TRADE,SELL
1118,40007,97,NEW_ORDER,BUY
1123,40010,89,TRADE,BUY
1124,40008,90,NEW_ORDER,BUY
1127,40004,84,TRADE,BUY
1128,40003,93,CANCEL,SELL
1129,40004,82,NEW_ORDER,SELL
1131,40004,80,TRADE,BUY
1135,40000,92,TRADE,BUY
1139,40003,99,CANCEL,BUY
1144,40005,880,CANCEL,BUY
1145,40004,95,CANCEL,BUY
1150,40001,98,NEW_ORDER,BUY
1153,39999,88,CANCEL,SELL
1158,39998,96,NEW_ORDER,BUY
1160,40002,85,TRADE,BUY
1165,40007,81,NEW_ORDER,BUY
1166,40008,98,NEW_ORDER,BUY
1170,40005,82,TRADE,BUY
1171,40001,87,TRADE,BUY
1172,40001,1040,CANCEL,BUY
1176,40003,800,NEW_ORDER,SELL
1181,40001,98,TRADE,SELL
1183,40000,86,TRADE,BUY
1184,39998,81,TRADE,BUY
1187,40001,98,CANCEL,BUY
1188,39999,92,NEW_ORDER,BUY
1192,39997,91,CANCEL,BUY
1196,39995,1040,NEW_ORDER,BUY
1200,40000,720,CANCEL,BUY
1205,40004,84,CANCEL,BUY
1210,40004,94,NEW_ORDER,BUY
1215,40001,1040,NEW_ORDER,BUY
1218,39997,82,TRADE,BUY
1222,40002,97,NEW_ORDER,BUY
1224,40000,92,TRADE,BUY
1229,39996,91,NEW_ORDER,SELL
1232,39995,96,CANCEL,BUY
1233,39997,87,NEW_ORDER,SELL
1236,39995,84,NEW_ORDER,SELL
1241,39997,80,TRADE,BUY
1243,39999,85,CANCEL,BUY
1244,40001,90,TRADE,SELL
1248,40003,82,NEW_ORDER,BUY
1250,40005,960,NEW_ORDER,BUY
1253,40004,82,CANCEL,BUY
1258,40009,84,CANCEL,SELL
1263,40005,91,TRADE,BUY
1267,40000,92,CANCEL,SELL
1272,39996,89,CANCEL,SELL
1274,39993,480,NEW_ORDER,BUY
1279,39997,98,TRADE,BUY
1280,39998,88,CANCEL,BUY
1285,40002,84,NEW_ORDER,SELL
1287,40000,98,CANCEL,SELL
1288,40002,84,TRADE,SELL
1292,40005,99,TRADE,SELL
1295,40005,95,TRADE,SELL
1297,40007,95,CANCEL,BUY
1301,40009,88,TRADE,BUY
1305,40007,91,NEW_ORDER,BUY
1306,40008,84,TRADE,SELL
1310,40009,87,NEW_ORDER,SELL
1313,40012,94,TRADE,SELL
1317,40008,1120,TRADE,SELL
1322,40004,81,TRADE,BUY
1326,40000,480,CANCEL,SELL
1330,40004,400,TRADE,BUY
1331,40007,95,CANCEL,BUY
1333,40009,92,CANCEL,SELL
1334,40012,83,NEW_ORDER,BUY
1337,40009,83,TRADE,BUY
1338,40005,91,TRADE,BUY
1340,40004,92,TRADE,SELL
1341,40003,960,TRADE,BUY
1345,40000,92,CANCEL,BUY
1347,40004,98,TRADE,BUY
1349,40000,83,CANCEL,BUY
1352,39998,82,CANCEL,SELL
1353,39998,95,TRADE,BUY
1358,40001,92,TRADE,BUY
1359,40003,86,NEW_ORDER,SELL
1361,40003,87,TRADE,BUY
1366,40008,83,NEW_ORDER,BUY
1369,40004,81,NEW_ORDER,BUY
1374,40007,88,TRADE,BUY
1377,40006,91,TRADE,BUY
1381,40009,97,TRADE,SELL
1382,40005,85,TRADE,BUY
1387,40002,88,NEW_ORDER,BUY
1390,40004,83,NEW_ORDER,SELL
1392,40000,92,CANCEL,SELL
1394,40004,91,CANCEL,SELL
1398,40007,480,CANCEL,BUY
1403,40007,96,NEW_ORDER,SELL
1406,40004,84,NEW_ORDER,SELL
1407,40001,82,CANCEL,BUY
1411,40002,84,CANCEL,SELL
1414,39998,80,NEW_ORDER,SELL
1418,39999,85,NEW_ORDER,SELL
1422,39997,87,NEW_ORDER,BUY
1426,39998,95,CANCEL,SELL
1431,40001,84,CANCEL,SELL
1432,39999,93,CANCEL,BUY
1435,39997,720,TRADE,BUY
1440,40000,96,TRADE,SELL
1443,40003,400,TRADE,SELL
1445,40003,560,NEW_ORDER,SELL
1446,40001,99,NEW_ORDER,SELL
1449,40005,92,CANCEL,BUY
1454,40001,80,CANCEL,SELL
1455,40002,94,NEW_ORDER,SELL
1456,40004,88,CANCEL,BUY
1460,39999,90,TRADE,BUY
1464,40001,80,TRADE,BUY
1469,39996,80,CANCEL,SELL
1472,39999,92,NEW_ORDER,SELL
1476,40001,83,CANCEL,SELL
1479,40000,87,CANCEL,BUY
1484,40005,960,CANCEL,SELL
1487,40001,91,CANCEL,SELL
1491,40000,83,TRADE,BUY
1492,39998,91,NEW_ORDER,SELL
1494,40003,92,NEW_ORDER,BUY
1498,40007,88,NEW_ORDER,SELL
1501,40002,91,CANCEL,SELL
1503,40001,82,CANCEL,BUY
1504,40001,92,NEW_ORDER,SELL
1505,39999,80,CANCEL,SELL
1508,39997,83,CANCEL,SELL
1509,39997,98,CANCEL,BUY
1510,39994,92,CANCEL,SELL
1514,39990,95,CANCEL,SELL
1518,39995,88,NEW_ORDER,BUY
1523,39992,98,TRADE,BUY
1526,39995,90,TRADE,BUY
1528,39995,84,CANCEL,BUY
1530,39997,85,TRADE,BUY
1535,40000,98,TRADE,BUY
1540,39998,96,TRADE,BUY
1541,40002,99,CANCEL,BUY
1546,40005,90,CANCEL,SELL
1548,40009,81,TRADE,BUY
1551,40014,88,NEW_ORDER,BUY
1556,40015,97,TRADE,SELL
1560,40018,960,CANCEL,BUY
1563,40019,91,NEW_ORDER,BUY
1565,40020,87,NEW_ORDER,BUY
1566,40025,400,TRADE,BUY
1568,40023,95,NEW_ORDER,SELL
1573,40022,90,NEW_ORDER,BUY
1577,40020,84,NEW_ORDER,SELL
1578,40017,87,TRADE,SELL
1580,40019,97,NEW_ORDER,BUY
1584,40022,92,NEW_ORDER,SELL
1586,40027,92,TRADE,BUY
1591,40022,82,TRADE,SELL
1592,40024,98,NEW_ORDER,BUY
1593,40023,81,NEW_ORDER,SELL
1595,40025,80,CANCEL,SELL
1596,40025,83,TRADE,BUY
1597,40030,97,CANCEL,BUY
