timestamp,price,quantity,subtype,side
1003,40001,112,TRADE,SELL
1008,40001,111,NEW_ORDER,SELL
1013,40000,115,TRADE,BUY
1016,40001,107,TRADE,BUY
1020,40001,106,NEW_ORDER,SELL
1025,40000,500,TRADE,SELL
1030,40000,112,CANCEL,BUY
1031,40001,109,TRADE,SELL
1034,40001,105,CANCEL,BUY
1037,40001,105,CANCEL,SELL
1041,40002,500,TRADE,SELL
1045,40003,104,CANCEL,BUY
1048,40003,103,CANCEL,BUY
1052,40004,104,NEW_ORDER,BUY
1056,40003,112,TRADE,BUY
1059,40004,112,CANCEL,SELL
1061,40004,116,TRADE,BUY
1063,40003,100,CANCEL,SELL
1067,40003,108,TRADE,BUY
1072,40003,102,NEW_ORDER,BUY
1077,40004,117,TRADE,SELL
1079,40004,113,CANCEL,BUY
1082,40003,500,NEW_ORDER,SELL
1085,40003,1200,NEW_ORDER,BUY
1087,40002,1000,TRADE,SELL
1090,40003,112,TRADE,SELL
1091,40004,110,NEW_ORDER,SELL
1095,40004,117,NEW_ORDER,SELL
1097,40004,103,NEW_ORDER,BUY
1100,40004,111,TRADE,SELL
1101,40004,104,CANCEL,BUY
1105,40004,103,NEW_ORDER,BUY
1106,40005,109,NEW_ORDER,BUY
1110,40004,800,NEW_ORDER,BUY
1112,40004,116,CANCEL,SELL
1117,40004,117,CANCEL,SELL
1120,40004,500,TRADE,BUY
1123,40004,114,TRADE,BUY
1127,40003,116,CANCEL,SELL
1129,40002,114,TRADE,SELL
1130,40003,102,TRADE,BUY
1134,40002,118,NEW_ORDER,SELL
1139,40003,900,CANCEL,BUY
1141,40003,118,CANCEL,SELL
1144,40004,108,TRADE,SELL
1147,40004,106,TRADE,BUY
1151,40004,100,TRADE,SELL
1154,40004,103,CANCEL,SELL
1158,40004,100,TRADE,BUY
1159,40005,109,CANCEL,BUY
1161,40004,117,TRADE,SELL
1164,40004,1000,NEW_ORDER,BUY
1169,40005,113,CANCEL,BUY
1172,40006,115,NEW_ORDER,BUY
1176,40006,119,NEW_ORDER,SELL
1178,40006,100,NEW_ORDER,SELL
1180,40005,102,CANCEL,BUY
1181,40005,1300,CANCEL,SELL
1184,40004,110,CANCEL,SELL
1185,40005,101,NEW_ORDER,BUY
1188,40004,104,CANCEL,BUY
1190,40005,100,TRADE,SELL
1193,40004,105,TRADE,BUY
1194,40003,111,TRADE,SELL
1199,40004,113,CANCEL,BUY
1202,40004,110,NEW_ORDER,SELL
1207,40005,115,TRADE,SELL
1211,40005,100,CANCEL,BUY
1212,40005,107,NEW_ORDER,SELL
1214,40004,105,TRADE,SELL
1215,40004,107,TRADE,BUY
1220,40004,109,CANCEL,BUY
1223,40004,101,NEW_ORDER,BUY
1225,40003,106,CANCEL,SELL
1230,40003,114,CANCEL,BUY
1232,40002,1400,TRADE,BUY
1235,40002,100,TRADE,BUY
1240,40002,1000,TRADE,SELL
1241,40001,119,CANCEL,SELL
1243,40002,109,NEW_ORDER,BUY
1244,40003,103,CANCEL,BUY
1246,40002,108,TRADE,SELL
1248,40003,107,NEW_ORDER,BUY
1252,40003,118,CANCEL,BUY
1253,40003,108,TRADE,BUY
1257,40004,800,TRADE,SELL
1260,40005,114,CANCEL,BUY
1261,40005,115,NEW_ORDER,SELL
1263,40005,119,CANCEL,SELL
1268,40005,116,TRADE,BUY
1271,40005,115,NEW_ORDER,SELL
1275,40004,102,TRADE,BUY
1276,40004,118,CANCEL,SELL
1278,40005,110,NEW_ORDER,BUY
1279,40005,115,NEW_ORDER,SELL
1284,40004,115,TRADE,BUY
1288,40004,104,TRADE,SELL
1292,40005,115,CANCEL,SELL
1296,40006,104,CANCEL,BUY
1300,40006,117,CANCEL,BUY
1304,40006,104,NEW_ORDER,BUY
1309,40007,112,CANCEL,BUY
1310,40008,112,TRADE,SELL
1311,40008,118,TRADE,BUY
1316,40008,117,CANCEL,SELL
1317,40009,117,NEW_ORDER,SELL
1320,40010,101,CANCEL,SELL
1322,40009,1100,NEW_ORDER,SELL
1325,40008,106,CANCEL,BUY
1328,40008,104,CANCEL,BUY
1332,40008,116,NEW_ORDER,BUY
1333,40008,103,CANCEL,BUY
1337,40007,100,CANCEL,SELL
1340,40007,900,NEW_ORDER,SELL
1344,40006,117,NEW_ORDER,BUY
1347,40005,115,TRADE,BUY
1349,40005,111,NEW_ORDER,SELL
1351,40004,104,CANCEL,BUY
1354,40005,100,CANCEL,SELL
1358,40006,102,NEW_ORDER,SELL
1363,40006,107,NEW_ORDER,BUY
1365,40005,115,CANCEL,BUY
1368,40004,112,TRADE,SELL
1370,40004,110,TRADE,SELL
1375,40005,113,CANCEL,BUY
1377,40006,112,CANCEL,BUY
1381,40006,107,TRADE,SELL
1385,40006,112,CANCEL,BUY
1390,40007,107,NEW_ORDER,BUY
1394,40007,104,NEW_ORDER,BUY
1396,40007,102,NEW_ORDER,BUY
1398,40008,107,TRADE,BUY
1399,40009,800,TRADE,SELL
1403,40009,106,NEW_ORDER,SELL
1405,40008,117,TRADE,BUY
1408,40008,105,TRADE,BUY
1410,40009,106,NEW_ORDER,BUY
1415,40009,109,NEW_ORDER,SELL
1419,40009,103,CANCEL,BUY
1420,40009,115,TRADE,SELL
1423,40009,106,TRADE,SELL
1424,40009,102,TRADE,BUY
1426,40009,109,NEW_ORDER,BUY
1428,40009,110,NEW_ORDER,BUY
1432,40009,111,CANCEL,SELL
1436,40010,118,TRADE,SELL
1437,40011,113,TRADE,SELL
1442,40011,107,TRADE,SELL
1447,40011,103,TRADE,BUY
1448,40011,110,NEW_ORDER,BUY
1453,40011,118,NEW_ORDER,BUY
1455,40010,103,TRADE,BUY
1459,40010,118,NEW_ORDER,BUY
1463,40010,117,NEW_ORDER,BUY
1465,40010,900,NEW_ORDER,BUY
1467,40010,108,NEW_ORDER,SELL
1470,40009,102,TRADE,BUY
1473,40009,1400,NEW_ORDER,BUY
1475,40010,100,CANCEL,BUY
1476,40011,115,CANCEL,SELL
1479,40011,106,TRADE,BUY
1482,40012,110,TRADE,BUY
1485,40011,700,TRADE,BUY
1488,40011,119,CANCEL,SELL
1491,40011,117,NEW_ORDER,BUY
1492,40011,113,CANCEL,BUY
1494,40012,117,CANCEL,SELL
1498,40012,114,TRADE,BUY
1499,40011,700,TRADE,SELL
1503,40012,102,TRADE,BUY
1508,40013,105,TRADE,SELL
1509,40013,1300,CANCEL,SELL
1512,40013,113,TRADE,SELL
1514,40013,106,TRADE,SELL
