timestamp,price,quantity,subtype,side
1003,39998,105,CANCEL,SELL
1006,39998,113,CANCEL,SELL
1010,39998,500,CANCEL,BUY
1014,39999,600,CANCEL,BUY
1015,39998,119,TRADE,SELL
1019,39996,117,TRADE,SELL
1020,39995,108,TRADE,BUY
1025,39996,107,TRADE,SELL
1028,39997,116,TRADE,SELL
1029,39998,102,NEW_ORDER,BUY
1034,39997,105,TRADE,BUY
1035,39998,105,TRADE,SELL
1038,39996,107,TRADE,SELL
1040,39997,109,TRADE,SELL
1041,39995,118,TRADE,SELL
1046,39995,109,NEW_ORDER,SELL
1050,39993,109,CANCEL,SELL
1052,39993,101,TRADE,SELL
1054,39993,112,NEW_ORDER,SELL
1056,39993,108,TRADE,SELL
1060,39992,110,NEW_ORDER,SELL
1065,39991,101,TRADE,SELL
1067,39991,100,CANCEL,BUY
1070,39990,106,TRADE,SELL
1071,39990,1200,CANCEL,BUY
1076,39989,109,TRADE,SELL
1078,39989,112,TRADE,BUY
1079,39989,102,TRADE,SELL
1083,39989,1200,TRADE,SELL
1085,39987,100,NEW_ORDER,BUY
1087,39986,118,CANCEL,SELL
1092,39984,101,NEW_ORDER,SELL
1095,39982,104,TRADE,SELL
1096,39982,116,CANCEL,BUY
1098,39982,105,CANCEL,SELL
1099,39983,107,TRADE,SELL
1100,39984,104,TRADE,SELL
1102,39983,100,TRADE,SELL
1104,39981,104,CANCEL,SELL
1108,39981,103,TRADE,SELL
1112,39982,100,TRADE,SELL
1117,39984,101,CANCEL,BUY
1119,39984,107,TRADE,SELL
1122,39986,1400,NEW_ORDER,SELL
1123,39983,105,NEW_ORDER,SELL
1127,39984,105,NEW_ORDER,SELL
1131,39985,111,TRADE,SELL
1136,39986,108,CANCEL,BUY
1137,39987,108,TRADE,SELL
1139,39986,112,TRADE,SELL
1142,39986,107,CANCEL,BUY
1147,39987,111,NEW_ORDER,SELL
1151,39986,104,CANCEL,SELL
1154,39985,109,NEW_ORDER,SELL
1156,39984,118,TRADE,BUY
1157,39982,1300,CANCEL,BUY
1160,39981,116,CANCEL,SELL
1161,39980,1000,NEW_ORDER,BUY
1166,39981,109,TRADE,SELL
1170,39982,108,TRADE,SELL
1175,39980,113,CANCEL,BUY
1180,39979,800,TRADE,SELL
1182,39978,110,NEW_ORDER,SELL
1186,39978,112,TRADE,SELL
1188,39978,1400,NEW_ORDER,BUY
1191,39977,104,CANCEL,SELL
1194,39977,112,NEW_ORDER,BUY
1196,39977,117,TRADE,SELL
1201,39975,110,TRADE,SELL
1202,39976,111,TRADE,BUY
1206,39975,104,TRADE,SELL
1210,39975,110,TRADE,SELL
1212,39974,110,NEW_ORDER,SELL
1213,39971,110,TRADE,SELL
1215,39971,115,TRADE,SELL
1220,39970,104,TRADE,SELL
1224,39969,107,TRADE,BUY
1227,39970,105,CANCEL,BUY
1232,39969,119,TRADE,SELL
1234,39969,117,CANCEL,SELL
1238,39967,103,TRADE,SELL
1241,39965,101,CANCEL,BUY
1242,39964,100,TRADE,SELL
1245,39963,103,CANCEL,SELL
1246,39961,101,NEW_ORDER,SELL
1250,39960,112,NEW_ORDER,SELL
1254,39958,101,TRADE,SELL
1259,39957,111,TRADE,SELL
1264,39956,111,TRADE,SELL
1268,39955,102,TRADE,SELL
1271,39952,101,TRADE,SELL
1272,39951,1200,CANCEL,BUY
1276,39952,119,TRADE,SELL
1281,39953,104,NEW_ORDER,SELL
1283,39953,107,TRADE,BUY
1288,39951,104,NEW_ORDER,BUY
1290,39950,117,TRADE,SELL
1295,39950,117,NEW_ORDER,BUY
1299,39949,109,NEW_ORDER,SELL
1302,39947,101,NEW_ORDER,BUY
1305,39948,111,NEW_ORDER,SELL
1307,39948,102,TRADE,SELL
1309,39949,1400,NEW_ORDER,BUY
1313,39949,113,CANCEL,SELL
1318,39948,116,CANCEL,BUY
1323,39947,107,TRADE,SELL
1327,39949,111,TRADE,SELL
