timestamp,price,quantity,subtype,side
1003,39999,100,NEW_ORDER,BUY
1005,39998,106,TRADE,BUY
1006,39998,101,NEW_ORDER,SELL
1011,39999,700,NEW_ORDER,SELL
1015,39999,1000,TRADE,BUY
1018,39998,115,TRADE,BUY
1020,39998,111,NEW_ORDER,BUY
1023,40000,108,TRADE,BUY
1028,40000,118,CANCEL,BUY
1029,40002,114,NEW_ORDER,BUY
1031,40004,102,NEW_ORDER,SELL
1035,40005,104,NEW_ORDER,BUY
1036,40007,107,TRADE,BUY
1038,40008,800,CANCEL,SELL
1042,40008,103,CANCEL,BUY
1046,40008,100,TRADE,SELL
1048,40008,1300,TRADE,SELL
1051,40007,112,TRADE,BUY
1054,40008,600,NEW_ORDER,SELL
1059,40007,105,TRADE,BUY
1062,40008,101,CANCEL,BUY
1067,40009,115,TRADE,SELL
1069,40010,107,TRADE,BUY
1072,40009,119,TRADE,BUY
1073,40010,107,NEW_ORDER,SELL
1075,40009,108,TRADE,BUY
1080,40010,107,NEW_ORDER,BUY
1085,40012,107,TRADE,SELL
1090,40011,110,NEW_ORDER,BUY
1091,40010,110,NEW_ORDER,SELL
1092,40009,106,TRADE,BUY
1097,40011,117,TRADE,BUY
1100,40011,108,TRADE,BUY
1105,40012,107,NEW_ORDER,BUY
1106,40015,800,NEW_ORDER,BUY
1107,40016,115,NEW_ORDER,SELL
1108,40015,119,TRADE,BUY
1112,40014,104,CANCEL,BUY
1115,40013,110,NEW_ORDER,BUY
1119,40015,116,TRADE,BUY
1122,40014,107,NEW_ORDER,BUY
1126,40014,102,TRADE,BUY
1131,40016,111,NEW_ORDER,BUY
1132,40015,111,TRADE,BUY
1136,40017,1400,CANCEL,SELL
1140,40018,114,NEW_ORDER,BUY
1141,40017,104,TRADE,BUY
1146,40018,116,TRADE,BUY
1150,40019,110,NEW_ORDER,SELL
1152,40018,108,NEW_ORDER,BUY
1155,40020,102,TRADE,SELL
1160,40018,116,NEW_ORDER,SELL
1164,40020,101,TRADE,BUY
1166,40019,104,NEW_ORDER,SELL
1169,40018,107,CANCEL,SELL
1174,40019,1000,TRADE,BUY
1176,40018,113,NEW_ORDER,SELL
1181,40017,700,CANCEL,BUY
1186,40018,101,TRADE,SELL
1189,40017,113,NEW_ORDER,BUY
1193,40018,105,NEW_ORDER,BUY
1194,40020,108,NEW_ORDER,SELL
1198,40019,800,TRADE,BUY
1202,40020,109,CANCEL,SELL
1206,40021,1300,TRADE,BUY
1211,40021,110,NEW_ORDER,SELL
1215,40021,600,TRADE,BUY
1218,40020,118,CANCEL,BUY
1223,40020,110,CANCEL,SELL
1224,40019,118,NEW_ORDER,SELL
1229,40017,108,TRADE,BUY
1230,40016,100,CANCEL,SELL
1231,40018,101,NEW_ORDER,SELL
1232,40017,102,TRADE,BUY
1233,40019,118,CANCEL,SELL
1236,40019,104,TRADE,BUY
1241,40019,1000,NEW_ORDER,SELL
1246,40021,101,TRADE,BUY
1247,40023,102,NEW_ORDER,SELL
1250,40025,113,NEW_ORDER,SELL
1255,40024,113,TRADE,BUY
1258,40024,100,TRADE,BUY
1260,40025,103,NEW_ORDER,SELL
1263,40027,114,CANCEL,BUY
1266,40028,111,TRADE,BUY
1267,40030,111,TRADE,BUY
1271,40031,113,TRADE,SELL
1274,40033,103,CANCEL,SELL
1279,40033,107,NEW_ORDER,SELL
1284,40032,111,NEW_ORDER,BUY
1288,40031,1100,TRADE,BUY
1290,40032,105,TRADE,BUY
1295,40033,110,CANCEL,BUY
1297,40033,116,TRADE,BUY
1301,40033,113,CANCEL,SELL
1305,40035,108,CANCEL,BUY
1306,40034,117,TRADE,BUY
1308,40033,105,CANCEL,SELL
1310,40033,105,NEW_ORDER,SELL
1313,40034,112,NEW_ORDER,BUY
1317,40035,101,NEW_ORDER,SELL
1322,40034,101,NEW_ORDER,BUY
1325,40035,110,TRADE,BUY
1329,40034,118,TRADE,BUY
1330,40034,118,TRADE,BUY
1334,40033,119,TRADE,BUY
1338,40035,101,CANCEL,SELL
1341,40037,108,NEW_ORDER,BUY
1345,40038,101,TRADE,BUY
1346,40038,100,CANCEL,BUY
1348,40038,102,NEW_ORDER,BUY
1352,40040,107,TRADE,BUY
1357,40041,105,TRADE,BUY
1361,40042,111,NEW_ORDER,SELL
1363,40042,109,CANCEL,SELL
1367,40043,108,TRADE,BUY
1372,40042,107,NEW_ORDER,BUY
1377,40041,116,TRADE,BUY
1381,40042,1100,NEW_ORDER,SELL
1382,40044,116,CANCEL,SELL
1383,40043,116,NEW_ORDER,BUY
1385,40042,110,TRADE,BUY
1388,40044,111,NEW_ORDER,BUY
1393,40043,109,NEW_ORDER,BUY
1398,40043,105,TRADE,BUY
1403,40045,118,NEW_ORDER,BUY
1408,40044,1300,TRADE,BUY
1411,40043,107,CANCEL,BUY
1415,40045,113,CANCEL,SELL
1418,40046,103,CANCEL,SELL
1419,40044,102,NEW_ORDER,SELL
1423,40043,112,CANCEL,BUY
1426,40044,111,CANCEL,BUY
1429,40043,115,TRADE,SELL
1433,40044,1000,TRADE,BUY
1434,40046,113,NEW_ORDER,SELL
1439,40047,119,TRADE,SELL
1441,40048,119,TRADE,BUY
1445,40049,115,TRADE,BUY
1446,40049,119,CANCEL,SELL
1448,40050,800,CANCEL,SELL
1453,40049,118,TRADE,BUY
1455,40049,600,CANCEL,SELL
1459,40051,108,CANCEL,BUY
1463,40052,116,CANCEL,SELL
1465,40052,104,NEW_ORDER,BUY
1469,40053,108,NEW_ORDER,SELL
1474,40052,109,CANCEL,SELL
1478,40052,109,TRADE,BUY
1479,40054,109,NEW_ORDER,SELL
1484,40053,112,CANCEL,SELL
1487,40052,111,TRADE,BUY
1492,40051,108,NEW_ORDER,SELL
1495,40051,112,TRADE,BUY
1496,40051,116,TRADE,BUY
1499,40051,117,TRADE,BUY
1503,40053,102,TRADE,BUY
1508,40053,100,CANCEL,BUY
1509,40055,111,TRADE,BUY
1513,40056,112,CANCEL,SELL
1518,40056,104,NEW_ORDER,BUY
1520,40055,104,NEW_ORDER,BUY
1522,40054,104,NEW_ORDER,BUY
1523,40054,105,TRADE,BUY
1526,40055,106,TRADE,BUY
1527,40056,105,CANCEL,SELL
1532,40058,105,TRADE,BUY
1534,40059,108,CANCEL,SELL
1537,40058,103,TRADE,SELL
1542,40058,107,TRADE,BUY
1547,40056,102,NEW_ORDER,BUY
1548,40057,119,NEW_ORDER,SELL
1549,40058,119,NEW_ORDER,SELL
1551,40059,115,TRADE,BUY
1554,40058,106,TRADE,BUY
1557,40058,102,TRADE,BUY
1560,40058,116,TRADE,BUY
1563,40058,600,CANCEL,SELL
1567,40059,108,CANCEL,SELL
1569,40058,1400,TRADE,BUY
1573,40059,114,CANCEL,SELL
1575,40061,116,NEW_ORDER,SELL
1578,40062,109,TRADE,SELL
1582,40060,101,TRADE,BUY
1587,40063,109,TRADE,SELL
1592,40061,1100,NEW_ORDER,BUY
1594,40061,105,CANCEL,BUY
1599,40062,107,CANCEL,SELL
1603,40061,1300,CANCEL,BUY
1606,40060,106,CANCEL,BUY
1611,40060,101,CANCEL,BUY
1614,40060,107,NEW_ORDER,BUY
1618,40062,116,TRADE,BUY
1619,40064,117,TRADE,BUY
1624,40065,104,CANCEL,BUY
1627,40067,117,CANCEL,BUY
1632,40066,118,CANCEL,BUY
1634,40068,107,NEW_ORDER,SELL
1638,40069,118,CANCEL,BUY
1642,40070,117,CANCEL,SELL
