timestamp,price,quantity,subtype,side
1002,40005,99,CANCEL,SELL
1003,40006,93,CANCEL,SELL
1007,40003,81,NEW_ORDER,SELL
1009,40000,91,TRADE,BUY
1013,40002,86,TRADE,BUY
1017,40001,89,NEW_ORDER,SELL
1020,39998,1120,CANCEL,SELL
1022,40001,97,TRADE,BUY
1024,39999,92,NEW_ORDER,BUY
1028,40003,94,NEW_ORDER,BUY
1030,40007,83,TRADE,BUY
1033,40008,95,TRADE,BUY
1035,40007,96,TRADE,BUY
1039,40006,90,NEW_ORDER,SELL
1040,40006,86,NEW_ORDER,BUY
1042,40004,97,TRADE,BUY
1044,40007,97,NEW_ORDER,BUY
1049,40006,91,TRADE,BUY
1052,40008,92,NEW_ORDER,SELL
1054,40005,80,NEW_ORDER,SELL
1055,40005,82,NEW_ORDER,SELL
1058,40008,83,TRADE,SELL
1062,40008,93,TRADE,BUY
1065,40011,81,NEW_ORDER,BUY
1066,40013,82,TRADE,BUY
1067,40008,95,TRADE,BUY
1072,40008,95,NEW_ORDER,BUY
1073,40003,98,TRADE,BUY
1077,39999,92,TRADE,SELL
1081,40004,92,NEW_ORDER,SELL
1085,40005,99,TRADE,BUY
1090,40005,83,NEW_ORDER,BUY
1094,40003,86,TRADE,SELL
1099,40005,960,CANCEL,BUY
1100,40002,640,TRADE,BUY
1104,40007,1040,CANCEL,BUY
1109,40007,80,CANCEL,BUY
1112,40003,97,TRADE,BUY
1117,40002,88,NEW_ORDER,SELL
1120,40004,91,TRADE,BUY
1125,40003,80,CANCEL,BUY
1126,40002,88,TRADE,BUY
1131,40001,80,TRADE,BUY
1132,40000,85,TRADE,BUY
1134,39997,99,CANCEL,BUY
1136,39995,97,CANCEL,SELL
1137,39995,85,CANCEL,SELL
1140,39998,82,TRADE,SELL
1144,39995,87,NEW_ORDER,SELL
1149,39999,86,NEW_ORDER,SELL
1151,40001,95,NEW_ORDER,BUY
1152,39998,98,CANCEL,SELL
1155,39998,91,CANCEL,SELL
1159,40001,880,CANCEL,BUY
1160,40006,99,NEW_ORDER,SELL
1161,40001,98,CANCEL,BUY
1166,40004,88,CANCEL,SELL
1170,40007,94,NEW_ORDER,BUY
1174,40003,81,TRADE,SELL
1175,40004,90,TRADE,BUY
1176,40005,93,CANCEL,BUY
1177,40009,90,TRADE,BUY
1179,40006,95,CANCEL,BUY
1183,40002,94,TRADE,SELL
1184,40004,84,CANCEL,BUY
1186,40005,82,TRADE,BUY
1190,40002,86,NEW_ORDER,SELL
1191,40007,85,CANCEL,BUY
1195,40004,82,TRADE,BUY
1197,40005,99,CANCEL,SELL
1198,40003,86,CANCEL,SELL
1199,40007,1120,CANCEL,SELL
1201,40004,85,TRADE,BUY
