timestamp,price,quantity,subtype,side
1004,40001,116,CANCEL,BUY
1007,39999,800,TRADE,SELL
1012,39997,101,CANCEL,BUY
1015,39996,1200,CANCEL,BUY
1019,39996,111,NEW_ORDER,BUY
1024,39994,108,TRADE,BUY
1027,39995,101,CANCEL,BUY
1031,39994,117,TRADE,SELL
1032,39992,104,CANCEL,BUY
1037,39990,1400,NEW_ORDER,BUY
1039,39988,700,TRADE,SELL
1040,39989,104,TRADE,SELL
1044,39988,1000,TRADE,SELL
1045,39989,109,CANCEL,SELL
1047,39988,112,NEW_ORDER,BUY
1050,39986,1300,TRADE,SELL
1052,39987,107,TRADE,BUY
1055,39988,119,NEW_ORDER,SELL
1060,39989,113,TRADE,BUY
1062,39988,107,TRADE,SELL
1064,39987,100,TRADE,SELL
1065,39986,102,NEW_ORDER,BUY
1069,39987,109,CANCEL,SELL
1073,39986,102,CANCEL,SELL
1075,39987,111,TRADE,SELL
1078,39988,111,TRADE,BUY
1081,39986,117,CANCEL,BUY
1086,39987,101,TRADE,SELL
1091,39986,112,TRADE,SELL
1092,39986,112,CANCEL,SELL
1093,39984,1000,CANCEL,BUY
1097,39985,101,TRADE,SELL
1098,39986,118,NEW_ORDER,SELL
1102,39987,105,CANCEL,BUY
1105,39987,112,CANCEL,BUY
1110,39985,109,NEW_ORDER,SELL
1113,39986,1400,NEW_ORDER,SELL
1117,39984,103,TRADE,BUY
1121,39983,115,CANCEL,BUY
1126,39983,101,CANCEL,BUY
1127,39984,107,TRADE,SELL
1131,39983,115,NEW_ORDER,SELL
1136,39984,119,NEW_ORDER,SELL
1137,39985,117,TRADE,SELL
1139,39985,114,CANCEL,BUY
1141,39987,103,TRADE,SELL
1146,39985,104,NEW_ORDER,SELL
1149,39985,102,NEW_ORDER,SELL
1153,39986,109,CANCEL,BUY
1154,39983,105,CANCEL,SELL
1155,39984,106,NEW_ORDER,BUY
1156,39983,112,NEW_ORDER,BUY
1158,39984,102,CANCEL,SELL
1162,39985,104,TRADE,SELL
1167,39986,117,TRADE,SELL
1169,39987,104,NEW_ORDER,BUY
1171,39986,111,NEW_ORDER,SELL
1174,39986,118,NEW_ORDER,SELL
1176,39987,108,TRADE,SELL
1180,39985,119,CANCEL,SELL
1183,39984,108,TRADE,SELL
1185,39984,113,CANCEL,BUY
1187,39984,103,TRADE,SELL
1192,39983,107,NEW_ORDER,BUY
1197,39981,108,CANCEL,BUY
1199,39981,115,CANCEL,SELL
1201,39982,110,NEW_ORDER,BUY
1206,39983,116,CANCEL,BUY
1207,39983,113,TRADE,SELL
1208,39981,102,TRADE,SELL
1209,39982,117,TRADE,BUY
1212,39983,116,CANCEL,BUY
1217,39981,115,CANCEL,BUY
1218,39982,109,NEW_ORDER,BUY
1221,39981,116,NEW_ORDER,SELL
1223,39979,102,TRADE,SELL
1225,39981,102,NEW_ORDER,BUY
1229,39978,600,CANCEL,SELL
1230,39976,106,NEW_ORDER,SELL
1233,39976,103,TRADE,SELL
1236,39975,117,CANCEL,SELL
1241,39976,110,NEW_ORDER,SELL
1245,39976,112,TRADE,BUY
1248,39975,103,NEW_ORDER,SELL
1250,39975,108,TRADE,SELL
1252,39973,107,TRADE,SELL
1257,39972,105,NEW_ORDER,SELL
1259,39971,500,CANCEL,SELL
1261,39971,700,NEW_ORDER,SELL
1262,39970,104,TRADE,SELL
1264,39971,101,NEW_ORDER,BUY
1268,39973,1200,CANCEL,BUY
1273,39972,108,CANCEL,BUY
