timestamp,price,quantity,subtype,side
1005,40002,101,TRADE,SELL
1010,40001,110,NEW_ORDER,BUY
1015,40000,118,TRADE,BUY
1020,40002,102,TRADE,BUY
1025,40002,113,CANCEL,BUY
1030,40001,115,NEW_ORDER,BUY
1034,40000,119,CANCEL,BUY
1037,40001,1300,CANCEL,SELL
1038,40002,100,NEW_ORDER,BUY
1039,40004,117,TRADE,BUY
1041,40003,106,NEW_ORDER,SELL
1042,40002,107,TRADE,BUY
1047,40002,113,CANCEL,BUY
1051,40004,100,CANCEL,BUY
1054,40003,117,CANCEL,BUY
1057,40005,106,NEW_ORDER,BUY
1061,40004,116,TRADE,SELL
1063,40004,114,CANCEL,SELL
1064,40006,103,CANCEL,SELL
1065,40005,107,NEW_ORDER,BUY
1066,40006,109,TRADE,SELL
1068,40005,115,CANCEL,BUY
1073,40005,107,CANCEL,SELL
1076,40006,100,TRADE,BUY
1078,40007,1400,CANCEL,BUY
1083,40009,103,NEW_ORDER,BUY
1086,40009,900,TRADE,BUY
1090,40008,100,NEW_ORDER,SELL
1094,40010,118,TRADE,BUY
1098,40011,101,NEW_ORDER,SELL
1101,40012,111,NEW_ORDER,BUY
1102,40013,110,NEW_ORDER,SELL
1104,40014,800,TRADE,BUY
1106,40014,500,TRADE,SELL
1109,40013,116,TRADE,BUY
1113,40012,109,CANCEL,BUY
1115,40013,113,TRADE,BUY
1119,40013,101,NEW_ORDER,BUY
1121,40014,103,NEW_ORDER,SELL
1125,40014,109,NEW_ORDER,BUY
1127,40013,116,TRADE,BUY
1132,40013,111,NEW_ORDER,BUY
1136,40015,119,CANCEL,SELL
1137,40017,116,CANCEL,SELL
1141,40016,110,CANCEL,BUY
1145,40016,114,NEW_ORDER,SELL
1146,40016,112,TRADE,BUY
1151,40015,106,CANCEL,SELL
1152,40014,110,NEW_ORDER,SELL
1153,40013,104,TRADE,BUY
1154,40013,900,TRADE,BUY
1155,40015,110,TRADE,BUY
1156,40016,105,NEW_ORDER,SELL
1160,40018,108,CANCEL,SELL
1164,40020,108,TRADE,SELL
1169,40022,109,TRADE,BUY
1174,40021,112,TRADE,BUY
1175,40023,900,NEW_ORDER,SELL
1176,40022,102,CANCEL,BUY
1179,40022,116,TRADE,BUY
1182,40023,109,CANCEL,SELL
1185,40026,109,TRADE,BUY
1186,40025,1200,TRADE,SELL
1191,40024,118,TRADE,BUY
1192,40026,109,NEW_ORDER,SELL
1195,40025,100,CANCEL,SELL
1197,40027,101,NEW_ORDER,BUY
1199,40027,116,TRADE,BUY
1201,40028,115,TRADE,BUY
1204,40028,110,TRADE,BUY
1208,40031,118,CANCEL,BUY
1213,40033,115,TRADE,BUY
1218,40032,116,TRADE,BUY
1221,40032,106,NEW_ORDER,BUY
1223,40034,105,NEW_ORDER,BUY
1226,40034,500,CANCEL,SELL
1229,40034,108,CANCEL,SELL
1231,40035,800,NEW_ORDER,BUY
1236,40037,100,TRADE,BUY
1238,40036,110,TRADE,BUY
1240,40036,107,CANCEL,SELL
1245,40037,109,NEW_ORDER,BUY
1249,40035,900,CANCEL,BUY
1250,40035,110,CANCEL,SELL
1254,40035,103,CANCEL,BUY
1258,40037,103,CANCEL,BUY
1260,40037,105,TRADE,BUY
1261,40036,117,TRADE,BUY
1262,40037,118,CANCEL,BUY
1264,40036,108,TRADE,BUY
1269,40035,700,NEW_ORDER,SELL
1271,40034,113,TRADE,BUY
1274,40035,112,NEW_ORDER,SELL
1279,40035,110,CANCEL,BUY
1282,40037,1300,NEW_ORDER,SELL
1287,40036,108,CANCEL,BUY
1290,40035,1400,NEW_ORDER,SELL
1293,40037,118,TRADE,BUY
1296,40037,117,CANCEL,SELL
1297,40037,110,NEW_ORDER,BUY
1302,40039,101,TRADE,BUY
1304,40040,104,CANCEL,BUY
1305,40039,109,TRADE,BUY
1306,40041,118,NEW_ORDER,SELL
1310,40040,112,NEW_ORDER,BUY
1311,40042,105,NEW_ORDER,BUY
1314,40044,110,TRADE,BUY
1315,40043,116,CANCEL,SELL
1320,40044,116,NEW_ORDER,SELL
1325,40044,117,NEW_ORDER,BUY
1326,40044,119,TRADE,SELL
1331,40043,102,NEW_ORDER,SELL
1333,40044,102,CANCEL,BUY
1336,40043,116,CANCEL,SELL
1338,40044,103,TRADE,SELL
1342,40043,119,NEW_ORDER,SELL
1343,40043,105,TRADE,BUY
1347,40043,112,TRADE,BUY
1352,40043,112,NEW_ORDER,BUY
1355,40045,114,TRADE,BUY
1360,40047,117,CANCEL,BUY
1361,40049,106,TRADE,BUY
1363,40049,118,NEW_ORDER,BUY
1366,40051,800,NEW_ORDER,SELL
1370,40051,1300,TRADE,BUY
1375,40051,105,TRADE,BUY
1380,40051,114,TRADE,BUY
1384,40050,100,TRADE,BUY
1387,40049,102,NEW_ORDER,BUY
1390,40047,106,NEW_ORDER,SELL
1395,40049,105,CANCEL,SELL
1399,40052,119,TRADE,BUY
1403,40051,103,CANCEL,SELL
1404,40052,109,CANCEL,SELL
1408,40053,105,NEW_ORDER,SELL
1413,40052,103,TRADE,BUY
1415,40052,1400,TRADE,BUY
1416,40053,113,NEW_ORDER,BUY
1418,40053,900,NEW_ORDER,BUY
1420,40052,106,CANCEL,SELL
1424,40053,104,TRADE,BUY
1428,40053,117,NEW_ORDER,SELL
1430,40054,113,TRADE,SELL
1432,40055,118,TRADE,BUY
1437,40057,115,TRADE,BUY
1441,40056,103,TRADE,BUY
1444,40054,116,CANCEL,SELL
1448,40057,107,TRADE,BUY
1449,40057,106,TRADE,BUY
1452,40057,117,TRADE,BUY
1454,40057,102,TRADE,BUY
1456,40058,115,CANCEL,BUY
1457,40058,105,CANCEL,SELL
1460,40061,117,TRADE,BUY
1464,40059,118,CANCEL,BUY
1465,40058,108,TRADE,SELL
1470,40059,107,CANCEL,BUY
1473,40061,104,CANCEL,SELL
1477,40063,104,CANCEL,BUY
1479,40062,110,TRADE,BUY
1482,40061,108,NEW_ORDER,SELL
1487,40062,112,NEW_ORDER,SELL
1491,40064,109,TRADE,BUY
1496,40066,118,NEW_ORDER,SELL
1499,40066,105,CANCEL,BUY
1501,40067,1200,TRADE,BUY
1503,40067,108,TRADE,SELL
1506,40067,111,CANCEL,SELL
1507,40067,113,TRADE,BUY
1512,40067,112,CANCEL,SELL
1514,40070,500,TRADE,BUY
1518,40070,1400,CANCEL,BUY
1521,40072,105,TRADE,SELL
1526,40075,103,TRADE,BUY
1527,40076,106,TRADE,BUY
1528,40077,119,CANCEL,BUY
1533,40076,115,CANCEL,SELL
1538,40077,600,TRADE,BUY
1541,40078,105,CANCEL,SELL
1546,40078,111,TRADE,BUY
1548,40080,115,NEW_ORDER,BUY
1551,40081,111,TRADE,BUY
1556,40083,106,CANCEL,BUY
1559,40082,108,NEW_ORDER,SELL
1561,40084,109,CANCEL,SELL
1563,40083,115,TRADE,SELL
1567,40085,114,NEW_ORDER,SELL
1571,40085,114,CANCEL,SELL
1573,40083,104,TRADE,BUY
1577,40085,113,NEW_ORDER,SELL
1581,40085,104,TRADE,SELL
1582,40087,1400,NEW_ORDER,BUY
1586,40086,117,NEW_ORDER,BUY
1588,40085,109,TRADE,SELL
1589,40085,116,CANCEL,BUY
1593,40085,103,CANCEL,SELL
1594,40085,106,TRADE,BUY
1599,40084,115,NEW_ORDER,BUY
1601,40084,107,NEW_ORDER,SELL
1605,40083,114,TRADE,SELL
