timestamp,price,quantity,subtype,side
1003,39999,57,NEW_ORDER,SELL
1006,40004,62,CANCEL,SELL
1008,40011,67,TRADE,SELL
1011,40019,50,TRADE,BUY
1014,40024,250,TRADE,BUY
1015,40031,61,TRADE,SELL
1017,40031,350,CANCEL,BUY
1019,40029,60,NEW_ORDER,BUY
1021,40024,51,CANCEL,SELL
1022,40018,55,TRADE,SELL
1024,40017,61,TRADE,SELL
1025,40009,59,CANCEL,SELL
1026,40015,69,CANCEL,SELL
1029,40006,60,TRADE,BUY
1032,40014,62,NEW_ORDER,SELL
1035,40008,500,NEW_ORDER,BUY
1036,40012,52,TRADE,BUY
1039,40015,65,TRADE,SELL
1040,40025,62,CANCEL,SELL
1043,40025,54,CANCEL,SELL
1046,40023,54,CANCEL,BUY
1047,40029,50,TRADE,BUY
1048,40029,52,CANCEL,BUY
1050,40026,60,CANCEL,BUY
1052,40032,69,CANCEL,SELL
1055,40023,600,NEW_ORDER,BUY
1057,40018,51,NEW_ORDER,SELL
1058,40027,54,NEW_ORDER,BUY
1061,40031,61,TRADE,BUY
1062,40036,63,TRADE,BUY
1063,40032,59,TRADE,BUY
1064,40031,63,TRADE,BUY
1065,40035,56,CANCEL,BUY
1067,40040,65,NEW_ORDER,BUY
1069,40033,51,TRADE,SELL
1072,40040,69,TRADE,BUY
1073,40043,61,TRADE,SELL
1075,40041,53,CANCEL,SELL
1076,40032,69,NEW_ORDER,BUY
1079,40040,54,CANCEL,BUY
1080,40044,50,NEW_ORDER,BUY
1081,40051,54,CANCEL,BUY
1083,40050,67,TRADE,BUY
1084,40051,61,CANCEL,SELL
1087,40060,68,CANCEL,BUY
1089,40067,53,CANCEL,BUY
1092,40062,53,CANCEL,BUY
1094,40069,61,CANCEL,BUY
1096,40062,52,NEW_ORDER,SELL
1098,40071,59,CANCEL,SELL
1100,40065,57,NEW_ORDER,SELL
1102,40063,50,NEW_ORDER,SELL
1105,40054,55,TRADE,BUY
1106,40053,51,CANCEL,SELL
1107,40056,58,TRADE,BUY
1109,40066,68,TRADE,SELL
1110,40076,68,TRADE,SELL
1112,40080,69,CANCEL,BUY
1113,40086,68,NEW_ORDER,BUY
1116,40086,67,NEW_ORDER,BUY
1118,40092,61,TRADE,BUY
1120,40082,61,CANCEL,SELL
1123,40075,65,CANCEL,SELL
1124,40078,54,CANCEL,BUY
1125,40083,700,TRADE,SELL
1127,40085,66,NEW_ORDER,BUY
1128,40083,66,TRADE,SELL
1130,40088,57,NEW_ORDER,SELL
1131,40080,64,CANCEL,SELL
1134,40072,52,CANCEL,BUY
1136,40074,50,TRADE,SELL
1137,40074,69,TRADE,SELL
1138,40083,58,TRADE,SELL
1141,40085,50,TRADE,SELL
1143,40093,56,TRADE,SELL
1146,40099,400,CANCEL,SELL
1148,40092,400,CANCEL,BUY
1151,40099,53,TRADE,BUY
1152,40108,53,TRADE,SELL
1154,40104,62,CANCEL,BUY
1156,40097,53,TRADE,SELL
1158,40095,66,CANCEL,BUY
