timestamp,price,quantity,subtype,side
1004,40003,94,TRADE,BUY
1008,39999,89,NEW_ORDER,BUY
1009,40003,86,CANCEL,SELL
1012,40003,96,TRADE,SELL
1013,39999,85,CANCEL,SELL
1017,39996,1120,NEW_ORDER,SELL
1020,39998,81,NEW_ORDER,SELL
1025,39999,98,CANCEL,SELL
1028,39998,81,CANCEL,BUY
1032,39996,84,TRADE,BUY
1033,39994,88,TRADE,BUY
1038,39993,92,TRADE,SELL
1041,39989,81,TRADE,BUY
1044,39990,98,CANCEL,SELL
1049,39989,97,TRADE,BUY
1052,39991,89,CANCEL,SELL
1057,39986,83,NEW_ORDER,SELL
1062,39988,81,TRADE,BUY
1064,39989,93,CANCEL,SELL
1066,39984,84,TRADE,SELL
1070,39989,86,CANCEL,SELL
1072,39985,93,NEW_ORDER,BUY
1073,39987,91,NEW_ORDER,BUY
1076,39988,90,NEW_ORDER,SELL
1079,39991,98,TRADE,BUY
1080,39996,99,CANCEL,SELL
1083,39991,88,CANCEL,BUY
1087,39995,80,CANCEL,SELL
1090,39996,99,TRADE,BUY
1091,39998,87,CANCEL,SELL
1093,39995,97,NEW_ORDER,BUY
1098,39996,400,CANCEL,SELL
1103,39998,89,TRADE,SELL
1108,40001,96,NEW_ORDER,BUY
1113,40003,88,CANCEL,SELL
1116,40001,81,NEW_ORDER,SELL
1120,40005,89,NEW_ORDER,BUY
1121,40006,83,TRADE,BUY
1126,40003,82,TRADE,SELL
1129,40001,91,CANCEL,BUY
1134,40000,560,TRADE,BUY
1139,39997,800,NEW_ORDER,BUY
1142,40001,94,TRADE,BUY
1146,40001,85,TRADE,SELL
1151,40004,95,TRADE,SELL
1153,40001,87,TRADE,BUY
1156,40006,99,TRADE,BUY
1159,40008,880,NEW_ORDER,BUY
1161,40013,84,TRADE,BUY
1162,40011,93,TRADE,SELL
1165,40015,96,NEW_ORDER,SELL
1167,40010,84,TRADE,BUY
1168,40015,81,NEW_ORDER,BUY
1169,40016,80,TRADE,BUY
1174,40014,95,CANCEL,BUY
1175,40019,97,TRADE,BUY
1176,40015,82,NEW_ORDER,BUY
1180,40011,98,CANCEL,BUY
1183,40016,480,CANCEL,SELL
1187,40017,82,NEW_ORDER,SELL
1188,40019,97,NEW_ORDER,SELL
1192,40023,85,CANCEL,BUY
1195,40022,88,TRADE,BUY
1196,40021,99,CANCEL,SELL
1201,40021,82,NEW_ORDER,BUY
1202,40018,95,TRADE,BUY
1204,40014,87,CANCEL,SELL
1208,40017,93,CANCEL,BUY
1213,40012,80,NEW_ORDER,SELL
1216,40015,88,TRADE,SELL
1221,40016,86,NEW_ORDER,SELL
1225,40018,99,TRADE,BUY
1227,40020,98,TRADE,BUY
1231,40015,98,TRADE,BUY
1233,40012,98,TRADE,BUY
1238,40013,93,NEW_ORDER,SELL
1242,40018,98,CANCEL,BUY
1243,40019,83,TRADE,BUY
1246,40018,84,NEW_ORDER,SELL
1249,40017,91,TRADE,SELL
1251,40020,85,TRADE,BUY
1253,40016,80,TRADE,BUY
1254,40013,91,NEW_ORDER,SELL
1255,40017,82,TRADE,BUY
1256,40017,480,NEW_ORDER,BUY
1258,40019,93,NEW_ORDER,BUY
1263,40015,84,CANCEL,SELL
1266,40020,960,TRADE,BUY
1268,40022,80,TRADE,BUY
1273,40023,89,TRADE,SELL
1278,40023,91,NEW_ORDER,SELL
1281,40019,99,CANCEL,SELL
1286,40016,96,TRADE,BUY
1287,40020,87,TRADE,SELL
1290,40018,81,TRADE,BUY
1294,40020,84,NEW_ORDER,BUY
1295,40018,81,CANCEL,BUY
1298,40015,91,TRADE,BUY
1302,40013,84,TRADE,BUY
1303,40010,81,CANCEL,BUY
1305,40009,98,TRADE,BUY
1310,40013,99,NEW_ORDER,BUY
1315,40015,94,NEW_ORDER,BUY
1320,40015,98,TRADE,BUY
1321,40014,90,NEW_ORDER,SELL
1323,40019,81,CANCEL,BUY
1327,40016,82,TRADE,BUY
1329,40017,88,TRADE,BUY
1332,40013,96,TRADE,BUY
1336,40010,82,CANCEL,BUY
1338,40007,92,TRADE,BUY
1339,40012,84,CANCEL,BUY
1341,40015,82,CANCEL,SELL
1342,40014,99,TRADE,BUY
1345,40010,86,NEW_ORDER,SELL
1350,40011,89,NEW_ORDER,SELL
1352,40011,92,CANCEL,BUY
1356,40015,81,NEW_ORDER,BUY
1359,40018,97,NEW_ORDER,BUY
1361,40016,94,TRADE,SELL
1364,40012,1120,TRADE,BUY
1367,40016,88,CANCEL,SELL
1369,40013,97,TRADE,BUY
1370,40014,99,CANCEL,SELL
1374,40012,84,TRADE,BUY
1375,40017,87,TRADE,BUY
1378,40012,83,CANCEL,SELL
1381,40009,81,NEW_ORDER,SELL
1382,40013,640,NEW_ORDER,BUY
1386,40017,93,NEW_ORDER,BUY
1387,40020,84,TRADE,BUY
1389,40020,81,NEW_ORDER,BUY
1393,40019,960,CANCEL,SELL
1395,40018,88,NEW_ORDER,BUY
1398,40014,92,NEW_ORDER,BUY
1403,40014,93,CANCEL,SELL
1404,40011,80,TRADE,BUY
1409,40011,81,TRADE,BUY
1414,40016,83,CANCEL,SELL
1418,40017,84,TRADE,BUY
1419,40013,96,NEW_ORDER,SELL
1423,40009,80,TRADE,BUY
1428,40009,94,TRADE,BUY
1429,40013,85,CANCEL,BUY
1433,40010,89,NEW_ORDER,BUY
1434,40013,93,NEW_ORDER,BUY
1435,40017,98,CANCEL,SELL
1439,40020,720,CANCEL,SELL
1441,40023,95,TRADE,BUY
1446,40026,95,CANCEL,SELL
1451,40027,81,TRADE,BUY
1452,40025,89,CANCEL,SELL
1456,40028,97,NEW_ORDER,SELL
1459,40026,81,CANCEL,BUY
1461,40029,94,NEW_ORDER,SELL
1463,40030,82,TRADE,BUY
1465,40030,97,NEW_ORDER,BUY
1466,40031,92,NEW_ORDER,SELL
1470,40035,82,TRADE,BUY
1474,40031,560,NEW_ORDER,BUY
1476,40032,93,TRADE,BUY
1478,40032,80,TRADE,BUY
1480,40035,640,NEW_ORDER,SELL
1484,40030,85,TRADE,BUY
1489,40032,87,CANCEL,SELL
1494,40031,98,CANCEL,SELL
1497,40028,560,TRADE,BUY
1498,40030,94,NEW_ORDER,BUY
1500,40027,88,NEW_ORDER,SELL
1503,40029,99,TRADE,BUY
1505,40027,97,TRADE,SELL
1506,40027,81,TRADE,BUY
1507,40027,95,TRADE,SELL
1509,40022,88,CANCEL,BUY
1511,40020,87,TRADE,BUY
1512,40015,90,NEW_ORDER,SELL
1516,40011,93,TRADE,BUY
1518,40006,90,CANCEL,BUY
1521,40006,85,NEW_ORDER,SELL
1522,40007,98,NEW_ORDER,BUY
1527,40008,86,CANCEL,BUY
1528,40008,86,TRADE,BUY
1532,40007,87,CANCEL,BUY
