timestamp,price,quantity,subtype,side
1003,40000,114,NEW_ORDER,BUY
1008,40001,800,CANCEL,BUY
1013,40002,110,TRADE,SELL
1018,40001,106,CANCEL,SELL
1019,40002,113,NEW_ORDER,SELL
1023,40001,108,TRADE,BUY
1027,40001,118,TRADE,SELL
1032,40000,108,NEW_ORDER,SELL
1035,39999,900,TRADE,BUY
1036,39999,112,CANCEL,BUY
1038,40000,100,NEW_ORDER,SELL
1043,40000,103,CANCEL,BUY
1045,40001,104,NEW_ORDER,BUY
1050,40000,111,TRADE,BUY
1055,39999,119,TRADE,SELL
1060,39999,116,NEW_ORDER,BUY
1061,39999,104,NEW_ORDER,SELL
1064,39999,102,NEW_ORDER,BUY
1066,39998,1300,NEW_ORDER,BUY
1071,39999,100,TRADE,SELL
1076,40000,107,TRADE,BUY
1077,40001,113,TRADE,SELL
1078,40001,800,CANCEL,SELL
1079,40001,111,NEW_ORDER,BUY
1084,40000,110,TRADE,SELL
1085,40001,100,TRADE,SELL
1087,40000,112,NEW_ORDER,SELL
1090,40000,119,TRADE,BUY
1091,39999,112,CANCEL,BUY
1092,39999,101,TRADE,SELL
1096,39999,113,TRADE,SELL
1097,39998,117,TRADE,BUY
1101,39998,600,NEW_ORDER,SELL
1103,39997,114,TRADE,BUY
1104,39997,113,NEW_ORDER,SELL
1107,39996,112,NEW_ORDER,SELL
1112,39997,107,TRADE,SELL
1116,39996,108,TRADE,BUY
1121,39995,101,NEW_ORDER,BUY
1122,39995,101,NEW_ORDER,SELL
1127,39994,600,TRADE,BUY
1128,39994,119,NEW_ORDER,BUY
1130,39994,104,TRADE,BUY
1135,39994,100,NEW_ORDER,BUY
1136,39995,700,CANCEL,SELL
1139,39994,101,NEW_ORDER,BUY
1142,39993,105,TRADE,BUY
1144,39993,118,TRADE,SELL
1146,39994,114,CANCEL,BUY
1147,39995,102,TRADE,SELL
1148,39994,113,NEW_ORDER,BUY
1153,39995,106,TRADE,SELL
1156,39995,102,TRADE,BUY
1159,39996,500,TRADE,BUY
1161,39995,109,NEW_ORDER,BUY
1165,39995,101,NEW_ORDER,BUY
1167,39995,105,TRADE,BUY
1171,39995,104,NEW_ORDER,SELL
1176,39996,115,CANCEL,BUY
1180,39996,107,TRADE,BUY
1185,39997,103,NEW_ORDER,SELL
1189,39997,104,TRADE,SELL
1190,39998,1400,CANCEL,BUY
1194,39998,101,NEW_ORDER,SELL
1198,39997,109,NEW_ORDER,BUY
1199,39998,115,TRADE,SELL
1204,39997,700,NEW_ORDER,SELL
1207,39998,104,NEW_ORDER,BUY
1208,39998,118,CANCEL,BUY
1213,39999,116,NEW_ORDER,BUY
1216,40000,114,NEW_ORDER,BUY
1220,39999,111,TRADE,BUY
1223,39999,110,TRADE,SELL
1226,39999,108,TRADE,SELL
1231,39999,113,CANCEL,BUY
1233,40000,107,CANCEL,SELL
1236,39999,102,TRADE,SELL
1239,40000,108,NEW_ORDER,BUY
1244,40000,111,TRADE,BUY
1246,40001,112,NEW_ORDER,SELL
1247,40000,100,CANCEL,BUY
1251,40000,118,NEW_ORDER,BUY
1255,40000,115,CANCEL,BUY
1259,40000,117,NEW_ORDER,SELL
1261,39999,111,CANCEL,SELL
1264,39999,101,TRADE,SELL
1268,39998,1100,NEW_ORDER,SELL
1269,39997,103,NEW_ORDER,BUY
1272,39998,108,NEW_ORDER,SELL
1277,39998,111,CANCEL,SELL
1279,39997,100,TRADE,SELL
1282,39997,101,CANCEL,BUY
1287,39996,1100,NEW_ORDER,BUY
1290,39997,115,CANCEL,BUY
1294,39997,107,CANCEL,BUY
1296,39996,117,TRADE,BUY
1298,39996,118,CANCEL,BUY
1301,39996,800,TRADE,SELL
1306,39996,117,TRADE,SELL
1310,39997,101,CANCEL,SELL
1315,39997,114,TRADE,SELL
1316,39998,106,NEW_ORDER,BUY
1321,39999,1000,CANCEL,BUY
1322,39999,103,CANCEL,BUY
1324,40000,101,NEW_ORDER,SELL
1327,40000,115,NEW_ORDER,BUY
1331,40001,111,NEW_ORDER,SELL
1335,40002,116,CANCEL,BUY
1339,40001,116,NEW_ORDER,BUY
1343,40001,105,TRADE,BUY
1345,40001,113,CANCEL,BUY
1347,40000,106,NEW_ORDER,SELL
1349,40001,109,NEW_ORDER,BUY
1353,40001,110,NEW_ORDER,BUY
1356,40000,118,TRADE,SELL
1361,40000,108,NEW_ORDER,SELL
1364,39999,110,NEW_ORDER,SELL
1366,39999,118,TRADE,BUY
1368,39999,115,TRADE,SELL
1369,39999,118,NEW_ORDER,BUY
1372,39999,104,TRADE,BUY
1374,39998,106,NEW_ORDER,BUY
1376,39999,109,NEW_ORDER,BUY
1381,40000,113,TRADE,BUY
1385,39999,107,NEW_ORDER,BUY
1386,39999,113,CANCEL,BUY
1391,39999,119,CANCEL,SELL
1392,39999,117,NEW_ORDER,SELL
1396,40000,1200,TRADE,SELL
1400,40001,114,NEW_ORDER,SELL
1403,40001,104,TRADE,BUY
1407,40000,109,TRADE,SELL
1410,40000,101,TRADE,BUY
1412,40001,110,TRADE,BUY
1415,40001,102,NEW_ORDER,BUY
1419,40002,103,TRADE,SELL
1422,40002,112,CANCEL,SELL
1426,40002,108,NEW_ORDER,BUY
1429,40003,115,NEW_ORDER,BUY
1432,40003,103,TRADE,BUY
1437,40002,119,NEW_ORDER,SELL
1438,40002,114,NEW_ORDER,BUY
1442,40002,108,NEW_ORDER,SELL
1447,40002,106,CANCEL,BUY
1448,40003,115,TRADE,BUY
1452,40002,104,CANCEL,SELL
1457,40003,104,TRADE,SELL
1458,40004,116,CANCEL,SELL
1460,40003,118,TRADE,BUY
1465,40003,100,TRADE,BUY
1469,40004,101,TRADE,SELL
1473,40003,106,NEW_ORDER,SELL
1478,40002,111,TRADE,BUY
1481,40002,106,TRADE,BUY
1483,40003,102,NEW_ORDER,SELL
1487,40002,116,NEW_ORDER,SELL
1489,40002,800,NEW_ORDER,SELL
1494,40002,115,TRADE,SELL
1498,40002,106,CANCEL,BUY
1502,40003,112,TRADE,BUY
1504,40002,118,TRADE,BUY
1509,40002,1000,NEW_ORDER,BUY
1513,40002,101,TRADE,BUY
1514,40001,104,TRADE,BUY
1515,40000,102,TRADE,SELL
1518,40001,118,CANCEL,SELL
1519,40000,101,CANCEL,BUY
1524,40001,106,CANCEL,SELL
1527,40001,117,TRADE,BUY
1529,40001,111,NEW_ORDER,SELL
1531,40001,600,TRADE,BUY
1532,40001,900,CANCEL,BUY
1535,40001,117,NEW_ORDER,SELL
1540,40002,113,CANCEL,SELL
1545,40001,114,NEW_ORDER,BUY
1548,40000,108,CANCEL,BUY
