timestamp,price,quantity,subtype,side
1003,40007,67,CANCEL,SELL
1004,40011,56,TRADE,SELL
1005,40001,59,TRADE,SELL
1007,39997,57,TRADE,SELL
1008,39994,56,CANCEL,SELL
1011,39999,67,NEW_ORDER,SELL
1012,40004,63,NEW_ORDER,BUY
1015,39999,68,NEW_ORDER,SELL
1016,39989,60,NEW_ORDER,SELL
1019,39990,63,CANCEL,SELL
1022,39985,59,TRADE,SELL
1024,39982,59,CANCEL,SELL
1025,39974,56,NEW_ORDER,SELL
1026,39969,66,CANCEL,BUY
1029,39977,61,TRADE,BUY
1032,39978,56,NEW_ORDER,SELL
1035,39969,53,NEW_ORDER,SELL
1038,39962,52,NEW_ORDER,SELL
1040,39969,59,CANCEL,BUY
1041,39969,600,NEW_ORDER,SELL
1042,39973,62,CANCEL,BUY
1043,39973,54,CANCEL,SELL
1044,39979,66,CANCEL,SELL
1045,39985,57,NEW_ORDER,SELL
1046,39987,67,CANCEL,SELL
1047,39997,51,TRADE,SELL
1049,39989,69,NEW_ORDER,BUY
1051,39986,250,CANCEL,BUY
1052,39992,55,NEW_ORDER,SELL
1054,39983,59,CANCEL,BUY
1055,39978,66,CANCEL,BUY
1056,39977,62,CANCEL,BUY
1059,39968,57,CANCEL,SELL
1060,39978,50,NEW_ORDER,BUY
1063,39971,57,NEW_ORDER,SELL
1064,39978,61,NEW_ORDER,SELL
1065,39969,56,NEW_ORDER,SELL
1067,39969,52,CANCEL,BUY
1070,39968,63,TRADE,SELL
1073,39965,57,TRADE,SELL
1074,39968,52,TRADE,BUY
1075,39974,58,TRADE,SELL
1077,39973,62,CANCEL,BUY
1080,39975,62,CANCEL,SELL
1083,39971,53,TRADE,SELL
1086,39981,56,CANCEL,SELL
1088,39986,65,TRADE,SELL
1091,39988,60,TRADE,SELL
1092,39988,50,CANCEL,SELL
1094,39979,62,TRADE,BUY
1097,39974,67,TRADE,SELL
1099,39967,54,TRADE,BUY
1100,39958,63,CANCEL,SELL
1102,39950,58,CANCEL,SELL
1104,39943,59,CANCEL,SELL
1105,39952,62,TRADE,BUY
1106,39958,59,CANCEL,SELL
1109,39949,65,NEW_ORDER,BUY
1111,39939,59,NEW_ORDER,BUY
1113,39948,50,CANCEL,SELL
1116,39947,57,CANCEL,SELL
1119,39940,69,CANCEL,SELL
1120,39931,54,TRADE,BUY
1123,39933,68,TRADE,SELL
1125,39935,55,TRADE,SELL
1126,39940,66,CANCEL,SELL
1127,39934,62,TRADE,BUY
1129,39933,63,NEW_ORDER,SELL
1130,39930,69,CANCEL,SELL
1131,39926,67,TRADE,BUY
1133,39928,51,TRADE,BUY
1135,39938,59,NEW_ORDER,BUY
1138,39941,68,TRADE,BUY
1140,39939,300,CANCEL,SELL
1143,39936,64,NEW_ORDER,BUY
1145,39944,64,NEW_ORDER,BUY
1146,39953,59,NEW_ORDER,SELL
1149,39959,65,TRADE,BUY
1152,39955,68,CANCEL,BUY
1153,39962,63,CANCEL,SELL
1154,39958,61,NEW_ORDER,SELL
1155,39952,60,CANCEL,BUY
1156,39945,67,CANCEL,BUY
1158,39940,62,NEW_ORDER,BUY
1160,39939,66,TRADE,BUY
1162,39935,54,NEW_ORDER,BUY
1165,39927,57,NEW_ORDER,BUY
1168,39923,55,NEW_ORDER,SELL
1169,39926,65,NEW_ORDER,SELL
1172,39935,52,TRADE,SELL
1174,39939,59,TRADE,BUY
1177,39930,52,NEW_ORDER,SELL
1179,39937,300,TRADE,BUY
1182,39930,69,TRADE,BUY
1184,39929,700,CANCEL,SELL
1187,39930,57,NEW_ORDER,SELL
1188,39922,55,NEW_ORDER,BUY
1189,39928,50,TRADE,SELL
1191,39938,58,NEW_ORDER,BUY
1193,39934,65,TRADE,SELL
1194,39938,69,TRADE,BUY
1195,39934,68,TRADE,BUY
1197,39936,63,NEW_ORDER,BUY
1199,39941,64,CANCEL,BUY
1202,39936,66,CANCEL,SELL
1205,39935,64,CANCEL,SELL
1206,39928,68,CANCEL,BUY
1208,39922,64,CANCEL,BUY
1209,39928,54,NEW_ORDER,BUY
1211,39919,51,CANCEL,BUY
1212,39914,64,NEW_ORDER,SELL
1214,39917,64,TRADE,BUY
1215,39918,67,NEW_ORDER,BUY
1218,39925,67,TRADE,SELL
1221,39933,69,NEW_ORDER,BUY
1224,39924,700,TRADE,SELL
1225,39933,59,NEW_ORDER,SELL
1227,39933,57,NEW_ORDER,SELL
1229,39937,67,NEW_ORDER,BUY
1230,39943,68,CANCEL,BUY
1233,39948,69,TRADE,SELL
1235,39949,66,TRADE,SELL
1237,39944,58,NEW_ORDER,SELL
1240,39951,64,CANCEL,BUY
1243,39958,52,CANCEL,SELL
1244,39950,58,TRADE,BUY
1245,39943,69,CANCEL,BUY
1248,39935,65,CANCEL,BUY
1251,39927,67,TRADE,BUY
1254,39924,68,NEW_ORDER,SELL
1255,39917,55,CANCEL,BUY
1257,39912,53,CANCEL,BUY
1260,39911,56,NEW_ORDER,BUY
1263,39916,54,NEW_ORDER,SELL
1265,39921,59,NEW_ORDER,SELL
1267,39920,59,TRADE,BUY
1268,39923,62,NEW_ORDER,BUY
1271,39928,56,TRADE,BUY
1274,39937,56,NEW_ORDER,BUY
1277,39937,65,NEW_ORDER,BUY
1280,39929,64,NEW_ORDER,SELL
1283,39929,500,CANCEL,SELL
1284,39926,51,NEW_ORDER,SELL
1286,39917,700,CANCEL,BUY
1289,39926,61,TRADE,BUY
1291,39927,58,CANCEL,SELL
1292,39931,54,NEW_ORDER,SELL
1295,39929,300,TRADE,BUY
1298,39934,52,TRADE,SELL
1300,39940,550,TRADE,SELL
1301,39950,53,CANCEL,BUY
1304,39955,55,NEW_ORDER,SELL
1307,39955,54,CANCEL,BUY
1309,39961,62,TRADE,SELL
1310,39953,63,NEW_ORDER,SELL
1313,39963,52,CANCEL,SELL
1316,39959,52,TRADE,BUY
1319,39969,450,TRADE,SELL
1321,39963,61,NEW_ORDER,SELL
1323,39965,400,TRADE,BUY
1324,39959,55,CANCEL,BUY
1325,39957,55,TRADE,BUY
1327,39957,52,NEW_ORDER,SELL
1329,39957,69,NEW_ORDER,SELL
1331,39961,58,NEW_ORDER,SELL
1332,39967,700,NEW_ORDER,SELL
1335,39958,64,NEW_ORDER,SELL
1337,39953,58,NEW_ORDER,BUY
1338,39957,51,CANCEL,BUY
1339,39965,52,TRADE,BUY
1341,39959,51,CANCEL,SELL
1343,39965,69,TRADE,SELL
1345,39968,52,TRADE,SELL
1347,39969,66,CANCEL,SELL
1349,39969,53,NEW_ORDER,SELL
1350,39965,51,CANCEL,SELL
1351,39965,52,TRADE,BUY
1352,39956,61,NEW_ORDER,SELL
1355,39946,50,TRADE,BUY
1357,39948,51,CANCEL,SELL
1358,39954,66,CANCEL,SELL
1361,39952,63,TRADE,BUY
1363,39958,54,NEW_ORDER,BUY
1364,39958,53,NEW_ORDER,BUY
1366,39964,56,TRADE,SELL
1369,39964,50,CANCEL,BUY
1370,39957,60,TRADE,SELL
1373,39955,69,TRADE,BUY
1374,39958,500,CANCEL,SELL
1376,39959,58,TRADE,BUY
1378,39962,50,TRADE,SELL
1380,39953,68,CANCEL,BUY
1381,39953,56,NEW_ORDER,SELL
1383,39944,61,TRADE,BUY
1384,39945,56,TRADE,BUY
1387,39949,52,CANCEL,BUY
1388,39958,64,NEW_ORDER,BUY
1389,39951,64,TRADE,BUY
1392,39955,57,NEW_ORDER,SELL
1395,39960,63,NEW_ORDER,BUY
