transition_level,s1_capacity_violations,s1_route_count_diff,s1_edge_preservation,s1_backbone_preservation,s1_signature_overlap,s1_partition_dist,ar,s2_dist,returned_to_same_region,retained_elite
L0,0,0,0.8889,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,1.0000,0.6286,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6286,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5429,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,1.0000,0.6286,1.0000,0,0.0000,797.4513,true,true
L0,0,0,1.0000,0.6286,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6286,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.7500,0.4857,0.8000,4,1.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5429,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,1.0000,0.6286,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.9444,0.5714,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.5429,1.0000,0,0.0000,797.4513,true,true
L0,0,0,0.8889,0.6000,1.0000,0,0.0000,797.4513,true,true
L0,0,0,1.0000,0.6286,1.0000,0,0.0000,797.4513,true,true
