source_type,s1_edge_preservation,s1_signature_overlap,s2_dist,returned_to_same_region,retained_elite,s2_region
Random,0.5000,0.2000,852.6407,false,false,16952525628524400689
Random,0.5278,0.6000,856.4714,false,false,14121654535233159811
Random,0.5556,0.6000,797.4513,true,true,10264966111433119558
Random,0.5000,0.6000,828.4438,false,false,14212206600410285634
Random,0.5556,0.6000,851.2710,false,false,7964524033956625804
Random,0.5000,0.2000,861.0784,false,false,8841375634277165895
Random,0.6389,0.6000,818.2542,false,false,6846163816978031843
Random,0.5556,0.4000,836.5180,false,false,15049044517108740980
Random,0.5833,0.6000,798.9434,false,true,678773149692492076
Random,0.5833,0.2000,817.1960,false,false,3331220801269000902
Random,0.7222,0.8000,817.9923,false,false,16150261068118086330
Random,0.6667,1.0000,820.7058,false,false,7079382817155203333
Random,0.5556,0.6000,801.8739,false,true,11824326250485796480
Random,0.5000,0.2000,852.1602,false,false,11845314315732010002
Random,0.5556,0.4000,835.4307,false,false,3444980119119542469
Random,0.6111,0.6000,810.5735,false,false,6307814058645704904
Random,0.5278,0.4000,961.3032,false,false,14580545434635595297
Random,0.5000,0.2000,797.8718,true,true,10264966111433119558
Random,0.5278,0.6000,856.0184,false,false,12254746053784347469
Random,0.5000,0.6000,854.7596,false,false,13582174528403163755
Random,0.5278,0.2000,835.8916,false,false,17374426709012510531
Random,0.5000,0.8000,837.0609,false,false,15419261188216186113
Random,0.5556,0.4000,834.8908,false,false,7890066185115132965
Random,0.6111,0.2000,867.6863,false,false,17562988846978086557
Random,0.5278,0.4000,836.0613,false,false,2098140014029165797
Random,0.5278,0.0000,879.3285,false,false,14081411150801573279
Random,0.5000,0.4000,810.5735,false,false,6307814058645704904
Random,0.5833,0.2000,869.6871,false,false,3256973775952857648
Random,0.5278,0.2000,824.2303,false,false,11610318588857558995
Random,0.5556,0.2000,900.0961,false,false,11063267629462955586
Random,0.5833,1.0000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,853.5571,false,false,4914164665015886268
Random,0.6111,0.6000,833.5579,false,false,6870317863420522503
Random,0.5000,0.0000,836.8092,false,false,2868724174853822375
Random,0.5278,0.4000,918.4160,false,false,13049046429570593443
Random,0.7222,0.8000,816.7236,false,false,10413644933670406191
Random,0.5278,0.4000,859.4221,false,false,8554856149371499393
Random,0.5833,0.6000,930.6795,false,false,17641053827231127894
Random,0.6111,0.6000,863.0293,false,false,15829072958627700921
Random,0.5000,0.4000,896.8525,false,false,14866215234179133332
Random,0.6111,0.4000,797.4513,true,true,10264966111433119558
Random,0.5000,0.4000,924.5877,false,false,3127774245805545345
Random,0.5278,0.8000,848.7337,false,false,16931771253703314024
Random,0.5000,0.8000,821.7963,true,false,10264966111433119558
Random,0.5833,0.8000,835.5793,false,false,10301435440714849646
Random,0.5000,0.2000,830.7646,false,false,571758398216659801
Random,0.5000,0.8000,821.6916,false,false,13225244327087722692
Random,0.5000,0.2000,807.6964,false,true,5398611078608603760
Random,0.5556,0.4000,930.6166,false,false,7751496617025731011
Random,0.5833,0.8000,832.5019,false,false,3559279076653412902
Random,0.6389,0.8000,858.4808,false,false,14978850344399431245
Random,0.5278,0.6000,882.3457,false,false,3298925902894381938
Random,0.5278,0.4000,797.4513,true,true,10264966111433119558
Random,0.5000,0.2000,844.2633,false,false,9089775441812460290
Random,0.6111,0.8000,863.1092,false,false,14610923310796027584
Random,0.5278,0.6000,1010.4484,false,false,12230166728223175007
Random,0.5556,0.2000,883.0574,false,false,611850527564860378
Random,0.5833,0.8000,844.9207,false,false,6206479068905647935
Random,0.5278,0.6000,1006.1129,false,false,10688529900519343380
Random,0.6111,1.0000,797.4513,true,true,10264966111433119558
Random,0.6111,0.6000,932.4345,false,false,18136416646497671175
Random,0.5833,0.6000,918.6862,false,false,17652277143257715325
Random,0.5556,0.6000,797.8718,true,true,10264966111433119558
Random,0.6111,0.8000,838.5093,false,false,17620561903727144107
Random,0.5000,0.2000,912.5282,false,false,10575832647697904011
Random,0.5278,0.4000,870.0507,false,false,440340437705764779
Random,0.5278,0.6000,797.4513,true,true,10264966111433119558
Random,0.5000,0.2000,887.2753,false,false,3024020859251932401
Random,0.5278,0.2000,798.9434,false,true,678773149692492076
Random,0.5000,0.4000,860.6637,false,false,110527096547028815
Random,0.5000,0.2000,890.6277,false,false,5086012194920011119
