source_type,s1_edge_preservation,preserved_subroutes,max_cluster_size,nn_pairs_preserved,backbone_preserved,s2_dist,elite_reconstruction
Random,0.5000,7,6,0.3182,0.4857,852.6407,0
Random,0.5278,5,7,0.2727,0.5143,856.4714,0
Random,0.5556,7,7,0.3182,0.5714,797.4513,1
Random,0.5000,7,7,0.2727,0.5143,828.4438,0
Random,0.5556,8,7,0.4091,0.5429,851.2710,0
Random,0.5000,4,8,0.2273,0.4857,861.0784,0
Random,0.6389,9,6,0.4091,0.6286,818.2542,0
Random,0.5556,8,6,0.3636,0.5429,836.5180,0
Random,0.5833,8,7,0.4091,0.5714,798.9434,1
Random,0.5833,8,6,0.3636,0.6000,817.1960,0
Random,0.7222,12,8,0.4091,0.7429,817.9923,0
Random,0.6667,7,8,0.2727,0.6571,820.7058,0
Random,0.5556,7,7,0.4091,0.5714,801.8739,1
Random,0.5000,5,6,0.2727,0.5143,852.1602,0
Random,0.5556,8,8,0.2273,0.5429,835.4307,0
Random,0.6111,10,7,0.4545,0.6000,810.5735,0
Random,0.5278,4,4,0.2727,0.5143,961.3032,0
Random,0.5000,6,6,0.3182,0.4857,797.8718,1
Random,0.5278,7,8,0.3182,0.5429,856.0184,0
Random,0.5000,5,6,0.2727,0.5143,854.7596,0
Random,0.5278,7,8,0.1364,0.5429,835.8916,0
Random,0.5000,7,7,0.4091,0.5143,837.0609,0
Random,0.5556,9,8,0.4091,0.5429,834.8908,0
Random,0.6111,10,8,0.4091,0.6286,867.6863,0
Random,0.5278,5,9,0.3636,0.5143,836.0613,0
Random,0.5278,6,6,0.2727,0.5143,879.3285,0
Random,0.5000,5,7,0.3182,0.5143,810.5735,0
Random,0.5833,8,8,0.3182,0.5714,869.6871,0
Random,0.5278,8,7,0.2273,0.5143,824.2303,0
Random,0.5556,10,8,0.3636,0.5429,900.0961,0
Random,0.5833,9,8,0.4091,0.5714,797.4513,1
Random,0.5000,7,8,0.4091,0.4857,853.5571,0
Random,0.6111,7,6,0.2727,0.6000,833.5579,0
Random,0.5000,7,6,0.2727,0.5143,836.8092,0
Random,0.5278,6,6,0.4091,0.5143,918.4160,0
Random,0.7222,12,7,0.4091,0.7143,816.7236,0
Random,0.5278,8,6,0.3636,0.5429,859.4221,0
Random,0.5833,9,8,0.4091,0.6000,930.6795,0
Random,0.6111,7,7,0.5455,0.6286,863.0293,0
Random,0.5000,7,9,0.1818,0.4857,896.8525,0
Random,0.6111,9,7,0.5000,0.6286,797.4513,1
Random,0.5000,7,9,0.3182,0.5143,924.5877,0
Random,0.5278,4,9,0.2273,0.5143,848.7337,0
Random,0.5000,2,7,0.1818,0.4857,821.7963,0
Random,0.5833,9,8,0.1818,0.5714,835.5793,0
Random,0.5000,6,6,0.3182,0.5143,830.7646,0
Random,0.5000,7,7,0.4091,0.5143,821.6916,0
Random,0.5000,5,7,0.2727,0.5143,807.6964,1
Random,0.5556,7,6,0.2727,0.5429,930.6166,0
Random,0.5833,7,7,0.3182,0.6000,832.5019,0
Random,0.6389,11,9,0.4091,0.6571,858.4808,0
Random,0.5278,7,8,0.1818,0.5143,882.3457,0
Random,0.5278,4,6,0.2727,0.5143,797.4513,1
Random,0.5000,6,7,0.2727,0.4857,844.2633,0
Random,0.6111,9,7,0.2727,0.6000,863.1092,0
Random,0.5278,4,6,0.2727,0.5429,1010.4484,0
Random,0.5556,7,8,0.2727,0.5429,883.0574,0
Random,0.5833,10,7,0.3182,0.5714,844.9207,0
Random,0.5278,7,9,0.3182,0.5143,1006.1129,0
Random,0.6111,8,8,0.3636,0.6000,797.4513,1
Random,0.6111,9,8,0.3182,0.6286,932.4345,0
Random,0.5833,7,7,0.2727,0.5714,918.6862,0
Random,0.5556,8,9,0.4091,0.5714,797.8718,1
Random,0.6111,7,7,0.3182,0.6286,838.5093,0
Random,0.5000,7,5,0.3182,0.5143,912.5282,0
Random,0.5278,8,7,0.2727,0.5429,870.0507,0
Random,0.5278,8,8,0.3636,0.5429,797.4513,1
Random,0.5000,6,7,0.2727,0.5143,887.2753,0
