source_type,s1_edge_preservation,backbone_broken,placebo_broken,s2_dist,target_basin_hash,elite_reconstruction
BackbonePreserver,0.7500,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.7222,0,6,835.7890,15168872374936398918,0
BackbonePreserver,0.6944,0,7,830.6709,11741168474939349512,0
BackbonePreserver,0.7500,0,6,857.9613,17715981148166012917,0
BackbonePreserver,0.6944,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,873.5621,7533423977027773218,0
BackbonePreserver,0.6944,0,7,827.5683,5868812619231253220,0
BackbonePreserver,0.7500,0,4,825.1397,11824326250485796480,0
BackbonePreserver,0.7222,0,8,797.8718,10264966111433119558,1
BackbonePreserver,0.6944,0,7,854.6170,2055257113323394818,0
BackbonePreserver,0.7500,0,5,816.2453,3030673687312833173,0
BackbonePreserver,0.6944,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,5,882.9100,1780495502382711778,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,8,839.5114,839022783260669411,0
BackbonePreserver,0.7500,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,6,860.0162,15938824652988399837,0
BackbonePreserver,0.6944,0,9,812.6236,10264966111433119558,0
BackbonePreserver,0.7222,0,6,835.0500,1317356837511439522,0
BackbonePreserver,0.7222,0,8,803.1277,4975891338178397411,1
BackbonePreserver,0.7500,0,6,804.0648,6063581546530241427,1
BackbonePreserver,0.7500,0,7,857.9613,17715981148166012917,0
BackbonePreserver,0.6667,0,8,843.6596,16245451004235103964,0
BackbonePreserver,0.7222,0,6,837.8491,193405139626264173,0
BackbonePreserver,0.6944,0,7,804.0648,6063581546530241427,1
BackbonePreserver,0.6111,0,9,841.5376,5701002571204421196,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,825.1397,11824326250485796480,0
BackbonePreserver,0.6667,0,7,817.8002,12333060991338731011,0
BackbonePreserver,0.7222,0,5,823.4085,9982274638534093346,0
BackbonePreserver,0.7500,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,8,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,827.1920,9737337230250925581,0
BackbonePreserver,0.7222,0,6,864.3078,14223905124652714034,0
BackbonePreserver,0.7500,0,5,825.1397,11824326250485796480,0
BackbonePreserver,0.6667,0,8,853.6062,17263732020192857115,0
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,8,797.8718,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,834.3771,17491741963748787141,0
BackbonePreserver,0.6944,0,7,846.6440,10193339775716985021,0
BackbonePreserver,0.7500,0,6,854.0470,17157525900557493306,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6944,0,7,887.1941,15958421369742875667,0
BackbonePreserver,0.7500,0,7,862.8761,15065234351120479207,0
BackbonePreserver,0.7500,0,7,797.8718,10264966111433119558,1
BackbonePreserver,0.6944,0,6,924.4026,3810299793486396702,0
BackbonePreserver,0.7222,0,8,826.6984,167170242380040613,0
BackbonePreserver,0.7222,0,7,865.9467,4544833033373672803,0
BackbonePreserver,0.7222,0,6,897.7793,10959697489289410555,0
BackbonePreserver,0.7222,0,7,820.2431,16549365021343471878,0
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,4,825.1397,11824326250485796480,0
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,860.0162,15938824652988399837,0
BackbonePreserver,0.7500,0,6,819.5007,13225244327087722692,0
BackbonePreserver,0.6667,0,8,815.1484,11824326250485796480,0
BackbonePreserver,0.7500,0,6,858.9745,15428664137859285929,0
BackbonePreserver,0.7500,0,5,831.2968,12762674374604614736,0
BackbonePreserver,0.7222,0,6,828.8892,167170242380040613,0
BackbonePreserver,0.6944,0,7,898.9213,18375761016356573889,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,811.3003,4711019678756631762,0
BackbonePreserver,0.7500,0,9,826.0082,5397702475199642,0
BackbonePreserver,0.7222,0,9,812.2031,10264966111433119558,0
BackbonePreserver,0.6944,0,8,820.9992,16153310431873527193,0
BackbonePreserver,0.7222,0,7,847.2309,8794016877492878032,0
BackbonePreserver,0.6944,0,7,801.8739,11824326250485796480,1
BackbonePreserver,0.6389,0,9,813.6952,678773149692492076,0
BackbonePreserver,0.7500,0,7,862.8761,15065234351120479207,0
BackbonePreserver,0.7222,0,6,806.7850,7019505870457465348,1
BackbonePreserver,0.6944,0,6,797.8718,10264966111433119558,1
BackbonePreserver,0.6944,0,6,801.8739,11824326250485796480,1
BackbonePreserver,0.7500,0,6,875.3943,10077665869057763774,0
BackbonePreserver,0.7222,0,6,911.5608,4304857147611416496,0
BackbonePreserver,0.6667,0,9,835.0500,1317356837511439522,0
BackbonePreserver,0.7500,0,5,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.6667,0,8,797.8718,10264966111433119558,1
BackbonePreserver,0.6944,0,6,804.7916,8518770641127047337,1
BackbonePreserver,0.7500,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7222,0,7,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,841.0370,17811921967933490631,0
BackbonePreserver,0.7222,0,4,803.7866,199200466592558314,1
BackbonePreserver,0.7222,0,6,828.7001,10121627615558797951,0
BackbonePreserver,0.7500,0,6,797.4513,10264966111433119558,1
BackbonePreserver,0.7500,0,7,804.0648,6063581546530241427,1
BackbonePreserver,0.6667,0,9,821.1781,15276371457772871461,0
