solver,basin_hash,distance,edges,triplets
Random,11163742066561700682,836.0130,1-25|23-25|10-23|10-19|9-19|9-12|5-12|5-29|1-29|1-21|6-21|6-26|11-26|11-16|16-30|28-30|1-28|1-13|8-13|3-8|3-4|4-24|7-24|7-15|1-15|1-2|2-22|22-32|20-32|18-20|14-18|1-14|1-31|17-31|17-27|1-27,1-25-23|10-23-25|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|1-29-5|1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|16-30-28|1-28-30|1-13-8|3-8-13|4-3-8|3-4-24|4-24-7|15-7-24|1-15-7|1-2-22|2-22-32|20-32-22|18-20-32|14-18-20|1-14-18|1-31-17|27-17-31|1-27-17
Random,2805069415436754382,874.9088,1-27|8-27|8-14|3-14|3-4|4-24|24-29|9-29|9-19|15-19|1-15|1-7|5-7|5-12|10-12|10-23|16-23|16-30|1-30|1-31|18-31|18-20|20-32|22-32|2-22|1-2|1-25|25-28|11-28|11-26|6-26|6-21|1-21|1-17|13-17|1-13,1-27-8|14-8-27|3-14-8|4-3-14|3-4-24|4-24-29|9-29-24|19-9-29|9-19-15|1-15-19|1-7-5|7-5-12|5-12-10|12-10-23|10-23-16|23-16-30|1-30-16|1-31-18|20-18-31|18-20-32|20-32-22|2-22-32|1-2-22|1-25-28|11-28-25|26-11-28|6-26-11|21-6-26|1-21-6|1-17-13|1-13-17
Random,4711019678756631762,811.3003,1-30|12-30|5-12|5-29|24-29|3-24|3-4|4-7|1-7|1-21|6-21|6-26|11-26|11-16|16-23|10-23|9-10|9-19|15-19|1-15|1-22|22-32|20-32|18-20|14-18|8-14|1-8|1-31|13-31|2-13|2-17|17-27|25-27|1-25|1-28|1-28,1-30-12|5-12-30|12-5-29|5-29-24|3-24-29|4-3-24|3-4-7|1-7-4|1-21-6|21-6-26|6-26-11|16-11-26|11-16-23|10-23-16|9-10-23|10-9-19|9-19-15|1-15-19|1-22-32|20-32-22|18-20-32|14-18-20|8-14-18|1-8-14|1-31-13|2-13-31|13-2-17|2-17-27|17-27-25|1-25-27|1-28-1
Random,3328759213628106387,841.0873,1-27|4-27|3-4|3-14|8-14|8-17|13-17|1-13|1-7|7-24|24-29|5-29|5-12|9-12|9-19|10-19|10-23|15-23|1-15|1-2|2-22|22-32|20-32|18-20|18-31|1-31|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-25|1-25,1-27-4|3-4-27|4-3-14|3-14-8|14-8-17|8-17-13|1-13-17|1-7-24|7-24-29|5-29-24|12-5-29|5-12-9|12-9-19|9-19-10|19-10-23|10-23-15|1-15-23|1-2-22|2-22-32|20-32-22|18-20-32|20-18-31|1-31-18|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-25-1
Random,8338099901354461214,875.1107,1-27|8-27|7-8|7-29|5-29|5-12|10-12|10-23|1-23|1-21|6-21|6-26|11-26|11-16|16-30|15-30|15-25|1-25|1-28|19-28|9-19|9-24|4-24|3-4|3-17|17-31|1-31|1-14|14-18|18-20|20-32|22-32|2-22|1-2|1-13|1-13,1-27-8|7-8-27|8-7-29|5-29-7|12-5-29|5-12-10|12-10-23|1-23-10|1-21-6|21-6-26|6-26-11|16-11-26|11-16-30|15-30-16|25-15-30|1-25-15|1-28-19|9-19-28|19-9-24|4-24-9|3-4-24|4-3-17|3-17-31|1-31-17|1-14-18|14-18-20|18-20-32|20-32-22|2-22-32|1-2-22|1-13-1
Random,4929379495888744166,891.2844,1-21|21-30|23-30|10-23|10-12|5-12|5-15|15-25|1-25|1-22|22-32|20-32|18-20|14-18|14-27|1-27|1-28|19-28|9-19|9-29|24-29|3-24|3-4|4-7|1-7|1-31|17-31|8-17|2-8|2-13|1-13|1-16|11-16|11-26|6-26|1-6,1-21-30|21-30-23|10-23-30|12-10-23|5-12-10|12-5-15|5-15-25|1-25-15|1-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-28-19|9-19-28|19-9-29|9-29-24|3-24-29|4-3-24|3-4-7|1-7-4|1-31-17|8-17-31|2-8-17|8-2-13|1-13-2|1-16-11|16-11-26|6-26-11|1-6-26
Random,2560126505731505788,837.5388,1-15|15-23|10-23|10-19|9-19|9-12|5-12|5-29|7-29|1-7|1-28|28-30|16-30|11-16|11-26|6-26|6-21|1-21|1-25|24-25|4-24|3-4|2-3|2-13|1-13|1-27|8-27|8-14|14-18|18-20|20-32|22-32|1-22|1-17|17-31|1-31,1-15-23|10-23-15|19-10-23|9-19-10|12-9-19|5-12-9|12-5-29|5-29-7|1-7-29|1-28-30|16-30-28|11-16-30|16-11-26|6-26-11|21-6-26|1-21-6|1-25-24|4-24-25|3-4-24|2-3-4|3-2-13|1-13-2|1-27-8|14-8-27|8-14-18|14-18-20|18-20-32|20-32-22|1-22-32|1-17-31|1-31-17
Random,11824326250485796480,801.8739,1-15|15-29|12-29|5-12|5-24|3-24|3-4|4-7|1-7|1-21|6-21|6-26|11-26|11-30|16-30|16-23|10-23|9-10|9-19|1-19|1-22|22-32|20-32|18-20|14-18|14-27|1-27|1-13|2-13|2-8|8-17|17-31|1-31|1-28|25-28|1-25,1-15-29|12-29-15|5-12-29|12-5-24|3-24-5|4-3-24|3-4-7|1-7-4|1-21-6|21-6-26|6-26-11|26-11-30|11-30-16|23-16-30|10-23-16|9-10-23|10-9-19|1-19-9|1-22-32|20-32-22|18-20-32|14-18-20|18-14-27|1-27-14|1-13-2|8-2-13|2-8-17|8-17-31|1-31-17|1-28-25|1-25-28
Random,15227759148520573292,834.1017,1-21|6-21|6-26|11-26|11-16|10-16|10-23|23-30|1-30|1-2|2-22|22-32|20-32|18-20|18-31|1-31|1-28|25-28|15-25|7-15|7-14|8-14|8-27|1-27|1-3|3-4|4-24|24-29|5-29|5-12|9-12|9-19|1-19|1-17|13-17|1-13,1-21-6|21-6-26|6-26-11|16-11-26|10-16-11|16-10-23|10-23-30|1-30-23|1-2-22|2-22-32|20-32-22|18-20-32|20-18-31|1-31-18|1-28-25|15-25-28|7-15-25|14-7-15|7-14-8|14-8-27|1-27-8|1-3-4|3-4-24|4-24-29|5-29-24|12-5-29|5-12-9|12-9-19|1-19-9|1-17-13|1-13-17
Random,11142251224206617120,930.8610,1-30|10-30|10-12|5-12|5-29|14-29|8-14|8-27|1-27|1-6|6-26|11-26|11-16|16-23|9-23|9-19|15-19|15-25|1-25|1-17|17-22|22-32|20-32|18-20|18-31|1-31|1-13|2-13|2-3|3-4|4-24|7-24|1-7|1-28|21-28|1-21,1-30-10|12-10-30|5-12-10|12-5-29|5-29-14|8-14-29|14-8-27|1-27-8|1-6-26|6-26-11|16-11-26|11-16-23|9-23-16|19-9-23|9-19-15|19-15-25|1-25-15|1-17-22|17-22-32|20-32-22|18-20-32|20-18-31|1-31-18|1-13-2|3-2-13|2-3-4|3-4-24|4-24-7|1-7-24|1-28-21|1-21-28
