Generation,ArchiveSize,BestINRC,MeanNN,CentroidSpread,SelectionEntropy,DeltaDist
1,2,61050.0,1.4142,0.7071,0.0000,0.0
1000,60,56220.0,0.0559,0.4822,5.0436,-4830.0
2000,97,53310.0,0.0380,0.3857,6.0965,-2910.0
3000,118,51750.0,0.0379,0.3948,6.3901,-1560.0
4000,118,50550.0,0.0355,0.3817,6.4049,-1200.0
5000,152,48900.0,0.0265,0.3561,6.6800,-1650.0
6000,131,48420.0,0.0301,0.3786,6.6038,-480.0
7000,138,47070.0,0.0324,0.3747,6.7232,-1350.0
8000,131,46260.0,0.0285,0.3773,6.4634,-810.0
9000,151,45660.0,0.0221,0.3859,6.5683,-600.0
10000,197,44700.0,0.0204,0.3438,7.0279,-960.0
11000,203,44070.0,0.0192,0.3584,7.1190,-630.0
12000,173,43470.0,0.0204,0.3889,6.8452,-600.0
13000,170,43080.0,0.0196,0.3406,6.6681,-390.0
14000,201,41850.0,0.0155,0.3593,6.9687,-1230.0
15000,224,41190.0,0.0166,0.3793,7.2735,-660.0
16000,218,41040.0,0.0181,0.3581,7.1908,-150.0
17000,201,40440.0,0.0184,0.3714,7.2391,-600.0
18000,185,39900.0,0.0186,0.3784,7.0723,-540.0
19000,222,39480.0,0.0173,0.3852,7.2899,-420.0
20000,234,39240.0,0.0179,0.4013,7.3664,-240.0
21000,280,39120.0,0.0145,0.3787,7.3602,-120.0
22000,256,38520.0,0.0144,0.3515,7.3366,-600.0
23000,244,37920.0,0.0166,0.3504,7.3035,-600.0
24000,254,37500.0,0.0143,0.3618,7.3425,-420.0
25000,240,37290.0,0.0150,0.3955,7.1984,-210.0
