UID,Selections,Admissions,Productivity,Novelty,Quality,AvgSAGain,Age,BasinYield,BestDescINRC
2078,1,0,0.0000,0.0888,1.3200,0.0000,14841.0,0.0000,inf
187,1,1,1.0000,0.2604,1.0929,-90.0001,24634.0,90.0000,50730.0
2765,5,0,0.0000,0.1618,1.4108,0.0000,8969.0,0.0000,inf
3281,10,2,0.2000,0.1787,1.2220,510.0000,4677.0,102.0000,48450.0
3302,4,1,0.2500,0.1834,1.2460,90.0000,4492.0,22.5000,34200.0
2431,8,0,0.0000,0.1667,1.0707,0.0000,12041.0,0.0000,inf
3426,3,1,0.3333,0.1529,1.3241,420.0001,3104.0,240.0000,37380.0
1058,18,3,0.1667,0.1687,1.3806,320.0000,21659.0,73.3333,44910.0
3054,16,5,0.3125,0.1295,1.5595,65.9999,6601.0,71.2500,36060.0
1216,6,2,0.3333,0.1934,1.5110,464.9999,20774.0,145.0000,41640.0
205,1,1,1.0000,0.1608,0.9102,120.0000,24605.0,270.0000,44640.0
3408,2,0,0.0000,0.1358,1.5697,0.0000,3244.0,0.0000,inf
699,33,11,0.3333,0.1660,1.3445,684.5454,23157.0,204.5455,45480.0
3133,2,0,0.0000,0.1024,1.4745,0.0000,5931.0,0.0000,inf
2698,15,1,0.0667,0.1558,1.1413,-59.9996,9524.0,0.0000,33150.0
2956,2,2,1.0000,0.1283,1.3691,105.0000,7380.0,165.0000,39390.0
906,4,1,0.2500,0.1605,1.3692,690.0000,22375.0,172.5000,44790.0
3061,4,1,0.2500,0.1680,1.4133,900.0000,6503.0,232.5000,39480.0
1219,1,0,0.0000,0.1610,1.3958,0.0000,20754.0,0.0000,inf
1666,2,0,0.0000,0.1664,1.1238,0.0000,17963.0,0.0000,inf
3375,2,0,0.0000,0.1890,1.4217,0.0000,3576.0,0.0000,inf
2368,6,2,0.3333,0.1892,1.2453,-435.0000,12691.0,0.0000,35670.0
1607,1,0,0.0000,0.2277,1.1277,0.0000,18299.0,0.0000,inf
2818,9,1,0.1111,0.1498,1.5239,749.9999,8566.0,100.0000,37050.0
2712,4,0,0.0000,0.1490,1.4682,0.0000,9418.0,0.0000,inf
387,2,0,0.0000,0.2519,1.1326,0.0000,24154.0,0.0000,inf
3450,1,0,0.0000,0.1789,1.4278,0.0000,2786.0,0.0000,inf
2337,6,1,0.1667,0.1238,1.1086,-119.9998,12906.0,0.0000,36120.0
2876,8,1,0.1250,0.1101,1.1282,30.0000,8108.0,0.0000,38130.0
1788,5,2,0.4000,0.3056,1.0678,344.9999,16948.0,150.0000,36030.0
2975,11,1,0.0909,0.1129,1.3100,-90.0000,7168.0,0.0000,33720.0
1005,18,8,0.4444,0.1213,1.5437,30.0000,21912.0,96.6667,40080.0
841,2,2,1.0000,0.2118,1.0513,195.0000,22623.0,195.0000,38280.0
1835,4,0,0.0000,0.1729,1.3338,0.0000,16637.0,0.0000,inf
1988,5,2,0.4000,0.1695,1.3832,-105.0000,15565.0,0.0000,37110.0
2369,2,0,0.0000,0.0690,1.4419,0.0000,12688.0,0.0000,inf
628,5,3,0.6000,0.2375,1.0159,849.9999,23444.0,534.0000,40140.0
534,1,0,0.0000,0.1534,1.3850,0.0000,23701.0,0.0000,inf
619,2,1,0.5000,0.1743,1.2849,540.0000,23465.0,435.0000,49410.0
883,5,1,0.2000,0.2094,1.2007,239.9998,22470.0,30.0000,39990.0
1434,2,0,0.0000,0.1475,1.4148,0.0000,19471.0,0.0000,inf
2716,1,0,0.0000,0.1430,1.2527,0.0000,9366.0,0.0000,inf
2746,6,2,0.3333,0.1588,1.3265,149.9999,9094.0,80.0000,37320.0
648,2,1,0.5000,0.2065,1.1485,870.0000,23367.0,450.0000,40920.0
585,1,1,1.0000,0.1012,1.1055,270.0000,23550.0,390.0000,41370.0
72,5,4,0.8000,0.1572,1.1677,667.5000,24880.0,642.0000,53940.0
1518,2,1,0.5000,0.1238,1.4632,-0.0001,18901.0,60.0000,37980.0
2617,5,0,0.0000,0.1209,1.3537,0.0000,10351.0,0.0000,inf
1411,4,1,0.2500,0.1157,1.1128,600.0000,19658.0,127.5000,51360.0
2978,13,2,0.1538,0.2262,0.9454,165.0000,7128.0,46.1538,32040.0
2491,8,1,0.1250,0.1250,1.2806,90.0000,11585.0,0.0000,38220.0
3034,4,0,0.0000,0.1933,0.9240,0.0000,6760.0,0.0000,inf
270,2,1,0.5000,0.2213,1.3189,-480.0000,24484.0,0.0000,47430.0
3660,5,0,0.0000,0.1558,1.3574,0.0000,784.0,0.0000,inf
217,1,1,1.0000,0.3801,1.2068,629.9999,24584.0,510.0000,48330.0
3441,4,2,0.5000,0.1623,1.3954,705.0000,2843.0,337.5000,38730.0
3148,6,0,0.0000,0.1696,1.4535,0.0000,5748.0,0.0000,inf
339,11,5,0.4545,0.1510,1.3138,612.0000,24333.0,305.4545,47640.0
2683,13,0,0.0000,0.1425,1.2898,0.0000,9641.0,0.0000,inf
1903,4,0,0.0000,0.1552,0.9756,0.0000,16178.0,0.0000,inf
3306,6,1,0.1667,0.1590,1.4221,630.0000,4442.0,125.0000,37830.0
3226,1,0,0.0000,0.2018,1.4160,0.0000,5109.0,0.0000,inf
733,16,6,0.3750,0.2035,1.4580,360.0000,23022.0,135.0000,42720.0
2370,6,1,0.1667,0.1520,1.5221,-60.0000,12685.0,0.0000,40140.0
3555,5,0,0.0000,0.1674,1.0445,0.0000,1861.0,0.0000,inf
322,112,9,0.0804,0.1654,0.9605,1290.0000,24368.0,113.5714,57180.0
1435,7,1,0.1429,0.2285,1.3395,449.9997,19462.0,51.4286,37320.0
3468,14,0,0.0000,0.2378,1.3428,0.0000,2629.0,0.0000,inf
3655,1,0,0.0000,0.1172,1.3477,0.0000,822.0,0.0000,inf
1814,3,1,0.3333,0.1146,1.2229,840.0000,16778.0,320.0000,40260.0
587,2,1,0.5000,0.1205,1.3403,-510.0000,23545.0,0.0000,43830.0
2649,16,7,0.4375,0.0748,1.5079,257.1427,10023.0,146.2500,37800.0
1723,9,2,0.2222,0.2334,1.0118,-330.0000,17543.0,3.3333,37020.0
3242,10,2,0.2000,0.1139,1.2622,-90.0002,4968.0,39.0000,32820.0
1469,5,2,0.4000,0.1059,1.5498,690.0000,19269.0,324.0000,40110.0
2517,9,0,0.0000,0.1476,1.0012,0.0000,11285.0,0.0000,inf
533,1,0,0.0000,0.2345,1.3120,0.0000,23707.0,0.0000,inf
882,3,1,0.3333,0.1752,1.0679,-539.9999,22472.0,0.0000,40320.0
1856,2,2,1.0000,0.1558,1.2922,359.9999,16503.0,465.0000,35790.0
3263,6,2,0.3333,0.2421,0.9130,-104.9998,4834.0,0.0000,30780.0
359,1,0,0.0000,0.1861,1.1984,0.0000,24268.0,0.0000,inf
