UID,Selections,Admissions,Productivity,Novelty,Quality,AvgSAGain,Age,BasinYield,BestDescINRC
4322,16,4,0.2500,0.1130,1.2742,-292.5000,4408.0,11.2500,31470.0
4381,5,0,0.0000,0.1432,1.5445,0.0000,3873.0,0.0000,inf
758,2,1,0.5000,0.4165,0.9125,300.0001,23207.0,225.0000,36690.0
1626,7,1,0.1429,0.0432,1.0285,1470.0000,20531.0,222.8571,46320.0
1417,2,2,1.0000,0.1965,1.0687,134.9999,21199.0,195.0000,34560.0
155,4,1,0.2500,0.1648,0.9667,810.0000,24675.0,240.0000,58140.0
4404,13,4,0.3077,0.1399,1.5088,67.5001,3660.0,73.8462,36000.0
2281,3,1,0.3333,0.1168,0.9493,-60.0000,17939.0,20.0000,31650.0
467,8,1,0.1250,0.1283,1.1298,-360.0000,23919.0,0.0000,45210.0
1592,4,0,0.0000,0.1106,1.0240,0.0000,20639.0,0.0000,inf
2779,36,2,0.0556,0.1166,0.9889,1740.0000,15327.0,112.5000,54690.0
3163,23,4,0.1739,0.1259,1.3608,-52.4999,13052.0,28.6957,34500.0
929,4,2,0.5000,0.1428,1.1105,-300.0000,22713.0,112.5000,37500.0
2366,4,0,0.0000,0.1182,1.2320,0.0000,17602.0,0.0000,inf
297,6,2,0.3333,0.1312,1.3140,330.0000,24318.0,160.0000,46050.0
1241,5,2,0.4000,0.1071,1.2007,-299.9998,21769.0,0.0000,37020.0
2745,4,0,0.0000,0.1001,1.2829,0.0000,15580.0,0.0000,inf
795,15,5,0.3333,0.1175,1.2094,485.9999,23107.0,230.0000,47400.0
4317,3,0,0.0000,0.1287,1.5448,0.0000,4425.0,0.0000,inf
2947,2,1,0.5000,0.1427,1.4672,419.9998,14338.0,210.0000,36810.0
2511,2,0,0.0000,0.1352,1.3620,0.0000,16886.0,0.0000,inf
521,2,2,1.0000,0.1627,1.2126,224.9999,23798.0,420.0000,40770.0
2121,7,1,0.1429,0.0576,1.2675,-150.0000,18708.0,4.2857,35880.0
2816,14,3,0.2143,0.1217,1.4875,329.9998,15118.0,98.5714,34050.0
2426,15,3,0.2000,0.1530,1.3367,9.9999,17303.0,54.0000,36420.0
4088,7,2,0.2857,0.1706,1.4664,-315.0001,6325.0,8.5714,31890.0
3986,7,1,0.1429,0.1488,1.2802,-389.9998,7089.0,0.0000,32760.0
2637,77,6,0.0779,0.3966,0.9141,640.0000,16193.0,61.5584,49800.0
3682,15,2,0.1333,0.0526,1.5104,-330.0000,9377.0,4.0000,36570.0
817,5,2,0.4000,0.1240,1.2375,540.0000,23060.0,276.0000,47730.0
1146,1,0,0.0000,0.0996,1.1177,0.0000,22053.0,0.0000,inf
2355,2,0,0.0000,0.1877,1.2937,0.0000,17646.0,0.0000,inf
3203,7,1,0.1429,0.1579,1.5270,-419.9999,12782.0,0.0000,38340.0
170,1,1,1.0000,0.2966,0.9729,1140.0000,24638.0,1470.0000,44850.0
1164,2,0,0.0000,0.2157,1.1711,0.0000,22005.0,0.0000,inf
2396,7,0,0.0000,0.1756,1.3555,0.0000,17427.0,0.0000,inf
4156,5,0,0.0000,0.1696,0.9490,0.0000,5772.0,0.0000,inf
2119,3,1,0.3333,0.1855,1.0574,509.9998,18735.0,200.0000,36030.0
2075,37,0,0.0000,0.2052,0.9221,0.0000,18912.0,0.0000,inf
2394,3,0,0.0000,0.1448,1.4178,0.0000,17440.0,0.0000,inf
204,2,1,0.5000,0.1412,1.2491,-150.0000,24535.0,0.0000,49350.0
2200,2,0,0.0000,0.1785,0.9840,0.0000,18343.0,0.0000,inf
2456,8,1,0.1250,0.0946,1.4713,60.0000,17172.0,15.0000,38190.0
2785,3,0,0.0000,0.0625,1.5257,0.0000,15281.0,0.0000,inf
31,1,0,0.0000,0.2840,1.0686,0.0000,24950.0,0.0000,inf
162,12,4,0.3333,0.2252,1.0269,817.5000,24658.0,340.0000,51480.0
437,1,0,0.0000,0.1224,1.2673,0.0000,23973.0,0.0000,inf
3204,5,1,0.2000,0.0939,1.5048,-149.9998,12768.0,0.0000,35910.0
3233,1,0,0.0000,0.1109,1.4876,0.0000,12563.0,0.0000,inf
219,4,2,0.5000,0.1333,1.3601,165.0000,24501.0,112.5000,46770.0
2762,7,1,0.1429,0.1885,1.0353,210.0000,15470.0,68.5714,51720.0
4703,3,2,0.6667,0.2011,1.6768,329.9999,1056.0,300.0000,34860.0
3592,17,4,0.2353,0.1398,1.3595,-225.0001,10007.0,37.0588,32640.0
1573,3,1,0.3333,0.1637,0.9477,-30.0001,20687.0,20.0000,32970.0
1774,1,0,0.0000,0.1651,1.4069,0.0000,19998.0,0.0000,inf
2701,16,0,0.0000,0.2624,0.9998,0.0000,15783.0,0.0000,inf
1911,21,1,0.0476,0.1097,1.4011,-29.9999,19488.0,11.4286,43320.0
1529,2,2,1.0000,0.2257,1.0796,195.0000,20832.0,300.0000,34200.0
4013,23,5,0.2174,0.1626,1.3664,77.9999,6882.0,48.2609,33270.0
1839,2,1,0.5000,0.3507,0.9018,870.0005,19714.0,525.0000,31350.0
3794,3,0,0.0000,0.1104,1.2687,0.0000,8534.0,0.0000,inf
975,4,1,0.2500,0.1447,1.3086,-509.9998,22564.0,0.0000,42360.0
741,1,0,0.0000,0.2583,1.0691,0.0000,23250.0,0.0000,inf
1064,12,4,0.3333,0.1989,1.1245,157.4998,22283.0,122.5000,36780.0
4232,10,6,0.6000,0.1269,1.1748,-254.9999,5233.0,33.0000,29010.0
1969,3,0,0.0000,0.2071,1.1204,0.0000,19261.0,0.0000,inf
911,3,2,0.6667,0.1136,1.1843,300.0000,22754.0,300.0000,40320.0
1414,28,14,0.5000,0.1180,1.4271,239.9999,21209.0,217.5000,41550.0
798,2,1,0.5000,0.2453,1.2069,569.9998,23097.0,300.0000,38610.0
2048,1,1,1.0000,0.1406,1.3743,240.0000,18985.0,270.0000,37770.0
2885,1,1,1.0000,0.1388,1.4432,690.0000,14737.0,840.0000,42390.0
3070,1,0,0.0000,0.1581,1.4790,0.0000,13611.0,0.0000,inf
2870,4,2,0.5000,0.1635,1.3713,59.9996,14804.0,127.5000,33090.0
3796,6,1,0.1667,0.1537,1.4785,480.0000,8506.0,100.0000,35700.0
653,1,0,0.0000,0.2364,0.9075,0.0000,23486.0,0.0000,inf
2137,1,0,0.0000,0.1586,1.5017,0.0000,18632.0,0.0000,inf
3975,7,0,0.0000,0.0683,1.4621,0.0000,7181.0,0.0000,inf
4618,3,0,0.0000,0.0877,1.2557,0.0000,1775.0,0.0000,inf
2598,7,3,0.4286,0.1724,1.4931,-380.0001,16425.0,0.0000,37590.0
1012,1,0,0.0000,0.2040,1.0976,0.0000,22440.0,0.0000,inf
4430,2,1,0.5000,0.1990,1.2335,-89.9999,3454.0,0.0000,33240.0
3812,29,5,0.1724,0.0926,1.3966,-354.0000,8390.0,2.0690,31740.0
2227,2,0,0.0000,0.1839,1.4724,0.0000,18196.0,0.0000,inf
706,3,1,0.3333,0.1135,0.9662,-180.0000,23350.0,10.0000,37800.0
1028,6,2,0.3333,0.1293,1.1227,-209.9999,22396.0,40.0000,37260.0
3982,4,0,0.0000,0.1280,1.3546,0.0000,7111.0,0.0000,inf
429,6,2,0.3333,0.2039,1.2529,540.0001,23990.0,230.0000,43800.0
4174,7,1,0.1429,0.1781,1.4985,89.9998,5636.0,21.4286,33420.0
58,6,1,0.1667,0.2087,1.0513,390.0000,24910.0,80.0000,56160.0
2405,17,2,0.1176,0.2282,1.0478,-360.0001,17386.0,8.8235,34380.0
2427,1,0,0.0000,0.1952,1.3487,0.0000,17302.0,0.0000,inf
96,1,1,1.0000,0.1772,1.2485,90.0000,24823.0,210.0000,50580.0
616,3,1,0.3333,0.1825,1.2369,240.0000,23573.0,120.0000,48420.0
2927,14,0,0.0000,0.1442,1.4213,0.0000,14452.0,0.0000,inf
4148,4,0,0.0000,0.1762,1.3401,0.0000,5846.0,0.0000,inf
3443,8,1,0.1250,0.1579,1.4394,509.9997,11134.0,82.5000,32910.0
3935,3,0,0.0000,0.1216,1.5807,0.0000,7469.0,0.0000,inf
1862,3,0,0.0000,0.1195,1.1192,0.0000,19630.0,0.0000,inf
571,2,0,0.0000,0.2508,1.2867,0.0000,23686.0,0.0000,inf
2445,2,0,0.0000,0.1785,1.3082,0.0000,17224.0,0.0000,inf
4519,2,0,0.0000,0.1058,1.5628,0.0000,2603.0,0.0000,inf
4498,10,2,0.2000,0.1214,1.6019,164.9999,2824.0,54.0000,37530.0
4518,4,0,0.0000,0.1153,1.3809,0.0000,2605.0,0.0000,inf
34,9,5,0.5556,0.2466,1.0819,767.9999,24946.0,533.3333,52440.0
1465,2,0,0.0000,0.2414,1.0412,0.0000,21028.0,0.0000,inf
2679,7,0,0.0000,0.0840,1.3227,0.0000,15892.0,0.0000,inf
1325,2,1,0.5000,0.1717,1.0288,149.9999,21504.0,150.0000,34320.0
2354,1,0,0.0000,0.1644,1.2359,0.0000,17647.0,0.0000,inf
3729,5,1,0.2000,0.2013,1.0435,-209.9999,9003.0,0.0000,37650.0
4461,3,0,0.0000,0.1570,1.5018,0.0000,3152.0,0.0000,inf
1068,2,2,1.0000,0.1902,1.2950,30.0000,22275.0,180.0000,39420.0
27,1,1,1.0000,0.3825,1.0923,1229.9999,24954.0,1500.0000,51690.0
2277,1,0,0.0000,0.0724,1.4867,0.0000,17972.0,0.0000,inf
4712,1,0,0.0000,0.1162,1.3475,0.0000,990.0,0.0000,inf
2792,1,0,0.0000,0.1275,1.4007,0.0000,15233.0,0.0000,inf
456,2,2,1.0000,0.2468,1.2001,480.0000,23941.0,675.0000,42090.0
4319,1,0,0.0000,0.2004,0.8690,0.0000,4422.0,0.0000,inf
3802,2,0,0.0000,0.1375,1.3655,0.0000,8476.0,0.0000,inf
1474,5,2,0.4000,0.1688,1.3536,179.9998,21005.0,150.0000,39780.0
4190,6,1,0.1667,0.1509,1.4930,-929.9999,5515.0,0.0000,35430.0
1145,1,0,0.0000,0.1982,1.0770,0.0000,22060.0,0.0000,inf
3041,8,0,0.0000,0.1936,1.2162,0.0000,13781.0,0.0000,inf
1823,9,3,0.3333,0.1134,1.5355,339.9999,19759.0,176.6667,39270.0
1961,5,2,0.4000,0.1542,1.3923,-225.0000,19298.0,18.0000,35340.0
4267,16,0,0.0000,0.1768,1.0825,0.0000,4834.0,0.0000,inf
4337,10,1,0.1000,0.2044,1.4313,-479.9997,4255.0,0.0000,35220.0
1463,6,3,0.5000,0.1009,1.1759,-100.0001,21037.0,35.0000,36630.0
2364,7,3,0.4286,0.1658,1.1889,1039.9999,17615.0,505.7143,47820.0
3361,1,0,0.0000,0.1243,1.3524,0.0000,11830.0,0.0000,inf
362,2,0,0.0000,0.3413,1.0833,0.0000,24162.0,0.0000,inf
311,1,1,1.0000,0.2360,1.0181,329.9998,24281.0,420.0000,42450.0
1730,7,0,0.0000,0.2177,0.9176,0.0000,20142.0,0.0000,inf
4349,4,1,0.2500,0.1424,1.1863,-179.9999,4132.0,0.0000,31920.0
2651,22,8,0.3636,0.1179,1.4203,206.2499,16091.0,147.2727,41400.0
2031,4,0,0.0000,0.1808,1.2975,0.0000,19057.0,0.0000,inf
2673,3,0,0.0000,0.0725,1.5120,0.0000,15935.0,0.0000,inf
1818,15,6,0.4000,0.1247,1.3935,199.9999,19775.0,194.0000,44130.0
2988,12,3,0.2500,0.1323,1.4106,20.0000,14084.0,32.5000,33660.0
3449,2,1,0.5000,0.1328,1.3851,299.9996,11100.0,255.0000,32400.0
245,1,1,1.0000,0.1374,1.2282,120.0000,24432.0,240.0000,44610.0
4737,1,0,0.0000,0.1432,1.3502,0.0000,845.0,0.0000,inf
