UID,Selections,Admissions,Productivity,Novelty,Quality,AvgSAGain,Age,BasinYield,BestDescINRC
3000,23,4,0.1739,0.1852,1.5111,149.9999,9276.0,53.4783,39480.0
3452,16,1,0.0625,0.1735,1.2967,870.0000,5226.0,60.0000,47310.0
44,4,2,0.5000,0.2872,0.8486,810.0000,24935.0,480.0000,48210.0
309,4,0,0.0000,0.1445,1.1501,0.0000,24247.0,0.0000,inf
449,3,0,0.0000,0.1458,1.1262,0.0000,23854.0,0.0000,inf
2379,3,0,0.0000,0.1285,1.5161,0.0000,14005.0,0.0000,inf
1022,11,4,0.3636,0.1802,1.1095,299.9999,21644.0,171.8182,38490.0
568,11,2,0.1818,0.1571,1.1129,209.9999,23464.0,57.2727,38130.0
3285,3,0,0.0000,0.1575,1.2534,0.0000,6774.0,0.0000,inf
1053,1,0,0.0000,0.3368,0.8776,0.0000,21498.0,0.0000,inf
2134,2,1,0.5000,0.1722,1.0810,30.0000,15737.0,90.0000,48960.0
2420,1,1,1.0000,0.2079,1.1394,300.0002,13734.0,420.0000,32850.0
3127,12,4,0.3333,0.1608,1.3750,-52.5001,8322.0,62.5000,34230.0
2799,14,2,0.1429,0.1534,1.2059,-225.0002,10870.0,10.7143,33210.0
1599,9,1,0.1111,0.1861,1.2959,-270.0000,18771.0,0.0000,49710.0
2826,14,0,0.0000,0.2144,1.4232,0.0000,10641.0,0.0000,inf
1113,3,0,0.0000,0.2009,1.1980,0.0000,21217.0,0.0000,inf
2263,14,5,0.3571,0.1067,1.4912,215.9999,14892.0,126.4286,39660.0
2175,4,0,0.0000,0.1587,1.3150,0.0000,15497.0,0.0000,inf
3545,8,0,0.0000,0.1230,1.4506,0.0000,4438.0,0.0000,inf
1552,3,2,0.6667,0.1704,1.1958,374.9999,18996.0,320.0000,37800.0
663,1,0,0.0000,0.2048,0.8896,0.0000,23099.0,0.0000,inf
2519,14,1,0.0714,0.1085,1.3518,840.0000,12978.0,75.0000,39660.0
3747,3,0,0.0000,0.1856,1.0778,0.0000,2504.0,0.0000,inf
440,13,1,0.0769,0.1371,1.4301,270.0000,23881.0,27.6923,46230.0
1786,7,4,0.5714,0.1258,1.5330,285.0000,17877.0,248.5714,40050.0
3852,2,1,0.5000,0.1999,1.2799,599.9999,1471.0,330.0000,32520.0
3493,6,1,0.1667,0.1194,1.4512,-180.0002,4884.0,20.0000,40320.0
2854,23,0,0.0000,0.2093,1.0869,0.0000,10309.0,0.0000,inf
3820,3,0,0.0000,0.2148,1.2886,0.0000,1826.0,0.0000,inf
1067,2,0,0.0000,0.1975,1.2471,0.0000,21440.0,0.0000,inf
1988,1,1,1.0000,0.0544,1.1067,-60.0000,16553.0,0.0000,35220.0
1994,6,1,0.1667,0.1475,1.4201,-239.9999,16510.0,0.0000,39420.0
90,1,0,0.0000,0.1980,1.1586,0.0000,24843.0,0.0000,inf
1554,9,3,0.3333,0.1802,1.3038,319.9998,18981.0,133.3333,35850.0
1671,13,3,0.2308,0.1430,1.4790,-260.0000,18394.0,60.0000,42480.0
1337,5,0,0.0000,0.1350,1.4235,0.0000,20098.0,0.0000,inf
3178,6,0,0.0000,0.1456,1.2726,0.0000,7775.0,0.0000,inf
745,6,2,0.3333,0.1399,1.4316,825.0000,22806.0,325.0000,45690.0
930,9,0,0.0000,0.1140,1.0679,0.0000,22029.0,0.0000,inf
2189,3,0,0.0000,0.1312,0.9424,0.0000,15389.0,0.0000,inf
2912,18,4,0.2222,0.1740,1.5115,-37.5000,9921.0,26.6667,35820.0
3459,8,1,0.1250,0.1692,1.5526,-540.0000,5173.0,0.0000,37920.0
3193,1,0,0.0000,0.1457,1.2093,0.0000,7689.0,0.0000,inf
3573,11,1,0.0909,0.1562,1.5408,330.0000,4134.0,32.7273,36240.0
1492,2,0,0.0000,0.1543,1.2252,0.0000,19284.0,0.0000,inf
2456,7,3,0.4286,0.1849,1.0252,20.0000,13481.0,55.7143,32280.0
760,8,2,0.2500,0.1709,1.2445,29.9999,22766.0,41.2500,40080.0
1272,2,0,0.0000,0.1455,1.2973,0.0000,20373.0,0.0000,inf
1063,4,1,0.2500,0.2271,1.2930,59.9998,21455.0,7.5000,44220.0
990,12,2,0.1667,0.0637,1.4459,495.0000,21790.0,100.0000,44970.0
3889,3,0,0.0000,0.1926,1.2994,0.0000,1064.0,0.0000,inf
304,3,2,0.6667,0.1977,1.3456,540.0000,24267.0,460.0000,47130.0
2728,1,0,0.0000,0.2050,1.0215,0.0000,11416.0,0.0000,inf
3011,1,1,1.0000,0.1962,1.2200,-420.0004,9184.0,0.0000,33900.0
1427,4,2,0.5000,0.1418,1.3374,30.0000,19628.0,97.5000,40530.0
3767,8,0,0.0000,0.1071,1.4244,0.0000,2338.0,0.0000,inf
818,1,1,1.0000,0.2378,0.9858,239.9998,22508.0,450.0000,37560.0
3438,13,3,0.2308,0.2103,1.0084,-339.9998,5331.0,13.8462,31170.0
3056,8,1,0.1250,0.2650,1.1358,-269.9998,8908.0,0.0000,32760.0
320,1,0,0.0000,0.1797,1.1409,0.0000,24206.0,0.0000,inf
1734,1,1,1.0000,0.1842,1.2728,-119.9999,18086.0,0.0000,35970.0
2618,6,1,0.1667,0.1896,1.4023,180.0001,12267.0,55.0000,39480.0
1653,5,0,0.0000,0.1724,1.3500,0.0000,18450.0,0.0000,inf
3092,5,0,0.0000,0.1361,1.3679,0.0000,8632.0,0.0000,inf
2150,4,0,0.0000,0.1496,1.0732,0.0000,15654.0,0.0000,inf
3347,5,0,0.0000,0.1322,1.3920,0.0000,6223.0,0.0000,inf
2783,26,7,0.2692,0.2047,1.1306,1118.5714,10982.0,349.6154,53190.0
2665,2,0,0.0000,0.1673,0.9673,0.0000,11933.0,0.0000,inf
1984,52,7,0.1346,0.1803,1.3231,471.4285,16583.0,99.8077,45870.0
3113,27,2,0.0741,0.1068,1.3727,-584.9999,8447.0,3.3333,36210.0
419,30,2,0.0667,0.1079,1.3463,390.0000,23928.0,39.0000,47310.0
3699,7,0,0.0000,0.0730,1.3602,0.0000,2949.0,0.0000,inf
598,8,3,0.3750,0.1488,1.2977,260.0000,23361.0,120.0000,39810.0
1659,8,1,0.1250,0.1910,1.1639,719.9999,18435.0,97.5000,36930.0
2241,10,1,0.1000,0.1461,1.5443,299.9998,15030.0,45.0000,41640.0
454,2,1,0.5000,0.1354,1.3709,479.9999,23831.0,315.0000,44490.0
1029,31,2,0.0645,0.1756,1.1721,780.0000,21603.0,62.9032,51900.0
2798,3,0,0.0000,0.1261,1.3441,0.0000,10873.0,0.0000,inf
2541,13,1,0.0769,0.1653,1.3305,840.0000,12853.0,73.8462,34290.0
35,6,4,0.6667,0.2464,1.2015,1049.9999,24955.0,790.0000,52350.0
947,2,1,0.5000,0.1000,1.4560,869.9999,21966.0,465.0000,45570.0
1610,1,0,0.0000,0.2057,1.4578,0.0000,18667.0,0.0000,inf
821,2,0,0.0000,0.1371,1.4367,0.0000,22495.0,0.0000,inf
1,97,21,0.2165,0.2264,0.9674,1545.7143,24999.0,378.2474,60660.0
3454,2,1,0.5000,0.2108,1.2380,270.0000,5221.0,195.0000,32640.0
3807,9,0,0.0000,0.0913,1.3750,0.0000,1926.0,0.0000,inf
2281,56,2,0.0357,0.1620,1.3482,330.0000,14755.0,16.6071,42270.0
1767,5,1,0.2000,0.1236,1.4882,510.0000,17958.0,132.0000,39720.0
2599,22,1,0.0455,0.0938,1.3155,180.0000,12415.0,20.4545,40920.0
376,8,2,0.2500,0.1904,1.3727,1034.9997,24048.0,270.0000,40770.0
3083,15,1,0.0667,0.1823,1.1989,0.0000,8742.0,6.0000,36720.0
3374,13,0,0.0000,0.1981,1.4652,0.0000,5953.0,0.0000,inf
3433,6,0,0.0000,0.1539,1.4364,0.0000,5384.0,0.0000,inf
125,8,2,0.2500,0.3142,1.0138,1110.0000,24749.0,326.2500,59310.0
3313,12,0,0.0000,0.1031,1.4216,0.0000,6515.0,0.0000,inf
2825,4,2,0.5000,0.2260,0.9906,-30.0003,10661.0,15.0000,31890.0
863,6,0,0.0000,0.1451,1.2692,0.0000,22342.0,0.0000,inf
2697,1,0,0.0000,0.1763,1.1517,0.0000,11662.0,0.0000,inf
1884,4,0,0.0000,0.3115,0.9519,0.0000,17270.0,0.0000,inf
1712,7,2,0.2857,0.1622,1.0965,-270.0000,18176.0,0.0000,39000.0
968,8,1,0.1250,0.3133,1.1010,300.0000,21880.0,52.5000,37710.0
54,3,3,1.0000,0.3657,1.1180,929.9999,24914.0,1120.0000,51570.0
2308,37,1,0.0270,0.1969,1.1663,960.0000,14562.0,30.8108,47850.0
2737,15,2,0.1333,0.1247,1.2740,-359.9999,11373.0,4.0000,34140.0
3691,11,1,0.0909,0.2067,1.1695,450.0000,3020.0,51.8182,34920.0
3074,5,0,0.0000,0.1842,1.4457,0.0000,8800.0,0.0000,inf
20,9,2,0.2222,0.3216,1.0883,1394.9999,24977.0,346.6667,52290.0
2548,1,0,0.0000,0.1406,1.0867,0.0000,12807.0,0.0000,inf
3787,2,0,0.0000,0.1366,1.1172,0.0000,2137.0,0.0000,inf
78,1,1,1.0000,0.3949,0.9574,540.0000,24867.0,720.0000,46740.0
2639,9,0,0.0000,0.2224,1.0615,0.0000,12095.0,0.0000,inf
3530,5,0,0.0000,0.0526,1.1073,0.0000,4601.0,0.0000,inf
1065,8,3,0.3750,0.1950,1.2280,-279.9999,21445.0,41.2500,38400.0
3681,12,3,0.2500,0.1735,1.4341,579.9999,3166.0,175.0000,38100.0
3484,15,4,0.2667,0.1439,1.3707,194.9999,4983.0,78.0000,33120.0
2432,14,3,0.2143,0.1899,1.3919,230.0000,13646.0,66.4286,34200.0
3180,3,0,0.0000,0.1492,1.4150,0.0000,7767.0,0.0000,inf
2220,1,0,0.0000,0.1324,1.4902,0.0000,15136.0,0.0000,inf
3769,3,1,0.3333,0.1884,1.4986,-389.9997,2276.0,0.0000,35670.0
811,6,3,0.5000,0.1421,1.4207,470.0000,22553.0,325.0000,46170.0
240,20,2,0.1000,0.3484,1.1498,315.0000,24417.0,52.5000,47070.0
3940,1,0,0.0000,0.1466,1.3934,0.0000,477.0,0.0000,inf
565,1,0,0.0000,0.1928,1.4094,0.0000,23468.0,0.0000,inf
1014,9,2,0.2222,0.1392,1.4587,210.0000,21697.0,86.6667,44310.0
3228,8,0,0.0000,0.1679,1.2138,0.0000,7391.0,0.0000,inf
3604,1,0,0.0000,0.0841,1.1925,0.0000,3860.0,0.0000,inf
969,8,3,0.3750,0.1671,1.4220,689.9999,21878.0,307.5000,41250.0
2057,15,1,0.0667,0.0695,1.3203,-210.0001,16127.0,0.0000,47820.0
2617,3,0,0.0000,0.1841,1.2623,0.0000,12275.0,0.0000,inf
1169,4,0,0.0000,0.1383,1.2397,0.0000,20871.0,0.0000,inf
336,4,4,1.0000,0.1975,1.1477,337.4999,24154.0,450.0000,40770.0
778,16,4,0.2500,0.1431,1.2247,7.4999,22707.0,37.5000,40920.0
1813,4,0,0.0000,0.1038,1.0542,0.0000,17731.0,0.0000,inf
2167,25,0,0.0000,0.1220,1.3487,0.0000,15549.0,0.0000,inf
3812,5,0,0.0000,0.1609,1.1521,0.0000,1892.0,0.0000,inf
892,37,2,0.0541,0.1915,1.0383,1395.0000,22176.0,89.1892,57990.0
515,23,3,0.1304,0.1349,1.0890,1110.0000,23635.0,178.6957,50220.0
2586,3,0,0.0000,0.1818,1.5202,0.0000,12493.0,0.0000,inf
3542,10,0,0.0000,0.1298,1.1696,0.0000,4471.0,0.0000,inf
3536,2,0,0.0000,0.1607,1.2488,0.0000,4527.0,0.0000,inf
1764,1,1,1.0000,0.1228,1.4038,-59.9999,17973.0,0.0000,39660.0
13,1,1,1.0000,0.4124,0.9694,1440.0000,24986.0,1530.0000,52650.0
307,5,2,0.4000,0.2492,0.9434,-14.9998,24252.0,84.0000,40410.0
2125,10,3,0.3000,0.1309,1.6418,-130.0000,15776.0,102.0000,36600.0
3637,2,0,0.0000,0.1345,1.5471,0.0000,3556.0,0.0000,inf
2461,1,0,0.0000,0.1655,1.3471,0.0000,13448.0,0.0000,inf
2168,2,1,0.5000,0.1709,1.5714,0.0001,15546.0,60.0000,40320.0
2663,30,7,0.2333,0.1325,1.3506,188.5714,11943.0,83.0000,46200.0
482,5,0,0.0000,0.1491,1.3226,0.0000,23736.0,0.0000,inf
2949,6,1,0.1667,0.1701,1.4788,-209.9999,9648.0,5.0000,40140.0
3219,19,1,0.0526,0.1844,1.4183,1110.0000,7480.0,64.7368,41580.0
3352,1,0,0.0000,0.2930,1.1113,0.0000,6184.0,0.0000,inf
2236,4,0,0.0000,0.1747,1.2109,0.0000,15042.0,0.0000,inf
2451,7,2,0.2857,0.1187,1.6670,-149.9999,13501.0,17.1429,36840.0
1052,10,4,0.4000,0.1601,1.1473,344.9998,21501.0,180.0000,36180.0
2021,4,1,0.2500,0.2177,1.3786,419.9998,16344.0,75.0000,37410.0
3138,22,1,0.0455,0.1194,1.4400,-120.0000,8207.0,0.0000,40440.0
3938,1,0,0.0000,0.2677,0.9865,0.0000,496.0,0.0000,inf
3117,17,1,0.0588,0.1635,1.3738,449.9999,8397.0,31.7647,41100.0
2,1,1,1.0000,0.7204,1.0009,1470.0000,24999.0,1740.0000,59460.0
1635,7,2,0.2857,0.1283,1.5849,614.9999,18539.0,227.1429,40080.0
3236,3,1,0.3333,0.2018,1.3353,869.9998,7275.0,370.0000,36180.0
3479,3,1,0.3333,0.1118,1.3113,-270.0000,5038.0,0.0000,35190.0
1644,6,2,0.3333,0.2033,1.5087,299.9999,18497.0,140.0000,39900.0
2288,8,0,0.0000,0.1231,1.5405,0.0000,14719.0,0.0000,inf
3172,15,0,0.0000,0.1404,1.4539,0.0000,7814.0,0.0000,inf
3598,3,1,0.3333,0.1444,1.0080,150.0001,3891.0,100.0000,31920.0
1359,9,1,0.1111,0.1868,1.3049,-119.9999,19966.0,0.0000,37020.0
2081,1,0,0.0000,0.0706,1.5618,0.0000,16012.0,0.0000,inf
2024,10,3,0.3000,0.1278,1.0582,-30.0000,16312.0,69.0000,36330.0
484,1,1,1.0000,0.2082,1.1141,-210.0001,23724.0,30.0000,40140.0
2898,45,5,0.1111,0.2021,1.3987,431.9999,10013.0,63.3333,42240.0
68,3,1,0.3333,0.1275,1.0518,1230.0000,24888.0,420.0000,46080.0
3379,23,0,0.0000,0.1070,1.4778,0.0000,5916.0,0.0000,inf
3055,28,2,0.0714,0.1583,1.3576,540.0000,8919.0,47.1429,44940.0
3576,12,1,0.0833,0.1718,1.6150,-29.9999,4116.0,5.0000,38130.0
1732,9,4,0.4444,0.1657,0.9825,307.4998,18093.0,166.6667,33450.0
3136,1,1,1.0000,0.2215,1.5462,180.0000,8215.0,300.0000,38850.0
638,4,3,0.7500,0.1498,1.3051,519.9999,23207.0,495.0000,39330.0
121,1,1,1.0000,0.4692,0.9158,450.0001,24755.0,570.0000,45330.0
2200,11,1,0.0909,0.1812,1.3807,299.9997,15284.0,40.9091,39630.0
1099,11,4,0.3636,0.1054,1.5630,157.4999,21291.0,109.0909,42030.0
3195,3,0,0.0000,0.2307,1.2067,0.0000,7660.0,0.0000,inf
2495,15,0,0.0000,0.1538,1.0251,0.0000,13168.0,0.0000,inf
824,3,0,0.0000,0.2334,1.1739,0.0000,22491.0,0.0000,inf
2517,4,0,0.0000,0.2501,1.0998,0.0000,13001.0,0.0000,inf
255,39,2,0.0513,0.1244,1.3253,539.9999,24380.0,38.4615,47700.0
3320,1,0,0.0000,0.1986,1.0986,0.0000,6448.0,0.0000,inf
572,2,0,0.0000,0.2049,1.2911,0.0000,23448.0,0.0000,inf
31,1,1,1.0000,0.3401,0.9719,1080.0000,24959.0,1170.0000,56070.0
250,3,2,0.6667,0.2137,1.2682,480.0000,24392.0,390.0000,44520.0
3667,1,0,0.0000,0.2094,1.1017,0.0000,3278.0,0.0000,inf
1692,3,0,0.0000,0.1381,1.3999,0.0000,18276.0,0.0000,inf
145,1,1,1.0000,0.2340,0.9357,-180.0001,24692.0,0.0000,45990.0
2552,9,0,0.0000,0.0548,1.4200,0.0000,12790.0,0.0000,inf
2883,2,0,0.0000,0.1789,1.4342,0.0000,10110.0,0.0000,inf
2614,23,5,0.2174,0.2042,1.3870,114.0000,12302.0,62.6087,39540.0
3843,2,1,0.5000,0.1379,1.1699,-240.0000,1588.0,0.0000,36030.0
170,4,3,0.7500,0.2065,1.2719,200.0000,24621.0,255.0000,45030.0
3568,6,0,0.0000,0.1378,1.5316,0.0000,4165.0,0.0000,inf
247,1,0,0.0000,0.1842,1.0890,0.0000,24398.0,0.0000,inf
2703,5,0,0.0000,0.1628,1.2342,0.0000,11605.0,0.0000,inf
521,4,0,0.0000,0.1591,1.4273,0.0000,23608.0,0.0000,inf
353,3,1,0.3333,0.1552,1.4386,389.9999,24101.0,170.0000,45990.0
1395,36,2,0.0556,0.1835,1.0789,1560.0000,19808.0,93.3333,52440.0
1233,4,2,0.5000,0.1824,1.0842,-0.0002,20574.0,90.0000,35760.0
3423,21,6,0.2857,0.1352,1.5101,249.9999,5558.0,120.0000,37380.0
2803,5,1,0.2000,0.1601,1.3594,179.9999,10850.0,54.0000,38790.0
982,4,1,0.2500,0.1702,1.3111,510.0001,21847.0,172.5000,42630.0
2394,4,2,0.5000,0.1820,0.9055,-59.9998,13921.0,37.5000,32190.0
2781,3,0,0.0000,0.0975,1.2005,0.0000,11000.0,0.0000,inf
2637,10,1,0.1000,0.1163,1.3674,539.9999,12102.0,60.0000,39060.0
2820,21,0,0.0000,0.2300,1.2811,0.0000,10707.0,0.0000,inf
345,5,1,0.2000,0.1498,1.2116,90.0000,24123.0,72.0000,41190.0
1391,4,0,0.0000,0.2935,0.9134,0.0000,19819.0,0.0000,inf
998,13,2,0.1538,0.1955,1.0383,900.0000,21745.0,159.2308,59040.0
3519,8,1,0.1250,0.0744,1.4157,-30.0000,4702.0,22.5000,38250.0
251,2,1,0.5000,0.1764,1.1062,300.0000,24390.0,255.0000,44310.0
2051,15,2,0.1333,0.2381,1.0666,-210.0001,16152.0,18.0000,33390.0
3685,8,1,0.1250,0.0729,1.1968,780.0000,3117.0,123.7500,50850.0
1864,7,1,0.1429,0.1291,1.4085,-120.0000,17406.0,0.0000,45330.0
1386,6,2,0.3333,0.1509,1.3840,539.9999,19848.0,230.0000,40230.0
1006,2,0,0.0000,0.1827,1.1720,0.0000,21722.0,0.0000,inf
1945,2,0,0.0000,0.0876,1.4408,0.0000,16850.0,0.0000,inf
1571,14,1,0.0714,0.1008,1.4655,329.9999,18898.0,23.5714,43920.0
1476,4,2,0.5000,0.1165,1.4863,584.9999,19364.0,352.5000,41610.0
89,1,1,1.0000,0.3024,0.9863,1019.9999,24845.0,1110.0000,45630.0
2684,2,2,1.0000,0.1893,1.6024,105.0000,11720.0,225.0000,41520.0
3301,4,2,0.5000,0.0985,1.2865,-14.9999,6659.0,75.0000,33960.0
3133,5,1,0.2000,0.1471,1.2311,179.9999,8223.0,42.0000,33480.0
1420,4,1,0.2500,0.1748,1.3433,-29.9999,19661.0,45.0000,36840.0
2034,10,1,0.1000,0.0702,1.5698,540.0000,16256.0,60.0000,40110.0
2355,28,4,0.1429,0.1576,1.3105,472.5000,14189.0,81.4286,40020.0
3124,8,1,0.1250,0.1284,1.1450,210.0000,8328.0,22.5000,32760.0
830,4,0,0.0000,0.1734,1.2481,0.0000,22462.0,0.0000,inf
1514,10,4,0.4000,0.1800,1.2268,-375.0000,19177.0,0.0000,37410.0
3286,10,1,0.1000,0.1340,1.3744,-59.9999,6765.0,15.0000,35250.0
3290,3,0,0.0000,0.2048,1.3411,0.0000,6722.0,0.0000,inf
2491,8,1,0.1250,0.1493,1.6474,330.0000,13190.0,56.2500,37320.0
2804,11,0,0.0000,0.4227,0.9510,0.0000,10831.0,0.0000,inf
1759,5,0,0.0000,0.1979,1.0129,0.0000,17997.0,0.0000,inf
2300,5,0,0.0000,0.1419,1.5441,0.0000,14604.0,0.0000,inf
3310,8,0,0.0000,0.1246,1.3433,0.0000,6545.0,0.0000,inf
1588,5,2,0.4000,0.1352,1.3069,825.0000,18840.0,396.0000,47670.0
621,2,2,1.0000,0.1934,1.2487,-30.0000,23277.0,255.0000,38220.0
2079,6,1,0.1667,0.1851,1.0187,210.0000,16021.0,40.0000,33420.0
2790,6,2,0.3333,0.1147,1.2072,149.9996,10938.0,80.0000,34080.0
2342,18,2,0.1111,0.1651,1.3466,149.9999,14297.0,26.6667,35310.0
2166,2,0,0.0000,0.2002,1.2541,0.0000,15556.0,0.0000,inf
3529,2,0,0.0000,0.1330,1.2808,0.0000,4602.0,0.0000,inf
2607,2,1,0.5000,0.3039,0.9176,30.0007,12352.0,30.0000,32130.0
2302,3,2,0.6667,0.1257,1.5652,614.9999,14587.0,480.0000,39420.0
533,4,1,0.2500,0.1730,1.3881,570.0000,23572.0,172.5000,44250.0
529,4,0,0.0000,0.2844,1.0709,0.0000,23589.0,0.0000,inf
1626,1,0,0.0000,0.0812,1.4660,0.0000,18597.0,0.0000,inf
3904,3,0,0.0000,0.1285,1.5223,0.0000,937.0,0.0000,inf
129,3,0,0.0000,0.1993,1.0742,0.0000,24744.0,0.0000,inf
1647,1,1,1.0000,0.1751,1.0800,-89.9998,18470.0,0.0000,35760.0
1245,3,0,0.0000,0.1504,1.4947,0.0000,20504.0,0.0000,inf
1821,2,0,0.0000,0.1990,1.1352,0.0000,17686.0,0.0000,inf
1873,4,0,0.0000,0.1241,1.4317,0.0000,17330.0,0.0000,inf
3049,18,0,0.0000,0.2774,1.1228,0.0000,8959.0,0.0000,inf
2960,7,1,0.1429,0.1334,1.4252,330.0002,9581.0,42.8571,36900.0
3718,2,0,0.0000,0.1782,1.1366,0.0000,2784.0,0.0000,inf
3532,3,1,0.3333,0.0860,1.2898,179.9996,4591.0,110.0000,33390.0
3140,4,0,0.0000,0.1431,1.1899,0.0000,8168.0,0.0000,inf
3122,6,0,0.0000,0.1612,1.3370,0.0000,8358.0,0.0000,inf
1030,1,0,0.0000,0.1564,1.4552,0.0000,21602.0,0.0000,inf
2130,4,1,0.2500,0.1730,1.4025,209.9997,15754.0,127.5000,35550.0
2853,2,1,0.5000,0.0536,1.2692,119.9998,10329.0,105.0000,34230.0
3792,9,0,0.0000,0.1267,1.3918,0.0000,2066.0,0.0000,inf
2913,5,1,0.2000,0.1877,1.1248,359.9992,9915.0,78.0000,33690.0
3359,7,0,0.0000,0.0551,1.4028,0.0000,6100.0,0.0000,inf
3384,8,0,0.0000,0.1243,1.1129,0.0000,5873.0,0.0000,inf
3567,13,2,0.1538,0.1426,1.2287,-15.0002,4196.0,11.5385,32220.0
1308,9,1,0.1111,0.1452,1.3493,-0.0001,20244.0,13.3333,37800.0
2966,3,0,0.0000,0.1279,1.3126,0.0000,9532.0,0.0000,inf
1848,12,2,0.1667,0.1393,1.1599,-434.9999,17503.0,0.0000,35430.0
3499,2,0,0.0000,0.2471,1.0895,0.0000,4859.0,0.0000,inf
524,20,0,0.0000,0.3105,0.9877,0.0000,23605.0,0.0000,inf
1695,1,0,0.0000,0.1746,1.3612,0.0000,18250.0,0.0000,inf
3331,9,2,0.2222,0.1491,1.4851,-29.9999,6342.0,33.3333,36300.0
3463,3,1,0.3333,0.1215,1.2979,179.9997,5143.0,90.0000,32340.0
983,8,4,0.5000,0.1393,1.4408,412.4999,21837.0,270.0000,41010.0
349,4,2,0.5000,0.1433,1.4210,749.9999,24111.0,525.0000,46080.0
1915,7,2,0.2857,0.2247,1.0183,299.9997,17039.0,137.1429,34020.0
2291,17,0,0.0000,0.1571,1.2714,0.0000,14695.0,0.0000,inf
3230,23,1,0.0435,0.0567,1.3679,780.0000,7364.0,40.4348,45030.0
1107,1,0,0.0000,0.2140,1.3064,0.0000,21259.0,0.0000,inf
276,5,2,0.4000,0.1759,1.0299,239.9998,24334.0,138.0000,40860.0
3914,1,0,0.0000,0.1359,1.0436,0.0000,784.0,0.0000,inf
193,12,1,0.0833,0.1381,1.0766,810.0000,24551.0,82.5000,54210.0
3864,6,0,0.0000,0.1223,1.3291,0.0000,1366.0,0.0000,inf
2380,11,2,0.1818,0.0986,1.5310,539.9998,14001.0,117.2727,35310.0
1918,1,0,0.0000,0.1569,1.3536,0.0000,17013.0,0.0000,inf
2565,4,1,0.2500,0.1719,1.6052,120.0001,12668.0,45.0000,36990.0
3232,9,0,0.0000,0.1581,1.2783,0.0000,7315.0,0.0000,inf
2293,2,1,0.5000,0.1272,1.0466,330.0000,14681.0,240.0000,35940.0
2696,8,0,0.0000,0.1282,1.3521,0.0000,11665.0,0.0000,inf
2670,16,0,0.0000,0.1753,1.3617,0.0000,11886.0,0.0000,inf
3647,9,1,0.1111,0.1309,1.2784,149.9998,3474.0,26.6667,33960.0
3661,8,0,0.0000,0.1251,1.4571,0.0000,3347.0,0.0000,inf
765,6,1,0.1667,0.1515,1.3704,-420.0001,22755.0,0.0000,45270.0
2918,10,0,0.0000,0.1311,1.0607,0.0000,9880.0,0.0000,inf
1699,26,2,0.0769,0.0681,1.1698,390.0000,18242.0,48.4615,52080.0
33,6,0,0.0000,0.2725,1.1320,0.0000,24957.0,0.0000,inf
1412,1,1,1.0000,0.1634,1.4106,390.0001,19703.0,450.0000,39930.0
65,1,0,0.0000,0.2409,1.1519,0.0000,24891.0,0.0000,inf
1191,4,1,0.2500,0.2003,1.4224,-899.9999,20763.0,0.0000,43230.0
1483,14,3,0.2143,0.1821,1.4041,139.9999,19335.0,62.1429,38460.0
1960,3,1,0.3333,0.2902,1.0315,839.9994,16738.0,340.0000,33000.0
