Gen,ArchiveSize,BestINRC,MedINRC,BestDist,MedDist,Turnover,MeanSAGain,MedSAGain,P95SAGain,MeanNN,CentroidSpread
1,2,59820.0,61020.0,59820.0,61020.0,0.00,1110.00,1110.00,1109.9999,1.7321,0.8660
1000,99,40470.0,50340.0,40470.0,50340.0,0.78,808.22,750.00,1590.0000,0.0491,0.3721
2000,118,38880.0,49650.0,38880.0,49650.0,0.94,650.70,570.00,1529.9999,0.0414,0.3637
3000,168,35760.0,45120.0,35760.0,45120.0,0.80,652.17,600.00,1410.0000,0.0355,0.3574
4000,218,34710.0,41970.0,34710.0,41970.0,0.73,598.58,510.00,1409.9999,0.0279,0.3479
5000,233,34440.0,41850.0,34440.0,41850.0,0.92,591.07,480.00,1439.9999,0.0270,0.3309
6000,224,34140.0,42210.0,34140.0,42210.0,1.06,586.94,510.00,1409.9999,0.0288,0.3332
7000,242,34140.0,41250.0,34140.0,41250.0,0.88,616.94,510.00,1469.9997,0.0274,0.3115
8000,264,34140.0,40650.0,34140.0,40650.0,0.82,577.01,450.00,1470.0000,0.0277,0.3009
9000,282,33630.0,40200.0,33630.0,40200.0,0.88,563.71,450.00,1440.0000,0.0332,0.3613
10000,279,33000.0,39810.0,33000.0,39810.0,1.02,576.19,480.00,1439.9997,0.0346,0.3656
11000,306,32700.0,40020.0,32700.0,40020.0,0.78,554.18,450.00,1439.9999,0.0314,0.3650
12000,340,32130.0,39780.0,32130.0,39780.0,0.76,514.16,420.00,1290.0000,0.0279,0.3548
13000,353,32130.0,39720.0,32130.0,39720.0,0.89,546.31,450.00,1409.9999,0.0278,0.3499
14000,391,31860.0,39300.0,31860.0,39300.0,0.68,583.81,480.00,1470.0000,0.0247,0.3422
15000,380,31770.0,39000.0,31770.0,39000.0,1.12,533.23,450.00,1319.9999,0.0267,0.3751
16000,383,31530.0,38460.0,31530.0,38460.0,0.97,537.45,450.00,1319.9999,0.0268,0.3829
17000,348,31380.0,38520.0,31380.0,38520.0,1.27,547.67,420.00,1440.0000,0.0263,0.3485
18000,318,31380.0,39780.0,31380.0,39780.0,1.28,524.38,420.00,1350.0000,0.0301,0.3623
19000,353,30840.0,39330.0,30840.0,39330.0,0.73,531.06,420.00,1379.9999,0.0258,0.3607
20000,359,30840.0,38850.0,30840.0,38850.0,0.95,501.72,390.00,1379.9999,0.0251,0.3464
21000,381,30180.0,37080.0,30180.0,37080.0,0.78,542.54,420.00,1469.9999,0.0241,0.3370
22000,361,30060.0,37350.0,30060.0,37350.0,1.22,561.72,480.00,1529.9999,0.0259,0.3546
23000,333,30060.0,37440.0,30060.0,37440.0,1.26,519.82,420.00,1260.0000,0.0263,0.3623
24000,331,29910.0,37140.0,29910.0,37140.0,1.02,559.47,480.00,1380.0000,0.0261,0.3541
25000,372,29820.0,36870.0,29820.0,36870.0,0.61,557.72,420.00,1499.9999,0.0254,0.3486
