Gen,ArchiveSize,BestINRC,MedINRC,BestDist,MedDist,Turnover,MeanSAGain,MedSAGain,P95SAGain,MeanNN,CentroidSpread
1,2,60300.0,61560.0,60300.0,61560.0,0.00,1050.00,1050.00,1049.9999,1.7321,0.8660
1000,114,40560.0,45570.0,40560.0,45570.0,0.73,847.10,810.00,1679.9999,0.0482,0.4275
2000,153,36270.0,45030.0,36270.0,45030.0,0.90,634.85,570.00,1499.9996,0.0421,0.3904
3000,195,34500.0,43890.0,34500.0,43890.0,0.87,604.63,510.00,1470.0000,0.0401,0.4061
4000,211,33360.0,39870.0,33360.0,39870.0,0.95,598.47,510.00,1469.9999,0.0366,0.4028
5000,255,32190.0,39930.0,32190.0,39930.0,0.85,549.24,450.00,1380.0000,0.0313,0.3906
6000,274,31350.0,39060.0,31350.0,39060.0,0.93,604.25,510.00,1439.9999,0.0306,0.3692
7000,298,31350.0,38790.0,31350.0,38790.0,0.89,583.76,480.00,1410.0000,0.0282,0.3828
8000,299,31140.0,38940.0,31140.0,38940.0,1.00,585.12,480.00,1469.9999,0.0278,0.3638
9000,305,31110.0,38940.0,31110.0,38940.0,0.96,601.84,480.00,1469.9999,0.0263,0.3767
10000,306,31110.0,38790.0,31110.0,38790.0,0.99,570.84,450.00,1499.9999,0.0268,0.3414
11000,326,30750.0,38610.0,30750.0,38610.0,0.87,587.13,510.00,1439.9999,0.0262,0.3329
12000,310,30720.0,38670.0,30720.0,38670.0,1.09,567.80,480.00,1380.0000,0.0266,0.3226
13000,348,30600.0,38370.0,30600.0,38370.0,0.74,543.52,420.00,1439.9999,0.0244,0.3123
14000,360,30180.0,37920.0,30180.0,37920.0,0.91,546.80,420.00,1409.9999,0.0234,0.3107
15000,348,30180.0,37350.0,30180.0,37350.0,1.09,577.02,450.00,1530.0000,0.0245,0.3259
16000,354,30180.0,36960.0,30180.0,36960.0,0.96,555.88,450.00,1409.9999,0.0233,0.3224
17000,389,30180.0,36750.0,30180.0,36750.0,0.75,523.67,420.00,1319.9999,0.0225,0.3213
18000,390,30180.0,37050.0,30180.0,37050.0,0.99,557.24,450.00,1469.9999,0.0236,0.3185
19000,370,29910.0,37170.0,29910.0,37170.0,1.15,543.22,420.00,1409.9999,0.0241,0.3265
20000,398,29340.0,37050.0,29340.0,37050.0,0.76,543.77,420.00,1439.9999,0.0240,0.3360
21000,404,29340.0,36810.0,29340.0,36810.0,0.95,623.15,480.00,1529.9999,0.0246,0.3390
22000,429,29010.0,35760.0,29010.0,35760.0,0.79,597.27,450.00,1499.9999,0.0240,0.3362
23000,426,29010.0,36030.0,29010.0,36030.0,1.03,548.17,420.00,1410.0000,0.0244,0.3309
24000,440,29010.0,35370.0,29010.0,35370.0,0.89,546.43,420.00,1409.9999,0.0227,0.3363
25000,429,28980.0,36720.0,28980.0,36720.0,1.09,551.02,420.00,1469.9999,0.0233,0.3448
