Gen,ArchiveSize,BestINRC,MedINRC,BestDist,MedDist,Turnover,MeanSAGain,MedSAGain,P95SAGain,MeanNN,CentroidSpread
1,2,61200.0,63090.0,61200.0,63090.0,0.00,1620.00,1620.00,1620.0000,1.7321,0.8660
1000,118,38640.0,45960.0,38640.0,45960.0,0.70,877.60,840.00,1860.0000,0.0475,0.3286
2000,182,37110.0,45240.0,37110.0,45240.0,0.78,624.04,540.00,1499.9997,0.0355,0.3092
3000,202,36090.0,45780.0,36090.0,45780.0,0.92,641.93,570.00,1529.9999,0.0333,0.3194
4000,245,35550.0,44430.0,35550.0,44430.0,0.80,640.62,540.00,1619.9999,0.0338,0.3343
5000,281,34410.0,43440.0,34410.0,43440.0,0.82,621.23,540.00,1469.9999,0.0342,0.3367
6000,272,34290.0,43860.0,34290.0,43860.0,1.05,597.34,510.00,1469.9999,0.0312,0.3314
7000,293,33990.0,42450.0,33990.0,42450.0,0.90,597.95,510.00,1470.0000,0.0308,0.3248
8000,295,33390.0,42840.0,33390.0,42840.0,0.99,589.15,480.00,1470.0000,0.0278,0.3210
9000,298,32670.0,42510.0,32670.0,42510.0,0.98,590.23,480.00,1559.9999,0.0268,0.3181
10000,290,32670.0,41070.0,32670.0,41070.0,1.05,584.97,480.00,1500.0000,0.0308,0.3268
11000,277,32430.0,41370.0,32430.0,41370.0,1.10,570.59,480.00,1410.0000,0.0293,0.3207
12000,291,32010.0,40800.0,32010.0,40800.0,0.90,539.57,420.00,1349.9999,0.0279,0.3222
13000,299,32010.0,40710.0,32010.0,40710.0,0.94,603.16,480.00,1560.0000,0.0278,0.3317
14000,321,31680.0,39990.0,31680.0,39990.0,0.83,548.91,420.00,1439.9999,0.0266,0.3129
15000,328,31440.0,39810.0,31440.0,39810.0,0.94,546.83,420.00,1470.0000,0.0292,0.3274
16000,327,31440.0,39960.0,31440.0,39960.0,1.01,596.65,480.00,1500.0000,0.0287,0.3322
17000,318,31080.0,40140.0,31080.0,40140.0,1.08,568.04,420.00,1589.9999,0.0296,0.3543
18000,318,30870.0,40560.0,30870.0,40560.0,1.00,592.28,480.00,1440.0000,0.0296,0.3378
19000,333,30690.0,40290.0,30690.0,40290.0,0.85,649.47,540.00,1620.0000,0.0298,0.3540
20000,349,30690.0,40710.0,30690.0,40710.0,0.86,621.82,480.00,1589.9999,0.0294,0.3583
21000,377,30600.0,40320.0,30600.0,40320.0,0.73,637.53,510.00,1739.9999,0.0280,0.3541
22000,397,30600.0,39720.0,30600.0,39720.0,0.81,583.88,450.00,1470.0000,0.0268,0.3566
23000,394,30600.0,39060.0,30600.0,39060.0,1.03,618.48,480.00,1529.9999,0.0260,0.3471
24000,377,30600.0,39480.0,30600.0,39480.0,1.17,603.77,510.00,1469.9999,0.0270,0.3430
25000,377,30600.0,40050.0,30600.0,40050.0,1.00,597.46,480.00,1529.9999,0.0259,0.3364
