Generation,ArchiveSize,BestINRC,MeanNN,MedianNN,CentroidSpread,CompRatio,DeltaDist
1,2,25770.0,1.4142,1.4142,0.7071,2.0000,0.0
1000,50,21990.0,0.0796,0.0643,0.4057,0.1217,-3780.0
2000,57,20880.0,0.0666,0.0555,0.3946,0.0693,-1110.0
3000,68,19950.0,0.0559,0.0492,0.3909,0.0572,-930.0
4000,74,19320.0,0.0556,0.0486,0.3544,0.0479,-630.0
5000,75,18720.0,0.0634,0.0512,0.3681,0.0394,-600.0
6000,69,17850.0,0.0501,0.0392,0.4387,0.0305,-870.0
7000,83,17250.0,0.0560,0.0505,0.4422,0.0323,-600.0
8000,86,16500.0,0.0474,0.0387,0.4106,0.0298,-750.0
9000,86,15960.0,0.0480,0.0436,0.4137,0.0267,-540.0
10000,99,15690.0,0.0465,0.0451,0.3929,0.0282,-270.0
11000,112,15060.0,0.0398,0.0357,0.3811,0.0295,-630.0
12000,119,14760.0,0.0343,0.0330,0.4231,0.0292,-300.0
13000,111,14280.0,0.0378,0.0358,0.4305,0.0257,-480.0
14000,92,14040.0,0.0565,0.0450,0.3935,0.0201,-240.0
15000,102,13950.0,0.0412,0.0378,0.4329,0.0210,-90.0
16000,111,13740.0,0.0459,0.0413,0.4426,0.0216,-210.0
17000,99,13530.0,0.0462,0.0369,0.4439,0.0184,-210.0
18000,101,13350.0,0.0415,0.0352,0.4133,0.0180,-180.0
19000,115,13200.0,0.0383,0.0316,0.4026,0.0196,-150.0
20000,98,13050.0,0.0351,0.0342,0.3672,0.0162,-150.0
21000,89,12990.0,0.0329,0.0374,0.4110,0.0142,-60.0
22000,105,12780.0,0.0284,0.0307,0.4307,0.0163,-210.0
23000,100,12360.0,0.0378,0.0369,0.4055,0.0150,-420.0
24000,98,12210.0,0.0391,0.0394,0.4703,0.0142,-150.0
25000,99,11850.0,0.0349,0.0325,0.4438,0.0139,-360.0
