evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260323T034500Z-gen20260820T091358064963Z-ADANIENT_NS,2026-03-23T03:45:00Z,ADANIENT.NS,LONG,NoTrade,Unfavourable,0.211009,109,Exact,1.170659,3.0,1833.0000,1928.5879,1751.3469,NO_TRADE,3,false,false,false,0.042553,-0.010529,-0.005456,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-ADANIGREEN_NS,2026-03-23T03:45:00Z,ADANIGREEN.NS,LONG,NoTrade,Unfavourable,0.291139,79,Exact,1.013226,4.0,816.4500,869.7682,763.8279,NO_TRADE,4,false,false,false,0.064058,-0.018433,-0.011697,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-ADANIPORTS_NS,2026-03-23T03:45:00Z,ADANIPORTS.NS,LONG,Watch,Mixed,0.300813,123,Exact,0.777104,3.0,1303.6000,1351.2094,1242.3347,TARGET,1,true,false,false,0.044032,0.000000,0.036522,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-AMBUJACEM_NS,2026-03-23T03:45:00Z,AMBUJACEM.NS,LONG,Watch,Mixed,0.323529,102,Exact,0.955132,3.0,395.3500,411.6772,378.2558,TARGET,1,true,false,false,0.045909,-0.000632,0.041298,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-APOLLOHOSP_NS,2026-03-23T03:45:00Z,APOLLOHOSP.NS,SHORT,NoTrade,Unfavourable,0.263158,76,Exact,1.017416,3.5,7145.0000,6890.1803,7395.4578,NO_TRADE,1,false,false,false,0.000000,-0.044647,-0.035054,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-ASIANPAINT_NS,2026-03-23T03:45:00Z,ASIANPAINT.NS,LONG,NoTrade,Unfavourable,0.296774,155,Exact,1.022728,3.0,2121.3000,2189.3267,2054.7851,NO_TRADE,1,false,false,false,0.048649,0.000000,0.032068,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-AUROPHARMA_NS,2026-03-23T03:45:00Z,AUROPHARMA.NS,SHORT,NoTrade,Unfavourable,0.242857,140,StateOnly,1.043275,3.0,1278.7000,1217.4201,1337.4379,NO_TRADE,3,false,false,false,0.018222,-0.040119,-0.027763,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-AXISBANK_NS,2026-03-23T03:45:00Z,AXISBANK.NS,LONG,Watch,Mixed,0.369369,111,Exact,1.057676,4.0,1170.6000,1213.1710,1130.3504,TARGET,2,true,false,false,0.058432,-0.000854,0.036367,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-BAJAJ-AUTO_NS,2026-03-23T03:45:00Z,BAJAJ-AUTO.NS,LONG,Watch,Mixed,0.373494,83,Exact,0.848797,4.0,8776.0000,9005.5837,8505.5186,TARGET,1,true,false,false,0.028088,0.000000,0.026160,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-BAJAJFINSV_NS,2026-03-23T03:45:00Z,BAJAJFINSV.NS,LONG,NoTrade,Unfavourable,0.284722,144,Exact,0.979785,3.0,1675.5000,1736.4820,1613.2598,NO_TRADE,2,false,false,false,0.053417,-0.002447,0.036396,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-BAJFINANCE_NS,2026-03-23T03:45:00Z,BAJFINANCE.NS,LONG,Watch,Mixed,0.315068,146,Exact,1.113715,3.0,812.6000,843.4337,784.9145,TARGET,1,true,false,false,0.050948,0.000000,0.037945,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-BANDHANBNK_NS,2026-03-23T03:45:00Z,BANDHANBNK.NS,SHORT,NoTrade,Unfavourable,0.266667,60,Exact,1.200480,3.0,148.3400,138.6699,156.3951,NO_TRADE,3,false,false,false,0.016381,-0.048268,-0.003843,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-BANKBARODA_NS,2026-03-23T03:45:00Z,BANKBARODA.NS,LONG,Buy,Favourable,0.416667,96,Exact,0.844595,3.5,265.9000,277.7794,251.8347,RISK,4,false,true,false,0.043437,-0.072584,-0.052897,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-BERGEPAINT_NS,2026-03-23T03:45:00Z,BERGEPAINT.NS,LONG,NoTrade,Unfavourable,0.234375,128,Exact,0.895055,4.0,405.4500,420.1745,388.9991,NO_TRADE,1,false,false,false,0.036503,0.000000,0.036316,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-BHARTIARTL_NS,2026-03-23T03:45:00Z,BHARTIARTL.NS,LONG,Watch,Mixed,0.338028,71,Exact,1.459699,4.0,1795.9000,1867.8366,1746.6182,HORIZON,4,false,false,true,0.033966,-0.011916,-0.007517,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-BOSCHLTD_NS,2026-03-23T03:45:00Z,BOSCHLTD.NS,LONG,NoTrade,Unfavourable,0.285714,98,Exact,0.839421,3.0,29135.0000,30114.4427,27968.1929,NO_TRADE,1,false,false,false,0.038270,0.000000,0.033617,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-BPCL_NS,2026-03-23T03:45:00Z,BPCL.NS,LONG,NoTrade,Unfavourable,0.278571,140,Exact,0.854504,3.0,271.3000,282.1260,258.6307,NO_TRADE,1,false,false,false,0.043126,-0.002211,0.039904,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-BRITANNIA_NS,2026-03-23T03:45:00Z,BRITANNIA.NS,LONG,Watch,Mixed,0.347458,118,Exact,1.464064,5.0,5490.0000,5680.9102,5359.6025,TARGET,2,true,false,false,0.045082,-0.015574,0.034774,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-CANBK_NS,2026-03-23T03:45:00Z,CANBK.NS,LONG,Buy,Favourable,0.404959,121,Exact,1.030656,3.0,129.5600,136.7136,122.6192,TARGET,2,true,false,false,0.061979,0.000000,0.055215,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-CHOLAFIN_NS,2026-03-23T03:45:00Z,CHOLAFIN.NS,LONG,Watch,Mixed,0.392405,79,Exact,0.978748,4.0,1380.9000,1442.6393,1317.8201,TARGET,2,true,false,false,0.074155,-0.004128,0.044709,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-CIPLA_NS,2026-03-23T03:45:00Z,CIPLA.NS,LONG,Watch,Mixed,0.304000,125,Exact,1.367348,4.0,1221.8000,1265.4335,1189.8891,HORIZON,4,false,false,true,0.025454,-0.005566,0.001964,true
TIME006-20260323T034500Z-gen20260820T091358064963Z-COALINDIA_NS,2026-03-23T03:45:00Z,COALINDIA.NS,SHORT,NoTrade,Unfavourable,0.178378,185,StateOnly,1.061852,4.0,455.2500,437.0959,472.3467,NO_TRADE,4,false,false,false,0.036134,-0.017024,0.010544,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-COLPAL_NS,2026-03-23T03:45:00Z,COLPAL.NS,LONG,NoTrade,Unfavourable,0.250000,124,Exact,1.400325,3.5,1849.2000,1928.6833,1792.4393,NO_TRADE,4,false,false,false,0.042451,-0.036340,-0.030695,false
TIME006-20260323T034500Z-gen20260820T091358064963Z-DABUR_NS,2026-03-23T03:45:00Z,DABUR.NS,LONG,Watch,Mixed,0.321678,143,Exact,1.044302,4.0,417.3500,429.4887,405.7263,TARGET,2,true,false,false,0.052234,-0.000839,0.029085,true
