evidence_row_id,as_of,ticker,direction,action,evidence_class,target_rate,sample_size,degradation_level,adaptive_rr,adaptive_horizon_sessions,reference_price,adaptive_target,adaptive_risk,exit_reason,sessions_to_outcome,target_reached,risk_reached,horizon_reached,actual_mfe,actual_mae,realized_return,eligible_for_primary_comparison
TIME006-20260910T100000Z-gen20260917T040828848547Z-ADANIENT_NS,2026-09-10T10:00:00Z,ADANIENT.NS,LONG,NoTrade,Unfavourable,0.271186,118,Exact,1.170659,3.0,3077.2000,3237.6709,2940.1225,NO_TRADE,3,false,false,false,0.000000,-0.020246,-0.018556,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-ADANIGREEN_NS,2026-09-10T10:00:00Z,ADANIGREEN.NS,LONG,NoTrade,Unfavourable,0.280488,82,Exact,1.042298,4.0,1299.1000,1383.9375,1217.7053,NO_TRADE,4,false,false,false,0.000000,-0.013933,-0.011623,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-ADANIPORTS_NS,2026-09-10T10:00:00Z,ADANIPORTS.NS,LONG,Buy,Favourable,0.523810,42,Exact,0.948459,4.5,1768.0000,1834.3762,1698.0167,HORIZON,5,false,false,true,0.000000,-0.008654,-0.008201,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-AMBUJACEM_NS,2026-09-10T10:00:00Z,AMBUJACEM.NS,LONG,Watch,Mixed,0.305556,108,Exact,1.002588,3.0,395.6000,411.9376,379.3046,HORIZON,3,false,false,true,0.000000,-0.017695,-0.017568,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-APOLLOHOSP_NS,2026-09-10T10:00:00Z,APOLLOHOSP.NS,LONG,NoTrade,Unfavourable,0.285714,77,Exact,0.963960,3.0,8900.0000,9154.6520,8635.8271,NO_TRADE,3,false,false,false,0.000000,-0.009045,-0.004775,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-ASIANPAINT_NS,2026-09-10T10:00:00Z,ASIANPAINT.NS,LONG,NoTrade,Unfavourable,0.283871,155,Exact,1.029506,3.0,2498.1001,2578.2101,2420.2860,NO_TRADE,3,false,false,false,0.000000,-0.016292,-0.015252,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-AUROPHARMA_NS,2026-09-10T10:00:00Z,AUROPHARMA.NS,SHORT,NoTrade,Unfavourable,0.241135,141,StateOnly,1.045070,3.0,1668.4000,1588.4444,1744.9075,NO_TRADE,3,false,false,false,0.006653,0.000000,0.004555,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-AXISBANK_NS,2026-09-10T10:00:00Z,AXISBANK.NS,SHORT,NoTrade,Unfavourable,0.298507,67,Exact,1.465363,4.0,1246.0000,1191.1557,1283.4271,NO_TRADE,4,false,false,false,0.011236,0.000000,0.010433,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-BAJAJ-AUTO_NS,2026-09-10T10:00:00Z,BAJAJ-AUTO.NS,SHORT,NoTrade,Unfavourable,0.231707,164,StateOnly,1.121907,3.0,11768.0000,11309.8629,12176.3558,NO_TRADE,3,false,false,false,0.018355,0.000000,0.018355,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-BAJAJFINSV_NS,2026-09-10T10:00:00Z,BAJAJFINSV.NS,LONG,NoTrade,Unfavourable,0.284722,144,Exact,0.979785,3.0,1940.5000,2011.1271,1868.4157,NO_TRADE,3,false,false,false,0.000000,-0.018243,-0.017470,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-BAJFINANCE_NS,2026-09-10T10:00:00Z,BAJFINANCE.NS,LONG,Watch,Mixed,0.319444,144,Exact,1.121641,3.5,1043.5000,1083.0951,1008.1989,HORIZON,4,false,false,true,0.000000,-0.022616,-0.019837,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-BANDHANBNK_NS,2026-09-10T10:00:00Z,BANDHANBNK.NS,LONG,Buy,Favourable,0.433333,60,Exact,1.009984,4.0,174.0000,181.9701,166.1087,HORIZON,4,false,false,true,0.000000,-0.016092,-0.014368,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-BANKBARODA_NS,2026-09-10T10:00:00Z,BANKBARODA.NS,LONG,Buy,Favourable,0.400000,100,Exact,0.911856,3.5,237.6200,248.2360,225.9778,HORIZON,4,false,false,true,0.000000,-0.013551,-0.008796,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-BERGEPAINT_NS,2026-09-10T10:00:00Z,BERGEPAINT.NS,LONG,NoTrade,Unfavourable,0.221311,122,Exact,0.886819,4.0,463.8000,480.6436,444.8067,NO_TRADE,4,false,false,false,0.002372,-0.008193,0.001725,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-BHARTIARTL_NS,2026-09-10T10:00:00Z,BHARTIARTL.NS,LONG,Watch,Mixed,0.333333,72,Exact,1.470050,4.0,1839.0000,1912.6630,1788.8908,HORIZON,4,false,false,true,0.001305,-0.003589,0.000870,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-BOSCHLTD_NS,2026-09-10T10:00:00Z,BOSCHLTD.NS,SHORT,NoTrade,Unfavourable,0.287671,146,StateOnly,0.883279,3.0,48775.0000,46982.7954,50804.0360,NO_TRADE,3,false,false,false,0.008406,0.000000,0.007791,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-BPCL_NS,2026-09-10T10:00:00Z,BPCL.NS,LONG,NoTrade,Unfavourable,0.280576,139,Exact,0.894696,3.0,303.0000,315.0909,289.4860,NO_TRADE,3,false,false,false,0.000000,-0.018977,-0.016667,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-BRITANNIA_NS,2026-09-10T10:00:00Z,BRITANNIA.NS,LONG,Watch,Mixed,0.362832,113,Exact,1.467338,4.0,5009.0000,5183.1838,4890.2926,HORIZON,4,false,false,true,0.000000,-0.010082,-0.005989,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-CANBK_NS,2026-09-10T10:00:00Z,CANBK.NS,LONG,Buy,Favourable,0.404959,121,Exact,1.030656,3.0,124.6000,131.4798,117.9249,HORIZON,3,false,false,true,0.000000,-0.015329,-0.012841,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-CHOLAFIN_NS,2026-09-10T10:00:00Z,CHOLAFIN.NS,LONG,Watch,Mixed,0.392405,79,Exact,0.978748,4.0,1859.0000,1942.1149,1774.0804,HORIZON,4,false,false,true,0.000000,-0.029048,-0.025605,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-CIPLA_NS,2026-09-10T10:00:00Z,CIPLA.NS,LONG,NoTrade,Unfavourable,0.285714,126,Exact,1.355532,4.0,1373.3000,1422.3439,1337.1195,NO_TRADE,4,false,false,false,0.000000,-0.010413,-0.009685,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-COALINDIA_NS,2026-09-10T10:00:00Z,COALINDIA.NS,SHORT,NoTrade,Unfavourable,0.142857,175,StateOnly,1.075330,4.0,432.0000,414.7028,448.0855,NO_TRADE,4,false,false,false,0.000000,-0.004630,-0.002315,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-COLPAL_NS,2026-09-10T10:00:00Z,COLPAL.NS,LONG,NoTrade,Unfavourable,0.252033,123,Exact,1.426020,4.0,1808.5000,1886.2339,1753.9889,NO_TRADE,4,false,false,false,0.000000,-0.013602,-0.009179,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-DABUR_NS,2026-09-10T10:00:00Z,DABUR.NS,LONG,Watch,Mixed,0.304054,148,Exact,1.036541,4.0,376.4500,387.3991,365.8869,HORIZON,4,false,false,true,0.000000,-0.010493,-0.005047,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-DIVISLAB_NS,2026-09-10T10:00:00Z,DIVISLAB.NS,SHORT,NoTrade,Unfavourable,0.229730,148,StateOnly,1.135967,3.0,9438.5000,9100.5314,9736.0161,NO_TRADE,3,false,false,false,0.011072,0.000000,0.008211,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-DLF_NS,2026-09-10T10:00:00Z,DLF.NS,SHORT,Sell,Favourable,0.446154,65,Exact,1.525809,4.0,655.8500,618.9953,680.0042,HORIZON,4,false,false,true,0.025006,0.000000,0.025006,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-DRREDDY_NS,2026-09-10T10:00:00Z,DRREDDY.NS,LONG,Watch,Mixed,0.349593,123,Exact,0.989327,3.0,1143.0000,1180.7710,1104.8215,HORIZON,3,false,false,true,0.000000,-0.008224,-0.004549,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-EICHERMOT_NS,2026-09-10T10:00:00Z,EICHERMOT.NS,LONG,Buy,Favourable,0.480769,52,Exact,1.245364,3.0,7697.0000,8019.6981,7437.8805,HORIZON,3,false,false,true,0.000000,-0.016695,-0.016110,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-GAIL_NS,2026-09-10T10:00:00Z,GAIL.NS,SHORT,NoTrade,Unfavourable,0.172222,180,StateOnly,1.356787,3.0,174.4900,165.4272,181.1696,NO_TRADE,3,false,false,false,0.008482,0.000000,0.005158,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-GODREJCP_NS,2026-09-10T10:00:00Z,GODREJCP.NS,LONG,Watch,Mixed,0.300000,110,Exact,1.031119,3.0,869.9000,902.4148,838.3665,HORIZON,3,false,false,true,0.000000,-0.012070,-0.009024,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-GODREJPROP_NS,2026-09-10T10:00:00Z,GODREJPROP.NS,LONG,Watch,Mixed,0.343750,128,Exact,0.996656,3.0,1872.0000,1974.2208,1769.4363,HORIZON,3,false,false,true,0.000000,-0.038782,-0.038088,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-GRASIM_NS,2026-09-10T10:00:00Z,GRASIM.NS,SHORT,NoTrade,Unfavourable,0.234234,222,StateOnly,1.187719,3.0,3319.0000,3194.1990,3424.0762,NO_TRADE,3,false,false,false,0.010666,0.000000,0.009491,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-HAVELLS_NS,2026-09-10T10:00:00Z,HAVELLS.NS,LONG,Watch,Mixed,0.374046,131,Exact,1.158586,4.0,1116.0000,1155.5766,1081.8406,HORIZON,4,false,false,true,0.000000,-0.013799,-0.011111,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-HCLTECH_NS,2026-09-10T10:00:00Z,HCLTECH.NS,LONG,NoTrade,Unfavourable,0.297872,141,Exact,0.957314,3.0,1207.0000,1252.0635,1159.9272,NO_TRADE,3,false,false,false,0.005302,-0.002817,0.003977,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-HDFCBANK_NS,2026-09-10T10:00:00Z,HDFCBANK.NS,LONG,Watch,Mixed,0.397260,146,Exact,0.891160,4.0,693.8000,708.8209,676.9445,HORIZON,4,false,false,true,0.000000,-0.016864,-0.012612,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-HDFCLIFE_NS,2026-09-10T10:00:00Z,HDFCLIFE.NS,LONG,Watch,Mixed,0.326797,153,Exact,0.859167,3.0,526.1500,542.0357,507.6604,HORIZON,3,false,false,true,0.000000,-0.011594,-0.010548,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-HEROMOTOCO_NS,2026-09-10T10:00:00Z,HEROMOTOCO.NS,LONG,Watch,Mixed,0.314286,140,Exact,0.919461,4.0,5280.0000,5478.1611,5064.4813,HORIZON,4,false,false,true,0.000000,-0.015814,-0.014015,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-HINDALCO_NS,2026-09-10T10:00:00Z,HINDALCO.NS,SHORT,NoTrade,Unfavourable,0.291139,79,Exact,1.397162,3.0,1014.0000,957.4341,1054.4863,NO_TRADE,3,false,false,false,0.039744,0.000000,0.037081,false
TIME006-20260910T100000Z-gen20260917T040828848547Z-HINDUNILVR_NS,2026-09-10T10:00:00Z,HINDUNILVR.NS,LONG,Watch,Mixed,0.335227,176,Exact,1.016780,4.0,1942.3000,1991.9005,1893.5182,HORIZON,4,false,false,true,0.000000,-0.005972,-0.003089,true
TIME006-20260910T100000Z-gen20260917T040828848547Z-ICICIBANK_NS,2026-09-10T10:00:00Z,ICICIBANK.NS,LONG,Buy,Favourable,0.469565,115,Exact,1.207144,4.0,1384.5000,1427.0896,1349.2187,HORIZON,4,false,false,true,0.000000,-0.011990,-0.010834,true
